Category: All categories

Week,bonds: (United States)
2012-11-18,56
2012-11-25,74
2012-12-02,74
2012-12-09,73
2012-12-16,60
2012-12-23,42
2012-12-30,48
2013-01-06,65
2013-01-13,65
2013-01-20,59
2013-01-27,72
2013-02-03,65
2013-02-10,66
2013-02-17,61
2013-02-24,66
2013-03-03,64
2013-03-10,61
2013-03-17,59
2013-03-24,57
2013-03-31,60
2013-04-07,63
2013-04-14,60
2013-04-21,62
2013-04-28,67
2013-05-05,59
2013-05-12,58
2013-05-19,55
2013-05-26,53
2013-06-02,54
2013-06-09,53
2013-06-16,54
2013-06-23,52
2013-06-30,48
2013-07-07,53
2013-07-14,52
2013-07-21,52
2013-07-28,54
2013-08-04,53
2013-08-11,50
2013-08-18,52
2013-08-25,54
2013-09-01,61
2013-09-08,75
2013-09-15,73
2013-09-22,71
2013-09-29,69
2013-10-06,73
2013-10-13,67
2013-10-20,68
2013-10-27,68
2013-11-03,68
2013-11-10,67
2013-11-17,75
2013-11-24,51
2013-12-01,68
2013-12-08,72
2013-12-15,66
2013-12-22,41
2013-12-29,45
2014-01-05,57
2014-01-12,65
2014-01-19,62
2014-01-26,67
2014-02-02,66
2014-02-09,66
2014-02-16,64
2014-02-23,70
2014-03-02,63
2014-03-09,71
2014-03-16,61
2014-03-23,60
2014-03-30,63
2014-04-06,64
2014-04-13,59
2014-04-20,63
2014-04-27,61
2014-05-04,60
2014-05-11,55
2014-05-18,51
2014-05-25,51
2014-06-01,52
2014-06-08,49
2014-06-15,48
2014-06-22,47
2014-06-29,47
2014-07-06,48
2014-07-13,47
2014-07-20,50
2014-07-27,49
2014-08-03,47
2014-08-10,46
2014-08-17,47
2014-08-24,54
2014-08-31,61
2014-09-07,69
2014-09-14,72
2014-09-21,68
2014-09-28,70
2014-10-05,66
2014-10-12,69
2014-10-19,66
2014-10-26,70
2014-11-02,67
2014-11-09,65
2014-11-16,68
2014-11-23,49
2014-11-30,70
2014-12-07,77
2014-12-14,73
2014-12-21,39
2014-12-28,41
2015-01-04,58
2015-01-11,60
2015-01-18,64
2015-01-25,67
2015-02-01,68
2015-02-08,66
2015-02-15,59
2015-02-22,65
2015-03-01,64
2015-03-08,61
2015-03-15,60
2015-03-22,59
2015-03-29,58
2015-04-05,60
2015-04-12,61
2015-04-19,64
2015-04-26,63
2015-05-03,64
2015-05-10,58
2015-05-17,54
2015-05-24,50
2015-05-31,53
2015-06-07,54
2015-06-14,49
2015-06-21,48
2015-06-28,50
2015-07-05,50
2015-07-12,52
2015-07-19,52
2015-07-26,51
2015-08-02,47
2015-08-09,48
2015-08-16,50
2015-08-23,59
2015-08-30,65
2015-09-06,67
2015-09-13,71
2015-09-20,71
2015-09-27,70
2015-10-04,68
2015-10-11,63
2015-10-18,67
2015-10-25,67
2015-11-01,71
2015-11-08,67
2015-11-15,71
2015-11-22,48
2015-11-29,77
2015-12-06,77
2015-12-13,71
2015-12-20,42
2015-12-27,41
2016-01-03,65
2016-01-10,67
2016-01-17,65
2016-01-24,72
2016-01-31,74
2016-02-07,75
2016-02-14,70
2016-02-21,74
2016-02-28,71
2016-03-06,68
2016-03-13,67
2016-03-20,58
2016-03-27,61
2016-04-03,69
2016-04-10,74
2016-04-17,68
2016-04-24,65
2016-05-01,68
2016-05-08,61
2016-05-15,62
2016-05-22,54
2016-05-29,56
2016-06-05,54
2016-06-12,49
2016-06-19,51
2016-06-26,50
2016-07-03,49
2016-07-10,49
2016-07-17,50
2016-07-24,49
2016-07-31,48
2016-08-07,51
2016-08-14,46
2016-08-21,53
2016-08-28,62
2016-09-04,66
2016-09-11,73
2016-09-18,70
2016-09-25,71
2016-10-02,71
2016-10-09,66
2016-10-16,69
2016-10-23,71
2016-10-30,71
2016-11-06,66
2016-11-13,77
2016-11-20,53
2016-11-27,75
2016-12-04,79
2016-12-11,79
2016-12-18,50
2016-12-25,40
2017-01-01,52
2017-01-08,61
2017-01-15,69
2017-01-22,74
2017-01-29,73
2017-02-05,71
2017-02-12,70
2017-02-19,67
2017-02-26,70
2017-03-05,67
2017-03-12,61
2017-03-19,64
2017-03-26,63
2017-04-02,65
2017-04-09,62
2017-04-16,66
2017-04-23,66
2017-04-30,67
2017-05-07,60
2017-05-14,57
2017-05-21,56
2017-05-28,52
2017-06-04,55
2017-06-11,52
2017-06-18,50
2017-06-25,48
2017-07-02,57
2017-07-09,53
2017-07-16,50
2017-07-23,50
2017-07-30,49
2017-08-06,54
2017-08-13,48
2017-08-20,50
2017-08-27,57
2017-09-03,60
2017-09-10,66
2017-09-17,71
2017-09-24,71
2017-10-01,71
2017-10-08,68
2017-10-15,69
2017-10-22,70
2017-10-29,72
2017-11-05,70
2017-11-12,100
