Category: All categories

Week,fine: (United States)
2012-11-18,42
2012-11-25,44
2012-12-02,45
2012-12-09,46
2012-12-16,44
2012-12-23,43
2012-12-30,44
2013-01-06,44
2013-01-13,45
2013-01-20,46
2013-01-27,45
2013-02-03,46
2013-02-10,46
2013-02-17,45
2013-02-24,44
2013-03-03,44
2013-03-10,44
2013-03-17,45
2013-03-24,45
2013-03-31,53
2013-04-07,50
2013-04-14,48
2013-04-21,48
2013-04-28,49
2013-05-05,48
2013-05-12,48
2013-05-19,49
2013-05-26,49
2013-06-02,48
2013-06-09,47
2013-06-16,45
2013-06-23,45
2013-06-30,45
2013-07-07,46
2013-07-14,44
2013-07-21,45
2013-07-28,44
2013-08-04,46
2013-08-11,44
2013-08-18,45
2013-08-25,43
2013-09-01,44
2013-09-08,45
2013-09-15,44
2013-09-22,45
2013-09-29,46
2013-10-06,45
2013-10-13,45
2013-10-20,45
2013-10-27,45
2013-11-03,46
2013-11-10,46
2013-11-17,47
2013-11-24,43
2013-12-01,48
2013-12-08,45
2013-12-15,46
2013-12-22,45
2013-12-29,44
2014-01-05,46
2014-01-12,47
2014-01-19,48
2014-01-26,46
2014-02-02,45
2014-02-09,47
2014-02-16,44
2014-02-23,43
2014-03-02,43
2014-03-09,44
2014-03-16,44
2014-03-23,45
2014-03-30,46
2014-04-06,44
2014-04-13,44
2014-04-20,45
2014-04-27,45
2014-05-04,46
2014-05-11,45
2014-05-18,45
2014-05-25,43
2014-06-01,43
2014-06-08,43
2014-06-15,43
2014-06-22,43
2014-06-29,44
2014-07-06,44
2014-07-13,44
2014-07-20,45
2014-07-27,46
2014-08-03,46
2014-08-10,43
2014-08-17,45
2014-08-24,44
2014-08-31,44
2014-09-07,43
2014-09-14,45
2014-09-21,43
2014-09-28,43
2014-10-05,44
2014-10-12,43
2014-10-19,43
2014-10-26,42
2014-11-02,43
2014-11-09,43
2014-11-16,45
2014-11-23,42
2014-11-30,43
2014-12-07,44
2014-12-14,44
2014-12-21,42
2014-12-28,45
2015-01-04,43
2015-01-11,45
2015-01-18,46
2015-01-25,46
2015-02-01,45
2015-02-08,47
2015-02-15,43
2015-02-22,43
2015-03-01,44
2015-03-08,43
2015-03-15,42
2015-03-22,42
2015-03-29,42
2015-04-05,42
2015-04-12,41
2015-04-19,44
2015-04-26,42
2015-05-03,43
2015-05-10,43
2015-05-17,44
2015-05-24,43
2015-05-31,43
2015-06-07,42
2015-06-14,42
2015-06-21,41
2015-06-28,43
2015-07-05,43
2015-07-12,44
2015-07-19,44
2015-07-26,45
2015-08-02,44
2015-08-09,44
2015-08-16,45
2015-08-23,44
2015-08-30,45
2015-09-06,44
2015-09-13,42
2015-09-20,44
2015-09-27,43
2015-10-04,43
2015-10-11,44
2015-10-18,43
2015-10-25,42
2015-11-01,43
2015-11-08,44
2015-11-15,42
2015-11-22,42
2015-11-29,44
2015-12-06,45
2015-12-13,45
2015-12-20,45
2015-12-27,46
2016-01-03,47
2016-01-10,48
2016-01-17,48
2016-01-24,52
2016-01-31,100
2016-02-07,54
2016-02-14,50
2016-02-21,50
2016-02-28,47
2016-03-06,48
2016-03-13,46
2016-03-20,47
2016-03-27,47
2016-04-03,49
2016-04-10,47
2016-04-17,47
2016-04-24,46
2016-05-01,47
2016-05-08,45
2016-05-15,46
2016-05-22,48
2016-05-29,46
2016-06-05,45
2016-06-12,44
2016-06-19,45
2016-06-26,45
2016-07-03,44
2016-07-10,45
2016-07-17,45
2016-07-24,45
2016-07-31,46
2016-08-07,43
2016-08-14,44
2016-08-21,46
2016-08-28,46
2016-09-04,47
2016-09-11,49
2016-09-18,46
2016-09-25,45
2016-10-02,44
2016-10-09,46
2016-10-16,46
2016-10-23,46
2016-10-30,46
2016-11-06,44
2016-11-13,48
2016-11-20,46
2016-11-27,47
2016-12-04,48
2016-12-11,48
2016-12-18,48
2016-12-25,45
2017-01-01,46
2017-01-08,48
2017-01-15,48
2017-01-22,48
2017-01-29,48
2017-02-05,46
2017-02-12,48
2017-02-19,47
2017-02-26,46
2017-03-05,46
2017-03-12,47
2017-03-19,45
2017-03-26,46
2017-04-02,47
2017-04-09,47
2017-04-16,47
2017-04-23,47
2017-04-30,47
2017-05-07,47
2017-05-14,46
2017-05-21,45
2017-05-28,46
2017-06-04,45
2017-06-11,46
2017-06-18,46
2017-06-25,47
2017-07-02,47
2017-07-09,46
2017-07-16,48
2017-07-23,46
2017-07-30,46
2017-08-06,47
2017-08-13,46
2017-08-20,45
2017-08-27,45
2017-09-03,44
2017-09-10,44
2017-09-17,45
2017-09-24,50
2017-10-01,45
2017-10-08,47
2017-10-15,46
2017-10-22,45
2017-10-29,45
2017-11-05,47
2017-11-12,94
