Category: All categories

Week,stock market: (United States)
2012-11-18,12
2012-11-25,11
2012-12-02,11
2012-12-09,10
2012-12-16,11
2012-12-23,11
2012-12-30,14
2013-01-06,11
2013-01-13,11
2013-01-20,13
2013-01-27,13
2013-02-03,13
2013-02-10,13
2013-02-17,13
2013-02-24,14
2013-03-03,16
2013-03-10,14
2013-03-17,13
2013-03-24,15
2013-03-31,12
2013-04-07,13
2013-04-14,14
2013-04-21,13
2013-04-28,13
2013-05-05,13
2013-05-12,13
2013-05-19,12
2013-05-26,11
2013-06-02,11
2013-06-09,10
2013-06-16,13
2013-06-23,12
2013-06-30,10
2013-07-07,10
2013-07-14,10
2013-07-21,10
2013-07-28,10
2013-08-04,10
2013-08-11,10
2013-08-18,11
2013-08-25,11
2013-09-01,9
2013-09-08,11
2013-09-15,16
2013-09-22,20
2013-09-29,22
2013-10-06,20
2013-10-13,20
2013-10-20,15
2013-10-27,15
2013-11-03,16
2013-11-10,17
2013-11-17,15
2013-11-24,14
2013-12-01,13
2013-12-08,13
2013-12-15,13
2013-12-22,14
2013-12-29,16
2014-01-05,13
2014-01-12,15
2014-01-19,17
2014-01-26,18
2014-02-02,19
2014-02-09,16
2014-02-16,17
2014-02-23,16
2014-03-02,17
2014-03-09,15
2014-03-16,15
2014-03-23,14
2014-03-30,16
2014-04-06,17
2014-04-13,18
2014-04-20,13
2014-04-27,13
2014-05-04,12
2014-05-11,12
2014-05-18,12
2014-05-25,11
2014-06-01,10
2014-06-08,10
2014-06-15,10
2014-06-22,10
2014-06-29,11
2014-07-06,11
2014-07-13,11
2014-07-20,10
2014-07-27,14
2014-08-03,13
2014-08-10,10
2014-08-17,11
2014-08-24,11
2014-08-31,10
2014-09-07,11
2014-09-14,13
2014-09-21,14
2014-09-28,16
2014-10-05,19
2014-10-12,29
2014-10-19,17
2014-10-26,17
2014-11-02,17
2014-11-09,16
2014-11-16,15
2014-11-23,15
2014-11-30,16
2014-12-07,17
2014-12-14,21
2014-12-21,17
2014-12-28,17
2015-01-04,18
2015-01-11,17
2015-01-18,18
2015-01-25,17
2015-02-01,17
2015-02-08,17
2015-02-15,17
2015-02-22,16
2015-03-01,16
2015-03-08,17
2015-03-15,16
2015-03-22,16
2015-03-29,19
2015-04-05,15
2015-04-12,16
2015-04-19,16
2015-04-26,15
2015-05-03,14
2015-05-10,14
2015-05-17,13
2015-05-24,12
2015-05-31,12
2015-06-07,12
2015-06-14,12
2015-06-21,12
2015-06-28,23
2015-07-05,40
2015-07-12,16
2015-07-19,15
2015-07-26,18
2015-08-02,15
2015-08-09,16
2015-08-16,28
2015-08-23,100
2015-08-30,35
2015-09-06,24
2015-09-13,22
2015-09-20,21
2015-09-27,23
2015-10-04,20
2015-10-11,20
2015-10-18,17
2015-10-25,17
2015-11-01,17
2015-11-08,18
2015-11-15,17
2015-11-22,14
2015-11-29,15
2015-12-06,16
2015-12-13,17
2015-12-20,15
2015-12-27,16
2016-01-03,37
2016-01-10,37
2016-01-17,41
2016-01-24,26
2016-01-31,24
2016-02-07,29
2016-02-14,24
2016-02-21,21
2016-02-28,20
2016-03-06,19
2016-03-13,18
2016-03-20,19
2016-03-27,17
2016-04-03,17
2016-04-10,17
2016-04-17,17
2016-04-24,16
2016-05-01,16
2016-05-08,15
2016-05-15,15
2016-05-22,14
2016-05-29,12
2016-06-05,13
2016-06-12,13
2016-06-19,35
2016-06-26,31
2016-07-03,14
2016-07-10,17
2016-07-17,15
2016-07-24,13
2016-07-31,14
2016-08-07,12
2016-08-14,12
2016-08-21,12
2016-08-28,12
2016-09-04,14
2016-09-11,16
2016-09-18,13
2016-09-25,15
2016-10-02,14
2016-10-09,16
2016-10-16,13
2016-10-23,14
2016-10-30,16
2016-11-06,91
2016-11-13,20
2016-11-20,19
2016-11-27,17
2016-12-04,18
2016-12-11,18
2016-12-18,17
2016-12-25,18
2017-01-01,18
2017-01-08,16
2017-01-15,19
2017-01-22,22
2017-01-29,22
2017-02-05,18
2017-02-12,21
2017-02-19,20
2017-02-26,23
2017-03-05,19
2017-03-12,17
2017-03-19,20
2017-03-26,18
2017-04-02,18
2017-04-09,20
2017-04-16,17
2017-04-23,18
2017-04-30,15
2017-05-07,15
2017-05-14,20
2017-05-21,15
2017-05-28,14
2017-06-04,15
2017-06-11,15
2017-06-18,14
2017-06-25,16
2017-07-02,15
2017-07-09,14
2017-07-16,14
2017-07-23,15
2017-07-30,17
2017-08-06,18
2017-08-13,18
2017-08-20,15
2017-08-27,14
2017-09-03,14
2017-09-10,15
2017-09-17,15
2017-09-24,15
2017-10-01,17
2017-10-08,19
2017-10-15,19
2017-10-22,19
2017-10-29,18
2017-11-05,19
2017-11-12,20
