Category: All categories

Week,banking: (United States)
2012-11-18,78
2012-11-25,82
2012-12-02,82
2012-12-09,86
2012-12-16,85
2012-12-23,82
2012-12-30,87
2013-01-06,79
2013-01-13,77
2013-01-20,76
2013-01-27,78
2013-02-03,77
2013-02-10,82
2013-02-17,80
2013-02-24,86
2013-03-03,85
2013-03-10,84
2013-03-17,80
2013-03-24,81
2013-03-31,83
2013-04-07,79
2013-04-14,80
2013-04-21,79
2013-04-28,83
2013-05-05,81
2013-05-12,79
2013-05-19,77
2013-05-26,83
2013-06-02,82
2013-06-09,81
2013-06-16,82
2013-06-23,83
2013-06-30,83
2013-07-07,82
2013-07-14,79
2013-07-21,77
2013-07-28,82
2013-08-04,80
2013-08-11,80
2013-08-18,79
2013-08-25,79
2013-09-01,79
2013-09-08,78
2013-09-15,76
2013-09-22,75
2013-09-29,83
2013-10-06,80
2013-10-13,81
2013-10-20,82
2013-10-27,86
2013-11-03,89
2013-11-10,86
2013-11-17,84
2013-11-24,80
2013-12-01,83
2013-12-08,81
2013-12-15,86
2013-12-22,82
2013-12-29,85
2014-01-05,81
2014-01-12,83
2014-01-19,81
2014-01-26,86
2014-02-02,89
2014-02-09,90
2014-02-16,86
2014-02-23,88
2014-03-02,87
2014-03-09,87
2014-03-16,89
2014-03-23,89
2014-03-30,93
2014-04-06,90
2014-04-13,84
2014-04-20,78
2014-04-27,83
2014-05-04,81
2014-05-11,79
2014-05-18,76
2014-05-25,78
2014-06-01,82
2014-06-08,81
2014-06-15,80
2014-06-22,80
2014-06-29,85
2014-07-06,88
2014-07-13,87
2014-07-20,91
2014-07-27,96
2014-08-03,97
2014-08-10,94
2014-08-17,87
2014-08-24,89
2014-08-31,84
2014-09-07,81
2014-09-14,81
2014-09-21,82
2014-09-28,88
2014-10-05,83
2014-10-12,82
2014-10-19,83
2014-10-26,88
2014-11-02,90
2014-11-09,84
2014-11-16,83
2014-11-23,82
2014-11-30,93
2014-12-07,90
2014-12-14,95
2014-12-21,92
2014-12-28,100
2015-01-04,92
2015-01-11,85
2015-01-18,80
2015-01-25,84
2015-02-01,87
2015-02-08,85
2015-02-15,82
2015-02-22,84
2015-03-01,88
2015-03-08,85
2015-03-15,84
2015-03-22,83
2015-03-29,89
2015-04-05,82
2015-04-12,80
2015-04-19,78
2015-04-26,83
2015-05-03,85
2015-05-10,85
2015-05-17,86
2015-05-24,83
2015-05-31,89
2015-06-07,85
2015-06-14,83
2015-06-21,82
2015-06-28,90
2015-07-05,84
2015-07-12,80
2015-07-19,78
2015-07-26,83
2015-08-02,84
2015-08-09,85
2015-08-16,82
2015-08-23,80
2015-08-30,82
2015-09-06,72
2015-09-13,73
2015-09-20,72
2015-09-27,78
2015-10-04,75
2015-10-11,74
2015-10-18,70
2015-10-25,72
2015-11-01,76
2015-11-08,70
2015-11-15,71
2015-11-22,71
2015-11-29,81
2015-12-06,76
2015-12-13,79
2015-12-20,77
2015-12-27,83
2016-01-03,84
2016-01-10,78
2016-01-17,75
2016-01-24,75
2016-01-31,80
2016-02-07,78
2016-02-14,76
2016-02-21,75
2016-02-28,78
2016-03-06,72
2016-03-13,72
2016-03-20,70
2016-03-27,74
2016-04-03,73
2016-04-10,72
2016-04-17,71
2016-04-24,70
2016-05-01,75
2016-05-08,73
2016-05-15,72
2016-05-22,72
2016-05-29,78
2016-06-05,73
2016-06-12,74
2016-06-19,74
2016-06-26,79
2016-07-03,76
2016-07-10,75
2016-07-17,74
2016-07-24,73
2016-07-31,74
2016-08-07,69
2016-08-14,70
2016-08-21,70
2016-08-28,73
2016-09-04,70
2016-09-11,69
2016-09-18,69
2016-09-25,72
2016-10-02,72
2016-10-09,69
2016-10-16,69
2016-10-23,70
2016-10-30,73
2016-11-06,66
2016-11-13,71
2016-11-20,66
2016-11-27,75
2016-12-04,70
2016-12-11,71
2016-12-18,72
2016-12-25,68
2017-01-01,72
2017-01-08,68
2017-01-15,67
2017-01-22,65
2017-01-29,71
2017-02-05,65
2017-02-12,69
2017-02-19,68
2017-02-26,71
2017-03-05,69
2017-03-12,67
2017-03-19,65
2017-03-26,70
2017-04-02,72
2017-04-09,72
2017-04-16,70
2017-04-23,70
2017-04-30,73
2017-05-07,66
2017-05-14,66
2017-05-21,65
2017-05-28,69
2017-06-04,65
2017-06-11,65
2017-06-18,65
2017-06-25,69
2017-07-02,70
2017-07-09,68
2017-07-16,68
2017-07-23,70
2017-07-30,73
2017-08-06,69
2017-08-13,67
2017-08-20,64
2017-08-27,68
2017-09-03,65
2017-09-10,64
2017-09-17,67
2017-09-24,70
2017-10-01,71
2017-10-08,67
2017-10-15,65
2017-10-22,63
2017-10-29,68
2017-11-05,65
2017-11-12,94
