Category: All categories

Week,crisis: (United States)
2012-11-18,51
2012-11-25,61
2012-12-02,63
2012-12-09,61
2012-12-16,48
2012-12-23,35
2012-12-30,44
2013-01-06,50
2013-01-13,66
2013-01-20,51
2013-01-27,53
2013-02-03,55
2013-02-10,53
2013-02-17,61
2013-02-24,69
2013-03-03,62
2013-03-10,57
2013-03-17,64
2013-03-24,64
2013-03-31,61
2013-04-07,69
2013-04-14,75
2013-04-21,73
2013-04-28,75
2013-05-05,68
2013-05-12,65
2013-05-19,58
2013-05-26,54
2013-06-02,49
2013-06-09,47
2013-06-16,43
2013-06-23,43
2013-06-30,41
2013-07-07,43
2013-07-14,42
2013-07-21,41
2013-07-28,44
2013-08-04,44
2013-08-11,42
2013-08-18,44
2013-08-25,47
2013-09-01,52
2013-09-08,59
2013-09-15,54
2013-09-22,54
2013-09-29,56
2013-10-06,59
2013-10-13,62
2013-10-20,56
2013-10-27,56
2013-11-03,58
2013-11-10,61
2013-11-17,61
2013-11-24,47
2013-12-01,58
2013-12-08,59
2013-12-15,50
2013-12-22,33
2013-12-29,36
2014-01-05,45
2014-01-12,50
2014-01-19,50
2014-01-26,53
2014-02-02,52
2014-02-09,55
2014-02-16,60
2014-02-23,67
2014-03-02,80
2014-03-09,73
2014-03-16,100
2014-03-23,89
2014-03-30,78
2014-04-06,81
2014-04-13,81
2014-04-20,83
2014-04-27,85
2014-05-04,87
2014-05-11,85
2014-05-18,77
2014-05-25,69
2014-06-01,65
2014-06-08,56
2014-06-15,60
2014-06-22,60
2014-06-29,46
2014-07-06,56
2014-07-13,57
2014-07-20,52
2014-07-27,50
2014-08-03,52
2014-08-10,46
2014-08-17,46
2014-08-24,48
2014-08-31,52
2014-09-07,52
2014-09-14,53
2014-09-21,55
2014-09-28,57
2014-10-05,57
2014-10-12,59
2014-10-19,58
2014-10-26,56
2014-11-02,56
2014-11-09,59
2014-11-16,60
2014-11-23,45
2014-11-30,60
2014-12-07,60
2014-12-14,62
2014-12-21,33
2014-12-28,35
2015-01-04,45
2015-01-11,49
2015-01-18,50
2015-01-25,52
2015-02-01,51
2015-02-08,54
2015-02-15,52
2015-02-22,60
2015-03-01,57
2015-03-08,55
2015-03-15,56
2015-03-22,64
2015-03-29,62
2015-04-05,64
2015-04-12,71
2015-04-19,73
2015-04-26,73
2015-05-03,71
2015-05-10,67
2015-05-17,63
2015-05-24,55
2015-05-31,56
2015-06-07,50
2015-06-14,47
2015-06-21,47
2015-06-28,75
2015-07-05,72
2015-07-12,56
2015-07-19,47
2015-07-26,44
2015-08-02,44
2015-08-09,43
2015-08-16,45
2015-08-23,51
2015-08-30,70
2015-09-06,84
2015-09-13,79
2015-09-20,69
2015-09-27,66
2015-10-04,68
2015-10-11,66
2015-10-18,70
2015-10-25,89
2015-11-01,98
2015-11-08,87
2015-11-15,84
2015-11-22,51
2015-11-29,71
2015-12-06,73
2015-12-13,60
2015-12-20,39
2015-12-27,37
2016-01-03,54
2016-01-10,60
2016-01-17,90
2016-01-24,77
2016-01-31,75
2016-02-07,76
2016-02-14,70
2016-02-21,73
2016-02-28,71
2016-03-06,75
2016-03-13,69
2016-03-20,70
2016-03-27,68
2016-04-03,74
2016-04-10,79
2016-04-17,79
2016-04-24,79
2016-05-01,78
2016-05-08,72
2016-05-15,66
2016-05-22,62
2016-05-29,53
2016-06-05,59
2016-06-12,59
2016-06-19,51
2016-06-26,52
2016-07-03,47
2016-07-10,49
2016-07-17,48
2016-07-24,56
2016-07-31,48
2016-08-07,42
2016-08-14,41
2016-08-21,42
2016-08-28,47
2016-09-04,48
2016-09-11,54
2016-09-18,61
2016-09-25,58
2016-10-02,59
2016-10-09,60
2016-10-16,59
2016-10-23,59
2016-10-30,60
2016-11-06,58
2016-11-13,65
2016-11-20,50
2016-11-27,67
2016-12-04,68
2016-12-11,64
2016-12-18,48
2016-12-25,37
2017-01-01,45
2017-01-08,52
2017-01-15,52
2017-01-22,60
2017-01-29,68
2017-02-05,59
2017-02-12,64
2017-02-19,62
2017-02-26,61
2017-03-05,60
2017-03-12,60
2017-03-19,66
2017-03-26,65
2017-04-02,70
2017-04-09,70
2017-04-16,73
2017-04-23,78
2017-04-30,78
2017-05-07,73
2017-05-14,63
2017-05-21,61
2017-05-28,54
2017-06-04,53
2017-06-11,52
2017-06-18,45
2017-06-25,46
2017-07-02,44
2017-07-09,43
2017-07-16,45
2017-07-23,44
2017-07-30,45
2017-08-06,53
2017-08-13,44
2017-08-20,41
2017-08-27,52
2017-09-03,49
2017-09-10,51
2017-09-17,55
2017-09-24,61
2017-10-01,63
2017-10-08,60
2017-10-15,62
2017-10-22,73
2017-10-29,67
2017-11-05,66
2017-11-12,93
