Category: All categories

Week,happy: (United States)
2012-11-18,48
2012-11-25,34
2012-12-02,37
2012-12-09,38
2012-12-16,43
2012-12-23,49
2012-12-30,57
2013-01-06,34
2013-01-13,34
2013-01-20,35
2013-01-27,35
2013-02-03,35
2013-02-10,51
2013-02-17,35
2013-02-24,35
2013-03-03,35
2013-03-10,36
2013-03-17,37
2013-03-24,39
2013-03-31,41
2013-04-07,35
2013-04-14,36
2013-04-21,36
2013-04-28,38
2013-05-05,43
2013-05-12,50
2013-05-19,37
2013-05-26,37
2013-06-02,36
2013-06-09,36
2013-06-16,43
2013-06-23,35
2013-06-30,40
2013-07-07,34
2013-07-14,35
2013-07-21,34
2013-07-28,33
2013-08-04,34
2013-08-11,34
2013-08-18,33
2013-08-25,33
2013-09-01,34
2013-09-08,34
2013-09-15,34
2013-09-22,33
2013-09-29,34
2013-10-06,34
2013-10-13,36
2013-10-20,34
2013-10-27,42
2013-11-03,36
2013-11-10,37
2013-11-17,41
2013-11-24,58
2013-12-01,34
2013-12-08,36
2013-12-15,41
2013-12-22,63
2013-12-29,69
2014-01-05,36
2014-01-12,36
2014-01-19,36
2014-01-26,40
2014-02-02,38
2014-02-09,57
2014-02-16,42
2014-02-23,44
2014-03-02,48
2014-03-09,45
2014-03-16,49
2014-03-23,46
2014-03-30,45
2014-04-06,46
2014-04-13,50
2014-04-20,56
2014-04-27,47
2014-05-04,54
2014-05-11,64
2014-05-18,48
2014-05-25,45
2014-06-01,45
2014-06-08,43
2014-06-15,51
2014-06-22,40
2014-06-29,48
2014-07-06,38
2014-07-13,40
2014-07-20,40
2014-07-27,40
2014-08-03,41
2014-08-10,41
2014-08-17,40
2014-08-24,40
2014-08-31,40
2014-09-07,40
2014-09-14,41
2014-09-21,43
2014-09-28,43
2014-10-05,42
2014-10-12,42
2014-10-19,49
2014-10-26,56
2014-11-02,45
2014-11-09,47
2014-11-16,45
2014-11-23,64
2014-11-30,42
2014-12-07,45
2014-12-14,51
2014-12-21,54
2014-12-28,92
2015-01-04,42
2015-01-11,42
2015-01-18,41
2015-01-25,41
2015-02-01,42
2015-02-08,58
2015-02-15,45
2015-02-22,41
2015-03-01,45
2015-03-08,44
2015-03-15,45
2015-03-22,44
2015-03-29,48
2015-04-05,54
2015-04-12,43
2015-04-19,45
2015-04-26,44
2015-05-03,52
2015-05-10,71
2015-05-17,48
2015-05-24,47
2015-05-31,45
2015-06-07,44
2015-06-14,45
2015-06-21,58
2015-06-28,51
2015-07-05,43
2015-07-12,42
2015-07-19,42
2015-07-26,41
2015-08-02,43
2015-08-09,42
2015-08-16,42
2015-08-23,44
2015-08-30,47
2015-09-06,47
2015-09-13,49
2015-09-20,50
2015-09-27,50
2015-10-04,47
2015-10-11,49
2015-10-18,47
2015-10-25,53
2015-11-01,49
2015-11-08,56
2015-11-15,49
2015-11-22,72
2015-11-29,47
2015-12-06,51
2015-12-13,54
2015-12-20,58
2015-12-27,100
2016-01-03,46
2016-01-10,44
2016-01-17,45
2016-01-24,45
2016-01-31,46
2016-02-07,51
2016-02-14,65
2016-02-21,45
2016-02-28,44
2016-03-06,47
2016-03-13,49
2016-03-20,51
2016-03-27,61
2016-04-03,45
2016-04-10,46
2016-04-17,47
2016-04-24,45
2016-05-01,55
2016-05-08,84
2016-05-15,46
2016-05-22,46
2016-05-29,46
2016-06-05,45
2016-06-12,47
2016-06-19,67
2016-06-26,44
2016-07-03,52
2016-07-10,42
2016-07-17,43
2016-07-24,45
2016-07-31,45
2016-08-07,43
2016-08-14,43
2016-08-21,44
2016-08-28,43
2016-09-04,45
2016-09-11,45
2016-09-18,45
2016-09-25,45
2016-10-02,44
2016-10-09,44
2016-10-16,44
2016-10-23,45
2016-10-30,50
2016-11-06,44
2016-11-13,44
2016-11-20,70
2016-11-27,42
2016-12-04,45
2016-12-11,47
2016-12-18,54
2016-12-25,67
2017-01-01,70
2017-01-08,42
2017-01-15,41
2017-01-22,44
2017-01-29,43
2017-02-05,41
2017-02-12,70
2017-02-19,41
2017-02-26,41
2017-03-05,43
2017-03-12,45
2017-03-19,43
2017-03-26,41
2017-04-02,41
2017-04-09,47
2017-04-16,57
2017-04-23,46
2017-04-30,46
2017-05-07,52
2017-05-14,80
2017-05-21,43
2017-05-28,43
2017-06-04,42
2017-06-11,44
2017-06-18,65
2017-06-25,43
2017-07-02,52
2017-07-09,41
2017-07-16,41
2017-07-23,42
2017-07-30,42
2017-08-06,43
2017-08-13,42
2017-08-20,40
2017-08-27,39
2017-09-03,39
2017-09-10,40
2017-09-17,43
2017-09-24,42
2017-10-01,43
2017-10-08,53
2017-10-15,54
2017-10-22,46
2017-10-29,52
2017-11-05,46
2017-11-12,85
