Category: All categories

Week,car: (United States)
2012-11-18,39
2012-11-25,37
2012-12-02,37
2012-12-09,37
2012-12-16,37
2012-12-23,39
2012-12-30,39
2013-01-06,38
2013-01-13,39
2013-01-20,40
2013-01-27,39
2013-02-03,39
2013-02-10,40
2013-02-17,42
2013-02-24,41
2013-03-03,41
2013-03-10,43
2013-03-17,42
2013-03-24,43
2013-03-31,42
2013-04-07,41
2013-04-14,40
2013-04-21,41
2013-04-28,41
2013-05-05,41
2013-05-12,43
2013-05-19,43
2013-05-26,45
2013-06-02,44
2013-06-09,45
2013-06-16,45
2013-06-23,47
2013-06-30,46
2013-07-07,46
2013-07-14,45
2013-07-21,47
2013-07-28,46
2013-08-04,46
2013-08-11,46
2013-08-18,45
2013-08-25,42
2013-09-01,42
2013-09-08,41
2013-09-15,41
2013-09-22,42
2013-09-29,42
2013-10-06,41
2013-10-13,41
2013-10-20,41
2013-10-27,39
2013-11-03,40
2013-11-10,40
2013-11-17,40
2013-11-24,39
2013-12-01,45
2013-12-08,41
2013-12-15,42
2013-12-22,42
2013-12-29,41
2014-01-05,43
2014-01-12,42
2014-01-19,42
2014-01-26,43
2014-02-02,40
2014-02-09,44
2014-02-16,45
2014-02-23,45
2014-03-02,44
2014-03-09,45
2014-03-16,44
2014-03-23,43
2014-03-30,43
2014-04-06,44
2014-04-13,44
2014-04-20,44
2014-04-27,43
2014-05-04,44
2014-05-11,44
2014-05-18,46
2014-05-25,46
2014-06-01,47
2014-06-08,46
2014-06-15,46
2014-06-22,47
2014-06-29,49
2014-07-06,49
2014-07-13,48
2014-07-20,49
2014-07-27,48
2014-08-03,48
2014-08-10,48
2014-08-17,46
2014-08-24,45
2014-08-31,43
2014-09-07,41
2014-09-14,42
2014-09-21,43
2014-09-28,42
2014-10-05,41
2014-10-12,40
2014-10-19,41
2014-10-26,40
2014-11-02,41
2014-11-09,41
2014-11-16,41
2014-11-23,40
2014-11-30,39
2014-12-07,40
2014-12-14,40
2014-12-21,40
2014-12-28,42
2015-01-04,42
2015-01-11,42
2015-01-18,42
2015-01-25,42
2015-02-01,42
2015-02-08,44
2015-02-15,45
2015-02-22,44
2015-03-01,45
2015-03-08,46
2015-03-15,46
2015-03-22,45
2015-03-29,47
2015-04-05,45
2015-04-12,45
2015-04-19,45
2015-04-26,44
2015-05-03,45
2015-05-10,46
2015-05-17,49
2015-05-24,49
2015-05-31,47
2015-06-07,49
2015-06-14,48
2015-06-21,50
2015-06-28,50
2015-07-05,49
2015-07-12,51
2015-07-19,53
2015-07-26,51
2015-08-02,50
2015-08-09,50
2015-08-16,49
2015-08-23,47
2015-08-30,48
2015-09-06,46
2015-09-13,44
2015-09-20,46
2015-09-27,44
2015-10-04,43
2015-10-11,43
2015-10-18,43
2015-10-25,42
2015-11-01,43
2015-11-08,41
2015-11-15,41
2015-11-22,42
2015-11-29,41
2015-12-06,41
2015-12-13,42
2015-12-20,43
2015-12-27,46
2016-01-03,46
2016-01-10,45
2016-01-17,45
2016-01-24,46
2016-01-31,47
2016-02-07,49
2016-02-14,50
2016-02-21,50
2016-02-28,49
2016-03-06,50
2016-03-13,49
2016-03-20,50
2016-03-27,51
2016-04-03,50
2016-04-10,49
2016-04-17,50
2016-04-24,48
2016-05-01,49
2016-05-08,50
2016-05-15,52
2016-05-22,52
2016-05-29,52
2016-06-05,52
2016-06-12,52
2016-06-19,54
2016-06-26,54
2016-07-03,52
2016-07-10,53
2016-07-17,54
2016-07-24,54
2016-07-31,53
2016-08-07,50
2016-08-14,49
2016-08-21,49
2016-08-28,50
2016-09-04,50
2016-09-11,48
2016-09-18,48
2016-09-25,46
2016-10-02,45
2016-10-09,47
2016-10-16,46
2016-10-23,46
2016-10-30,44
2016-11-06,41
2016-11-13,47
2016-11-20,47
2016-11-27,46
2016-12-04,45
2016-12-11,48
2016-12-18,49
2016-12-25,49
2017-01-01,48
2017-01-08,49
2017-01-15,47
2017-01-22,46
2017-01-29,48
2017-02-05,47
2017-02-12,49
2017-02-19,52
2017-02-26,52
2017-03-05,51
2017-03-12,51
2017-03-19,51
2017-03-26,51
2017-04-02,51
2017-04-09,51
2017-04-16,51
2017-04-23,50
2017-04-30,51
2017-05-07,52
2017-05-14,56
2017-05-21,55
2017-05-28,55
2017-06-04,55
2017-06-11,57
2017-06-18,59
2017-06-25,58
2017-07-02,58
2017-07-09,59
2017-07-16,58
2017-07-23,58
2017-07-30,57
2017-08-06,56
2017-08-13,56
2017-08-20,51
2017-08-27,52
2017-09-03,49
2017-09-10,49
2017-09-17,51
2017-09-24,50
2017-10-01,50
2017-10-08,50
2017-10-15,50
2017-10-22,49
2017-10-29,47
2017-11-05,48
2017-11-12,100
