Category: All categories

Week,nasdaq: (United States)
2012-11-18,27
2012-11-25,34
2012-12-02,33
2012-12-09,34
2012-12-16,33
2012-12-23,24
2012-12-30,33
2013-01-06,35
2013-01-13,39
2013-01-20,39
2013-01-27,43
2013-02-03,41
2013-02-10,40
2013-02-17,35
2013-02-24,38
2013-03-03,41
2013-03-10,39
2013-03-17,36
2013-03-24,35
2013-03-31,39
2013-04-07,37
2013-04-14,36
2013-04-21,41
2013-04-28,39
2013-05-05,42
2013-05-12,39
2013-05-19,38
2013-05-26,34
2013-06-02,39
2013-06-09,35
2013-06-16,37
2013-06-23,34
2013-06-30,29
2013-07-07,40
2013-07-14,38
2013-07-21,39
2013-07-28,40
2013-08-04,38
2013-08-11,38
2013-08-18,94
2013-08-25,40
2013-09-01,31
2013-09-08,39
2013-09-15,41
2013-09-22,40
2013-09-29,43
2013-10-06,46
2013-10-13,45
2013-10-20,47
2013-10-27,46
2013-11-03,48
2013-11-10,44
2013-11-17,41
2013-11-24,36
2013-12-01,36
2013-12-08,42
2013-12-15,38
2013-12-22,33
2013-12-29,32
2014-01-05,43
2014-01-12,47
2014-01-19,40
2014-01-26,50
2014-02-02,48
2014-02-09,48
2014-02-16,42
2014-02-23,48
2014-03-02,50
2014-03-09,47
2014-03-16,44
2014-03-23,51
2014-03-30,51
2014-04-06,54
2014-04-13,46
2014-04-20,49
2014-04-27,43
2014-05-04,48
2014-05-11,43
2014-05-18,40
2014-05-25,37
2014-06-01,41
2014-06-08,42
2014-06-15,40
2014-06-22,42
2014-06-29,38
2014-07-06,40
2014-07-13,43
2014-07-20,41
2014-07-27,44
2014-08-03,43
2014-08-10,40
2014-08-17,41
2014-08-24,41
2014-08-31,37
2014-09-07,41
2014-09-14,50
2014-09-21,46
2014-09-28,47
2014-10-05,48
2014-10-12,58
2014-10-19,50
2014-10-26,53
2014-11-02,49
2014-11-09,51
2014-11-16,47
2014-11-23,36
2014-11-30,43
2014-12-07,43
2014-12-14,47
2014-12-21,40
2014-12-28,34
2015-01-04,48
2015-01-11,44
2015-01-18,40
2015-01-25,52
2015-02-01,47
2015-02-08,49
2015-02-15,45
2015-02-22,54
2015-03-01,60
2015-03-08,49
2015-03-15,49
2015-03-22,48
2015-03-29,44
2015-04-05,44
2015-04-12,49
2015-04-19,55
2015-04-26,53
2015-05-03,49
2015-05-10,47
2015-05-17,45
2015-05-24,38
2015-05-31,40
2015-06-07,41
2015-06-14,44
2015-06-21,44
2015-06-28,47
2015-07-05,57
2015-07-12,48
2015-07-19,57
2015-07-26,48
2015-08-02,50
2015-08-09,47
2015-08-16,50
2015-08-23,100
2015-08-30,59
2015-09-06,42
2015-09-13,46
2015-09-20,49
2015-09-27,53
2015-10-04,47
2015-10-11,45
2015-10-18,47
2015-10-25,47
2015-11-01,46
2015-11-08,43
2015-11-15,42
2015-11-22,33
2015-11-29,39
2015-12-06,42
2015-12-13,41
2015-12-20,30
2015-12-27,32
2016-01-03,49
2016-01-10,53
2016-01-17,49
2016-01-24,49
2016-01-31,52
2016-02-07,54
2016-02-14,41
2016-02-21,44
2016-02-28,42
2016-03-06,43
2016-03-13,39
2016-03-20,38
2016-03-27,39
2016-04-03,40
2016-04-10,39
2016-04-17,43
2016-04-24,45
2016-05-01,40
2016-05-08,36
2016-05-15,37
2016-05-22,36
2016-05-29,31
2016-06-05,36
2016-06-12,34
2016-06-19,54
2016-06-26,49
2016-07-03,31
2016-07-10,41
2016-07-17,42
2016-07-24,45
2016-07-31,41
2016-08-07,37
2016-08-14,33
2016-08-21,36
2016-08-28,32
2016-09-04,33
2016-09-11,38
2016-09-18,41
2016-09-25,39
2016-10-02,36
2016-10-09,37
2016-10-16,36
2016-10-23,40
2016-10-30,38
2016-11-06,95
2016-11-13,53
2016-11-20,34
2016-11-27,47
2016-12-04,44
2016-12-11,45
2016-12-18,40
2016-12-25,32
2017-01-01,39
2017-01-08,44
2017-01-15,44
2017-01-22,54
2017-01-29,53
2017-02-05,48
2017-02-12,51
2017-02-19,45
2017-02-26,55
2017-03-05,50
2017-03-12,48
2017-03-19,49
2017-03-26,48
2017-04-02,44
2017-04-09,43
2017-04-16,45
2017-04-23,55
2017-04-30,52
2017-05-07,50
2017-05-14,51
2017-05-21,48
2017-05-28,43
2017-06-04,58
2017-06-11,57
2017-06-18,53
2017-06-25,57
2017-07-02,49
2017-07-09,48
2017-07-16,50
2017-07-23,61
2017-07-30,60
2017-08-06,55
2017-08-13,52
2017-08-20,46
2017-08-27,46
2017-09-03,40
2017-09-10,49
2017-09-17,49
2017-09-24,52
2017-10-01,48
2017-10-08,48
2017-10-15,53
2017-10-22,56
2017-10-29,58
2017-11-05,55
2017-11-12,37
