Category: All categories

Week,gains: (United States)
2012-11-18,38
2012-11-25,51
2012-12-02,55
2012-12-09,50
2012-12-16,47
2012-12-23,38
2012-12-30,70
2013-01-06,44
2013-01-13,39
2013-01-20,41
2013-01-27,43
2013-02-03,44
2013-02-10,44
2013-02-17,48
2013-02-24,46
2013-03-03,49
2013-03-10,48
2013-03-17,47
2013-03-24,44
2013-03-31,48
2013-04-07,56
2013-04-14,45
2013-04-21,42
2013-04-28,41
2013-05-05,39
2013-05-12,39
2013-05-19,36
2013-05-26,34
2013-06-02,35
2013-06-09,32
2013-06-16,33
2013-06-23,32
2013-06-30,27
2013-07-07,35
2013-07-14,34
2013-07-21,36
2013-07-28,34
2013-08-04,35
2013-08-11,35
2013-08-18,35
2013-08-25,34
2013-09-01,34
2013-09-08,38
2013-09-15,40
2013-09-22,41
2013-09-29,40
2013-10-06,39
2013-10-13,40
2013-10-20,44
2013-10-27,42
2013-11-03,42
2013-11-10,46
2013-11-17,46
2013-11-24,35
2013-12-01,44
2013-12-08,46
2013-12-15,48
2013-12-22,37
2013-12-29,40
2014-01-05,43
2014-01-12,44
2014-01-19,43
2014-01-26,49
2014-02-02,47
2014-02-09,51
2014-02-16,54
2014-02-23,55
2014-03-02,54
2014-03-09,49
2014-03-16,50
2014-03-23,54
2014-03-30,59
2014-04-06,60
2014-04-13,52
2014-04-20,45
2014-04-27,45
2014-05-04,44
2014-05-11,42
2014-05-18,39
2014-05-25,42
2014-06-01,42
2014-06-08,39
2014-06-15,39
2014-06-22,41
2014-06-29,35
2014-07-06,37
2014-07-13,40
2014-07-20,41
2014-07-27,41
2014-08-03,37
2014-08-10,38
2014-08-17,41
2014-08-24,41
2014-08-31,41
2014-09-07,42
2014-09-14,44
2014-09-21,42
2014-09-28,44
2014-10-05,46
2014-10-12,43
2014-10-19,48
2014-10-26,49
2014-11-02,49
2014-11-09,50
2014-11-16,48
2014-11-23,39
2014-11-30,47
2014-12-07,52
2014-12-14,52
2014-12-21,43
2014-12-28,47
2015-01-04,51
2015-01-11,48
2015-01-18,65
2015-01-25,56
2015-02-01,57
2015-02-08,56
2015-02-15,57
2015-02-22,58
2015-03-01,56
2015-03-08,57
2015-03-15,57
2015-03-22,57
2015-03-29,62
2015-04-05,66
2015-04-12,68
2015-04-19,52
2015-04-26,48
2015-05-03,47
2015-05-10,45
2015-05-17,44
2015-05-24,41
2015-05-31,51
2015-06-07,80
2015-06-14,56
2015-06-21,55
2015-06-28,63
2015-07-05,100
2015-07-12,54
2015-07-19,58
2015-07-26,47
2015-08-02,47
2015-08-09,46
2015-08-16,46
2015-08-23,49
2015-08-30,45
2015-09-06,44
2015-09-13,45
2015-09-20,43
2015-09-27,45
2015-10-04,48
2015-10-11,48
2015-10-18,47
2015-10-25,48
2015-11-01,52
2015-11-08,47
2015-11-15,50
2015-11-22,42
2015-11-29,52
2015-12-06,52
2015-12-13,53
2015-12-20,44
2015-12-27,46
2016-01-03,46
2016-01-10,50
2016-01-17,51
2016-01-24,53
2016-01-31,56
2016-02-07,57
2016-02-14,56
2016-02-21,60
2016-02-28,61
2016-03-06,60
2016-03-13,58
2016-03-20,57
2016-03-27,60
2016-04-03,62
2016-04-10,67
2016-04-17,59
2016-04-24,50
2016-05-01,51
2016-05-08,45
2016-05-15,45
2016-05-22,44
2016-05-29,42
2016-06-05,48
2016-06-12,42
2016-06-19,43
2016-06-26,43
2016-07-03,39
2016-07-10,42
2016-07-17,45
2016-07-24,44
2016-07-31,55
2016-08-07,44
2016-08-14,39
2016-08-21,40
2016-08-28,41
2016-09-04,42
2016-09-11,45
2016-09-18,44
2016-09-25,46
2016-10-02,45
2016-10-09,45
2016-10-16,46
2016-10-23,49
2016-10-30,45
2016-11-06,46
2016-11-13,52
2016-11-20,43
2016-11-27,54
2016-12-04,57
2016-12-11,56
2016-12-18,46
2016-12-25,45
2017-01-01,47
2017-01-08,48
2017-01-15,51
2017-01-22,54
2017-01-29,58
2017-02-05,56
2017-02-12,60
2017-02-19,62
2017-02-26,62
2017-03-05,61
2017-03-12,58
2017-03-19,60
2017-03-26,63
2017-04-02,62
2017-04-09,65
2017-04-16,60
2017-04-23,61
2017-04-30,55
2017-05-07,51
2017-05-14,45
2017-05-21,50
2017-05-28,45
2017-06-04,47
2017-06-11,43
2017-06-18,45
2017-06-25,47
2017-07-02,45
2017-07-09,46
2017-07-16,49
2017-07-23,49
2017-07-30,50
2017-08-06,47
2017-08-13,41
2017-08-20,41
2017-08-27,45
2017-09-03,43
2017-09-10,48
2017-09-17,47
2017-09-24,54
2017-10-01,51
2017-10-08,51
2017-10-15,54
2017-10-22,54
2017-10-29,63
2017-11-05,61
2017-11-12,94
