Category: All categories

Week,finance: (United States)
2012-11-18,52
2012-11-25,62
2012-12-02,62
2012-12-09,60
2012-12-16,60
2012-12-23,48
2012-12-30,61
2013-01-06,65
2013-01-13,67
2013-01-20,66
2013-01-27,70
2013-02-03,67
2013-02-10,68
2013-02-17,66
2013-02-24,71
2013-03-03,71
2013-03-10,71
2013-03-17,68
2013-03-24,64
2013-03-31,66
2013-04-07,68
2013-04-14,69
2013-04-21,71
2013-04-28,70
2013-05-05,68
2013-05-12,69
2013-05-19,68
2013-05-26,64
2013-06-02,66
2013-06-09,67
2013-06-16,68
2013-06-23,67
2013-06-30,58
2013-07-07,65
2013-07-14,67
2013-07-21,68
2013-07-28,69
2013-08-04,68
2013-08-11,66
2013-08-18,65
2013-08-25,65
2013-09-01,61
2013-09-08,67
2013-09-15,69
2013-09-22,67
2013-09-29,71
2013-10-06,73
2013-10-13,73
2013-10-20,73
2013-10-27,71
2013-11-03,75
2013-11-10,71
2013-11-17,69
2013-11-24,55
2013-12-01,65
2013-12-08,65
2013-12-15,66
2013-12-22,53
2013-12-29,58
2014-01-05,70
2014-01-12,74
2014-01-19,69
2014-01-26,75
2014-02-02,76
2014-02-09,73
2014-02-16,70
2014-02-23,75
2014-03-02,73
2014-03-09,70
2014-03-16,69
2014-03-23,69
2014-03-30,71
2014-04-06,72
2014-04-13,67
2014-04-20,70
2014-04-27,72
2014-05-04,69
2014-05-11,68
2014-05-18,65
2014-05-25,61
2014-06-01,66
2014-06-08,64
2014-06-15,66
2014-06-22,65
2014-06-29,60
2014-07-06,67
2014-07-13,68
2014-07-20,70
2014-07-27,72
2014-08-03,68
2014-08-10,66
2014-08-17,67
2014-08-24,66
2014-08-31,62
2014-09-07,67
2014-09-14,73
2014-09-21,70
2014-09-28,72
2014-10-05,72
2014-10-12,78
2014-10-19,75
2014-10-26,73
2014-11-02,72
2014-11-09,69
2014-11-16,67
2014-11-23,55
2014-11-30,67
2014-12-07,69
2014-12-14,70
2014-12-21,52
2014-12-28,56
2015-01-04,70
2015-01-11,71
2015-01-18,69
2015-01-25,74
2015-02-01,74
2015-02-08,73
2015-02-15,67
2015-02-22,72
2015-03-01,71
2015-03-08,71
2015-03-15,72
2015-03-22,71
2015-03-29,68
2015-04-05,68
2015-04-12,72
2015-04-19,73
2015-04-26,71
2015-05-03,70
2015-05-10,67
2015-05-17,67
2015-05-24,62
2015-05-31,66
2015-06-07,67
2015-06-14,65
2015-06-21,67
2015-06-28,68
2015-07-05,77
2015-07-12,72
2015-07-19,76
2015-07-26,73
2015-08-02,71
2015-08-09,71
2015-08-16,74
2015-08-23,100
2015-08-30,78
2015-09-06,67
2015-09-13,71
2015-09-20,71
2015-09-27,74
2015-10-04,72
2015-10-11,70
2015-10-18,71
2015-10-25,71
2015-11-01,72
2015-11-08,67
2015-11-15,68
2015-11-22,53
2015-11-29,68
2015-12-06,67
2015-12-13,67
2015-12-20,51
2015-12-27,52
2016-01-03,73
2016-01-10,72
2016-01-17,70
2016-01-24,71
2016-01-31,72
2016-02-07,73
2016-02-14,65
2016-02-21,68
2016-02-28,68
2016-03-06,66
2016-03-13,66
2016-03-20,61
2016-03-27,66
2016-04-03,66
2016-04-10,68
2016-04-17,67
2016-04-24,66
2016-05-01,65
2016-05-08,64
2016-05-15,62
2016-05-22,60
2016-05-29,58
2016-06-05,65
2016-06-12,60
2016-06-19,70
2016-06-26,71
2016-07-03,56
2016-07-10,64
2016-07-17,61
2016-07-24,62
2016-07-31,60
2016-08-07,57
2016-08-14,57
2016-08-21,58
2016-08-28,57
2016-09-04,53
2016-09-11,59
2016-09-18,58
2016-09-25,58
2016-10-02,58
2016-10-09,58
2016-10-16,58
2016-10-23,61
2016-10-30,60
2016-11-06,67
2016-11-13,64
2016-11-20,50
2016-11-27,61
2016-12-04,61
2016-12-11,61
2016-12-18,53
2016-12-25,46
2017-01-01,58
2017-01-08,61
2017-01-15,58
2017-01-22,63
2017-01-29,66
2017-02-05,62
2017-02-12,65
2017-02-19,62
2017-02-26,69
2017-03-05,62
2017-03-12,59
2017-03-19,61
2017-03-26,61
2017-04-02,60
2017-04-09,59
2017-04-16,61
2017-04-23,64
2017-04-30,65
2017-05-07,62
2017-05-14,62
2017-05-21,57
2017-05-28,54
2017-06-04,58
2017-06-11,58
2017-06-18,59
2017-06-25,60
2017-07-02,54
2017-07-09,60
2017-07-16,61
2017-07-23,62
2017-07-30,64
2017-08-06,63
2017-08-13,59
2017-08-20,56
2017-08-27,58
2017-09-03,53
2017-09-10,61
2017-09-17,62
2017-09-24,61
2017-10-01,61
2017-10-08,61
2017-10-15,64
2017-10-22,64
2017-10-29,68
2017-11-05,64
2017-11-12,58
