Category: All categories

Week,sell: (United States)
2012-11-18,39
2012-11-25,39
2012-12-02,40
2012-12-09,40
2012-12-16,43
2012-12-23,43
2012-12-30,43
2013-01-06,41
2013-01-13,40
2013-01-20,40
2013-01-27,40
2013-02-03,37
2013-02-10,38
2013-02-17,39
2013-02-24,38
2013-03-03,38
2013-03-10,39
2013-03-17,39
2013-03-24,39
2013-03-31,38
2013-04-07,39
2013-04-14,38
2013-04-21,40
2013-04-28,41
2013-05-05,40
2013-05-12,41
2013-05-19,41
2013-05-26,42
2013-06-02,42
2013-06-09,44
2013-06-16,43
2013-06-23,43
2013-06-30,42
2013-07-07,43
2013-07-14,43
2013-07-21,44
2013-07-28,44
2013-08-04,45
2013-08-11,44
2013-08-18,44
2013-08-25,42
2013-09-01,42
2013-09-08,41
2013-09-15,42
2013-09-22,42
2013-09-29,40
2013-10-06,42
2013-10-13,43
2013-10-20,42
2013-10-27,41
2013-11-03,42
2013-11-10,42
2013-11-17,42
2013-11-24,41
2013-12-01,40
2013-12-08,42
2013-12-15,46
2013-12-22,47
2013-12-29,46
2014-01-05,42
2014-01-12,43
2014-01-19,42
2014-01-26,42
2014-02-02,40
2014-02-09,41
2014-02-16,41
2014-02-23,42
2014-03-02,40
2014-03-09,42
2014-03-16,42
2014-03-23,42
2014-03-30,41
2014-04-06,40
2014-04-13,41
2014-04-20,41
2014-04-27,43
2014-05-04,43
2014-05-11,43
2014-05-18,42
2014-05-25,42
2014-06-01,43
2014-06-08,42
2014-06-15,43
2014-06-22,44
2014-06-29,43
2014-07-06,44
2014-07-13,44
2014-07-20,45
2014-07-27,46
2014-08-03,45
2014-08-10,43
2014-08-17,44
2014-08-24,42
2014-08-31,41
2014-09-07,43
2014-09-14,43
2014-09-21,42
2014-09-28,41
2014-10-05,41
2014-10-12,40
2014-10-19,41
2014-10-26,41
2014-11-02,39
2014-11-09,41
2014-11-16,40
2014-11-23,39
2014-11-30,41
2014-12-07,42
2014-12-14,45
2014-12-21,46
2014-12-28,46
2015-01-04,43
2015-01-11,43
2015-01-18,42
2015-01-25,41
2015-02-01,39
2015-02-08,40
2015-02-15,39
2015-02-22,39
2015-03-01,39
2015-03-08,39
2015-03-15,41
2015-03-22,41
2015-03-29,41
2015-04-05,41
2015-04-12,40
2015-04-19,42
2015-04-26,40
2015-05-03,42
2015-05-10,42
2015-05-17,43
2015-05-24,43
2015-05-31,43
2015-06-07,44
2015-06-14,44
2015-06-21,45
2015-06-28,45
2015-07-05,46
2015-07-12,47
2015-07-19,47
2015-07-26,47
2015-08-02,46
2015-08-09,45
2015-08-16,45
2015-08-23,46
2015-08-30,44
2015-09-06,43
2015-09-13,42
2015-09-20,42
2015-09-27,42
2015-10-04,42
2015-10-11,42
2015-10-18,41
2015-10-25,42
2015-11-01,40
2015-11-08,41
2015-11-15,41
2015-11-22,40
2015-11-29,41
2015-12-06,42
2015-12-13,45
2015-12-20,50
2015-12-27,49
2016-01-03,49
2016-01-10,47
2016-01-17,46
2016-01-24,44
2016-01-31,45
2016-02-07,44
2016-02-14,45
2016-02-21,44
2016-02-28,44
2016-03-06,44
2016-03-13,44
2016-03-20,46
2016-03-27,45
2016-04-03,47
2016-04-10,47
2016-04-17,46
2016-04-24,46
2016-05-01,47
2016-05-08,45
2016-05-15,48
2016-05-22,46
2016-05-29,48
2016-06-05,48
2016-06-12,48
2016-06-19,49
2016-06-26,49
2016-07-03,49
2016-07-10,48
2016-07-17,47
2016-07-24,48
2016-07-31,48
2016-08-07,44
2016-08-14,45
2016-08-21,46
2016-08-28,45
2016-09-04,48
2016-09-11,45
2016-09-18,43
2016-09-25,44
2016-10-02,43
2016-10-09,44
2016-10-16,45
2016-10-23,46
2016-10-30,44
2016-11-06,43
2016-11-13,46
2016-11-20,47
2016-11-27,48
2016-12-04,48
2016-12-11,49
2016-12-18,52
2016-12-25,50
2017-01-01,51
2017-01-08,49
2017-01-15,49
2017-01-22,49
2017-01-29,48
2017-02-05,46
2017-02-12,47
2017-02-19,49
2017-02-26,48
2017-03-05,49
2017-03-12,48
2017-03-19,48
2017-03-26,50
2017-04-02,49
2017-04-09,49
2017-04-16,49
2017-04-23,50
2017-04-30,50
2017-05-07,50
2017-05-14,47
2017-05-21,50
2017-05-28,50
2017-06-04,50
2017-06-11,51
2017-06-18,53
2017-06-25,53
2017-07-02,52
2017-07-09,52
2017-07-16,52
2017-07-23,52
2017-07-30,51
2017-08-06,52
2017-08-13,51
2017-08-20,49
2017-08-27,47
2017-09-03,45
2017-09-10,45
2017-09-17,47
2017-09-24,46
2017-10-01,45
2017-10-08,46
2017-10-15,46
2017-10-22,48
2017-10-29,46
2017-11-05,47
2017-11-12,100
