Category: All categories

Week,derivatives: (United States)
2012-11-18,42
2012-11-25,59
2012-12-02,67
2012-12-09,72
2012-12-16,43
2012-12-23,15
2012-12-30,23
2013-01-06,41
2013-01-13,46
2013-01-20,45
2013-01-27,60
2013-02-03,61
2013-02-10,60
2013-02-17,63
2013-02-24,67
2013-03-03,60
2013-03-10,52
2013-03-17,54
2013-03-24,46
2013-03-31,50
2013-04-07,53
2013-04-14,53
2013-04-21,52
2013-04-28,56
2013-05-05,58
2013-05-12,42
2013-05-19,40
2013-05-26,33
2013-06-02,38
2013-06-09,32
2013-06-16,30
2013-06-23,30
2013-06-30,23
2013-07-07,27
2013-07-14,27
2013-07-21,29
2013-07-28,28
2013-08-04,27
2013-08-11,26
2013-08-18,27
2013-08-25,42
2013-09-01,46
2013-09-08,56
2013-09-15,70
2013-09-22,81
2013-09-29,88
2013-10-06,91
2013-10-13,83
2013-10-20,86
2013-10-27,79
2013-11-03,74
2013-11-10,70
2013-11-17,64
2013-11-24,40
2013-12-01,59
2013-12-08,72
2013-12-15,48
2013-12-22,15
2013-12-29,17
2014-01-05,35
2014-01-12,53
2014-01-19,53
2014-01-26,55
2014-02-02,59
2014-02-09,63
2014-02-16,64
2014-02-23,68
2014-03-02,63
2014-03-09,54
2014-03-16,50
2014-03-23,50
2014-03-30,51
2014-04-06,56
2014-04-13,45
2014-04-20,54
2014-04-27,60
2014-05-04,61
2014-05-11,48
2014-05-18,42
2014-05-25,37
2014-06-01,36
2014-06-08,33
2014-06-15,30
2014-06-22,24
2014-06-29,26
2014-07-06,30
2014-07-13,28
2014-07-20,31
2014-07-27,24
2014-08-03,26
2014-08-10,25
2014-08-17,33
2014-08-24,44
2014-08-31,51
2014-09-07,55
2014-09-14,67
2014-09-21,92
2014-09-28,94
2014-10-05,94
2014-10-12,87
2014-10-19,85
2014-10-26,78
2014-11-02,70
2014-11-09,73
2014-11-16,69
2014-11-23,37
2014-11-30,66
2014-12-07,86
2014-12-14,66
2014-12-21,19
2014-12-28,19
2015-01-04,41
2015-01-11,51
2015-01-18,56
2015-01-25,60
2015-02-01,59
2015-02-08,67
2015-02-15,69
2015-02-22,74
2015-03-01,70
2015-03-08,57
2015-03-15,55
2015-03-22,57
2015-03-29,48
2015-04-05,53
2015-04-12,57
2015-04-19,58
2015-04-26,58
2015-05-03,67
2015-05-10,47
2015-05-17,43
2015-05-24,35
2015-05-31,37
2015-06-07,35
2015-06-14,33
2015-06-21,30
2015-06-28,30
2015-07-05,32
2015-07-12,29
2015-07-19,30
2015-07-26,25
2015-08-02,27
2015-08-09,25
2015-08-16,27
2015-08-23,40
2015-08-30,55
2015-09-06,57
2015-09-13,71
2015-09-20,85
2015-09-27,98
2015-10-04,100
2015-10-11,89
2015-10-18,99
2015-10-25,88
2015-11-01,79
2015-11-08,69
2015-11-15,71
2015-11-22,42
2015-11-29,66
2015-12-06,77
2015-12-13,70
2015-12-20,21
2015-12-27,20
2016-01-03,36
2016-01-10,44
2016-01-17,48
2016-01-24,55
2016-01-31,61
2016-02-07,65
2016-02-14,62
2016-02-21,73
2016-02-28,60
2016-03-06,59
2016-03-13,48
2016-03-20,46
2016-03-27,48
2016-04-03,56
2016-04-10,53
2016-04-17,51
2016-04-24,69
2016-05-01,64
2016-05-08,45
2016-05-15,38
2016-05-22,32
2016-05-29,29
2016-06-05,33
2016-06-12,24
2016-06-19,25
2016-06-26,26
2016-07-03,24
2016-07-10,25
2016-07-17,25
2016-07-24,28
2016-07-31,22
2016-08-07,21
2016-08-14,21
2016-08-21,33
2016-08-28,42
2016-09-04,47
2016-09-11,61
2016-09-18,74
2016-09-25,83
2016-10-02,83
2016-10-09,81
2016-10-16,83
2016-10-23,75
2016-10-30,72
2016-11-06,55
2016-11-13,66
2016-11-20,36
2016-11-27,54
2016-12-04,65
2016-12-11,69
2016-12-18,30
2016-12-25,14
2017-01-01,26
2017-01-08,42
2017-01-15,45
2017-01-22,55
2017-01-29,64
2017-02-05,58
2017-02-12,64
2017-02-19,59
2017-02-26,62
2017-03-05,57
2017-03-12,45
2017-03-19,53
2017-03-26,49
2017-04-02,50
2017-04-09,47
2017-04-16,47
2017-04-23,54
2017-04-30,58
2017-05-07,56
2017-05-14,37
2017-05-21,32
2017-05-28,27
2017-06-04,27
2017-06-11,26
2017-06-18,24
2017-06-25,26
2017-07-02,21
2017-07-09,22
2017-07-16,25
2017-07-23,27
2017-07-30,25
2017-08-06,20
2017-08-13,21
2017-08-20,29
2017-08-27,38
2017-09-03,42
2017-09-10,52
2017-09-17,62
2017-09-24,74
2017-10-01,79
2017-10-08,74
2017-10-15,78
2017-10-22,72
2017-10-29,67
2017-11-05,64
2017-11-12,72
