Category: All categories

Week,headlines: (United States)
2012-11-18,29
2012-11-25,32
2012-12-02,33
2012-12-09,36
2012-12-16,31
2012-12-23,29
2012-12-30,33
2013-01-06,35
2013-01-13,32
2013-01-20,34
2013-01-27,33
2013-02-03,35
2013-02-10,32
2013-02-17,32
2013-02-24,32
2013-03-03,33
2013-03-10,32
2013-03-17,35
2013-03-24,32
2013-03-31,35
2013-04-07,34
2013-04-14,45
2013-04-21,34
2013-04-28,33
2013-05-05,33
2013-05-12,33
2013-05-19,32
2013-05-26,31
2013-06-02,30
2013-06-09,29
2013-06-16,30
2013-06-23,36
2013-06-30,30
2013-07-07,30
2013-07-14,31
2013-07-21,35
2013-07-28,34
2013-08-04,30
2013-08-11,30
2013-08-18,29
2013-08-25,32
2013-09-01,33
2013-09-08,34
2013-09-15,37
2013-09-22,36
2013-09-29,38
2013-10-06,38
2013-10-13,33
2013-10-20,32
2013-10-27,35
2013-11-03,35
2013-11-10,33
2013-11-17,34
2013-11-24,28
2013-12-01,33
2013-12-08,34
2013-12-15,31
2013-12-22,27
2013-12-29,29
2014-01-05,36
2014-01-12,33
2014-01-19,34
2014-01-26,34
2014-02-02,37
2014-02-09,32
2014-02-16,32
2014-02-23,34
2014-03-02,33
2014-03-09,35
2014-03-16,35
2014-03-23,34
2014-03-30,32
2014-04-06,36
2014-04-13,34
2014-04-20,32
2014-04-27,38
2014-05-04,36
2014-05-11,39
2014-05-18,35
2014-05-25,35
2014-06-01,34
2014-06-08,31
2014-06-15,30
2014-06-22,30
2014-06-29,30
2014-07-06,34
2014-07-13,34
2014-07-20,33
2014-07-27,29
2014-08-03,32
2014-08-10,36
2014-08-17,34
2014-08-24,35
2014-08-31,36
2014-09-07,39
2014-09-14,36
2014-09-21,37
2014-09-28,39
2014-10-05,39
2014-10-12,38
2014-10-19,40
2014-10-26,38
2014-11-02,36
2014-11-09,33
2014-11-16,35
2014-11-23,32
2014-11-30,34
2014-12-07,33
2014-12-14,33
2014-12-21,29
2014-12-28,30
2015-01-04,38
2015-01-11,39
2015-01-18,37
2015-01-25,38
2015-02-01,39
2015-02-08,38
2015-02-15,36
2015-02-22,35
2015-03-01,36
2015-03-08,37
2015-03-15,37
2015-03-22,40
2015-03-29,38
2015-04-05,36
2015-04-12,37
2015-04-19,38
2015-04-26,39
2015-05-03,41
2015-05-10,38
2015-05-17,38
2015-05-24,38
2015-05-31,35
2015-06-07,38
2015-06-14,33
2015-06-21,33
2015-06-28,36
2015-07-05,37
2015-07-12,33
2015-07-19,36
2015-07-26,36
2015-08-02,32
2015-08-09,36
2015-08-16,36
2015-08-23,42
2015-08-30,39
2015-09-06,40
2015-09-13,40
2015-09-20,41
2015-09-27,42
2015-10-04,41
2015-10-11,41
2015-10-18,43
2015-10-25,40
2015-11-01,42
2015-11-08,43
2015-11-15,42
2015-11-22,32
2015-11-29,41
2015-12-06,38
2015-12-13,38
2015-12-20,30
2015-12-27,34
2016-01-03,40
2016-01-10,37
2016-01-17,41
2016-01-24,40
2016-01-31,37
2016-02-07,37
2016-02-14,36
2016-02-21,40
2016-02-28,39
2016-03-06,39
2016-03-13,38
2016-03-20,40
2016-03-27,41
2016-04-03,37
2016-04-10,38
2016-04-17,37
2016-04-24,35
2016-05-01,39
2016-05-08,39
2016-05-15,38
2016-05-22,33
2016-05-29,36
2016-06-05,36
2016-06-12,39
2016-06-19,37
2016-06-26,37
2016-07-03,42
2016-07-10,42
2016-07-17,42
2016-07-24,38
2016-07-31,40
2016-08-07,39
2016-08-14,37
2016-08-21,41
2016-08-28,44
2016-09-04,42
2016-09-11,43
2016-09-18,44
2016-09-25,45
2016-10-02,45
2016-10-09,46
2016-10-16,50
2016-10-23,50
2016-10-30,54
2016-11-06,70
2016-11-13,79
2016-11-20,51
2016-11-27,50
2016-12-04,45
2016-12-11,39
2016-12-18,41
2016-12-25,40
2017-01-01,42
2017-01-08,46
2017-01-15,46
2017-01-22,50
2017-01-29,53
2017-02-05,50
2017-02-12,50
2017-02-19,48
2017-02-26,43
2017-03-05,45
2017-03-12,41
2017-03-19,46
2017-03-26,41
2017-04-02,46
2017-04-09,53
2017-04-16,50
2017-04-23,49
2017-04-30,47
2017-05-07,44
2017-05-14,50
2017-05-21,50
2017-05-28,46
2017-06-04,48
2017-06-11,48
2017-06-18,44
2017-06-25,44
2017-07-02,44
2017-07-09,43
2017-07-16,46
2017-07-23,47
2017-07-30,47
2017-08-06,51
2017-08-13,58
2017-08-20,50
2017-08-27,55
2017-09-03,54
2017-09-10,53
2017-09-17,55
2017-09-24,57
2017-10-01,61
2017-10-08,53
2017-10-15,53
2017-10-22,53
2017-10-29,58
2017-11-05,56
2017-11-12,100
