Category: All categories

Week,profit: (United States)
2012-11-18,48
2012-11-25,62
2012-12-02,66
2012-12-09,60
2012-12-16,46
2012-12-23,35
2012-12-30,45
2013-01-06,57
2013-01-13,59
2013-01-20,61
2013-01-27,67
2013-02-03,64
2013-02-10,60
2013-02-17,64
2013-02-24,67
2013-03-03,66
2013-03-10,65
2013-03-17,65
2013-03-24,61
2013-03-31,64
2013-04-07,69
2013-04-14,67
2013-04-21,68
2013-04-28,65
2013-05-05,62
2013-05-12,60
2013-05-19,59
2013-05-26,54
2013-06-02,54
2013-06-09,55
2013-06-16,53
2013-06-23,53
2013-06-30,46
2013-07-07,54
2013-07-14,54
2013-07-21,56
2013-07-28,59
2013-08-04,60
2013-08-11,58
2013-08-18,56
2013-08-25,59
2013-09-01,60
2013-09-08,63
2013-09-15,66
2013-09-22,67
2013-09-29,66
2013-10-06,68
2013-10-13,68
2013-10-20,69
2013-10-27,69
2013-11-03,69
2013-11-10,71
2013-11-17,68
2013-11-24,50
2013-12-01,64
2013-12-08,65
2013-12-15,54
2013-12-22,36
2013-12-29,44
2014-01-05,58
2014-01-12,65
2014-01-19,60
2014-01-26,69
2014-02-02,70
2014-02-09,67
2014-02-16,68
2014-02-23,75
2014-03-02,72
2014-03-09,69
2014-03-16,68
2014-03-23,72
2014-03-30,68
2014-04-06,70
2014-04-13,70
2014-04-20,69
2014-04-27,69
2014-05-04,64
2014-05-11,61
2014-05-18,57
2014-05-25,52
2014-06-01,55
2014-06-08,55
2014-06-15,53
2014-06-22,54
2014-06-29,51
2014-07-06,57
2014-07-13,54
2014-07-20,56
2014-07-27,56
2014-08-03,55
2014-08-10,51
2014-08-17,55
2014-08-24,57
2014-08-31,55
2014-09-07,65
2014-09-14,66
2014-09-21,67
2014-09-28,66
2014-10-05,68
2014-10-12,69
2014-10-19,72
2014-10-26,73
2014-11-02,72
2014-11-09,72
2014-11-16,72
2014-11-23,54
2014-11-30,70
2014-12-07,69
2014-12-14,61
2014-12-21,38
2014-12-28,44
2015-01-04,57
2015-01-11,61
2015-01-18,62
2015-01-25,69
2015-02-01,70
2015-02-08,64
2015-02-15,65
2015-02-22,69
2015-03-01,67
2015-03-08,65
2015-03-15,65
2015-03-22,68
2015-03-29,65
2015-04-05,67
2015-04-12,71
2015-04-19,71
2015-04-26,70
2015-05-03,69
2015-05-10,66
2015-05-17,61
2015-05-24,57
2015-05-31,60
2015-06-07,58
2015-06-14,58
2015-06-21,58
2015-06-28,56
2015-07-05,61
2015-07-12,61
2015-07-19,61
2015-07-26,62
2015-08-02,56
2015-08-09,55
2015-08-16,55
2015-08-23,57
2015-08-30,60
2015-09-06,62
2015-09-13,66
2015-09-20,66
2015-09-27,68
2015-10-04,68
2015-10-11,71
2015-10-18,72
2015-10-25,72
2015-11-01,74
2015-11-08,70
2015-11-15,72
2015-11-22,51
2015-11-29,68
2015-12-06,69
2015-12-13,62
2015-12-20,44
2015-12-27,47
2016-01-03,62
2016-01-10,63
2016-01-17,65
2016-01-24,76
2016-01-31,77
2016-02-07,72
2016-02-14,71
2016-02-21,72
2016-02-28,69
2016-03-06,67
2016-03-13,64
2016-03-20,64
2016-03-27,66
2016-04-03,69
2016-04-10,70
2016-04-17,67
2016-04-24,68
2016-05-01,66
2016-05-08,61
2016-05-15,57
2016-05-22,54
2016-05-29,51
2016-06-05,54
2016-06-12,52
2016-06-19,52
2016-06-26,52
2016-07-03,46
2016-07-10,52
2016-07-17,52
2016-07-24,52
2016-07-31,51
2016-08-07,48
2016-08-14,51
2016-08-21,56
2016-08-28,59
2016-09-04,65
2016-09-11,67
2016-09-18,65
2016-09-25,66
2016-10-02,65
2016-10-09,65
2016-10-16,67
2016-10-23,67
2016-10-30,66
2016-11-06,62
2016-11-13,70
2016-11-20,49
2016-11-27,71
2016-12-04,69
2016-12-11,63
2016-12-18,46
2016-12-25,40
2017-01-01,53
2017-01-08,59
2017-01-15,64
2017-01-22,71
2017-01-29,73
2017-02-05,71
2017-02-12,67
2017-02-19,68
2017-02-26,72
2017-03-05,71
2017-03-12,64
2017-03-19,67
2017-03-26,71
2017-04-02,69
2017-04-09,67
2017-04-16,69
2017-04-23,70
2017-04-30,69
2017-05-07,65
2017-05-14,56
2017-05-21,54
2017-05-28,53
2017-06-04,57
2017-06-11,55
2017-06-18,56
2017-06-25,55
2017-07-02,51
2017-07-09,57
2017-07-16,58
2017-07-23,58
2017-07-30,57
2017-08-06,55
2017-08-13,50
2017-08-20,50
2017-08-27,56
2017-09-03,53
2017-09-10,60
2017-09-17,62
2017-09-24,64
2017-10-01,62
2017-10-08,65
2017-10-15,65
2017-10-22,67
2017-10-29,66
2017-11-05,66
2017-11-12,100
