Category: All categories

Week,leverage: (United States)
2012-11-18,27
2012-11-25,40
2012-12-02,39
2012-12-09,35
2012-12-16,36
2012-12-23,100
2012-12-30,42
2013-01-06,28
2013-01-13,25
2013-01-20,22
2013-01-27,23
2013-02-03,22
2013-02-10,22
2013-02-17,23
2013-02-24,22
2013-03-03,25
2013-03-10,23
2013-03-17,22
2013-03-24,23
2013-03-31,20
2013-04-07,22
2013-04-14,22
2013-04-21,22
2013-04-28,23
2013-05-05,21
2013-05-12,19
2013-05-19,19
2013-05-26,19
2013-06-02,19
2013-06-09,19
2013-06-16,17
2013-06-23,16
2013-06-30,19
2013-07-07,20
2013-07-14,19
2013-07-21,24
2013-07-28,21
2013-08-04,18
2013-08-11,18
2013-08-18,17
2013-08-25,18
2013-09-01,18
2013-09-08,19
2013-09-15,22
2013-09-22,21
2013-09-29,22
2013-10-06,22
2013-10-13,22
2013-10-20,22
2013-10-27,23
2013-11-03,31
2013-11-10,35
2013-11-17,35
2013-11-24,32
2013-12-01,36
2013-12-08,33
2013-12-15,28
2013-12-22,28
2013-12-29,35
2014-01-05,43
2014-01-12,40
2014-01-19,44
2014-01-26,43
2014-02-02,35
2014-02-09,41
2014-02-16,42
2014-02-23,40
2014-03-02,38
2014-03-09,36
2014-03-16,34
2014-03-23,32
2014-03-30,34
2014-04-06,33
2014-04-13,32
2014-04-20,27
2014-04-27,32
2014-05-04,29
2014-05-11,26
2014-05-18,22
2014-05-25,23
2014-06-01,27
2014-06-08,29
2014-06-15,28
2014-06-22,26
2014-06-29,26
2014-07-06,31
2014-07-13,28
2014-07-20,29
2014-07-27,31
2014-08-03,30
2014-08-10,25
2014-08-17,28
2014-08-24,27
2014-08-31,26
2014-09-07,28
2014-09-14,29
2014-09-21,30
2014-09-28,28
2014-10-05,23
2014-10-12,24
2014-10-19,23
2014-10-26,22
2014-11-02,22
2014-11-09,20
2014-11-16,22
2014-11-23,19
2014-11-30,23
2014-12-07,25
2014-12-14,21
2014-12-21,16
2014-12-28,19
2015-01-04,18
2015-01-11,20
2015-01-18,22
2015-01-25,22
2015-02-01,21
2015-02-08,22
2015-02-15,23
2015-02-22,22
2015-03-01,22
2015-03-08,20
2015-03-15,20
2015-03-22,21
2015-03-29,22
2015-04-05,21
2015-04-12,22
2015-04-19,23
2015-04-26,21
2015-05-03,21
2015-05-10,19
2015-05-17,18
2015-05-24,18
2015-05-31,20
2015-06-07,20
2015-06-14,17
2015-06-21,19
2015-06-28,20
2015-07-05,20
2015-07-12,20
2015-07-19,19
2015-07-26,20
2015-08-02,20
2015-08-09,18
2015-08-16,20
2015-08-23,20
2015-08-30,20
2015-09-06,19
2015-09-13,20
2015-09-20,22
2015-09-27,20
2015-10-04,20
2015-10-11,20
2015-10-18,21
2015-10-25,21
2015-11-01,20
2015-11-08,22
2015-11-15,20
2015-11-22,17
2015-11-29,20
2015-12-06,20
2015-12-13,18
2015-12-20,16
2015-12-27,19
2016-01-03,26
2016-01-10,27
2016-01-17,28
2016-01-24,29
2016-01-31,32
2016-02-07,23
2016-02-14,23
2016-02-21,30
2016-02-28,21
2016-03-06,29
2016-03-13,27
2016-03-20,26
2016-03-27,22
2016-04-03,30
2016-04-10,30
2016-04-17,31
2016-04-24,29
2016-05-01,29
2016-05-08,27
2016-05-15,24
2016-05-22,26
2016-05-29,24
2016-06-05,19
2016-06-12,20
2016-06-19,18
2016-06-26,19
2016-07-03,22
2016-07-10,24
2016-07-17,25
2016-07-24,26
2016-07-31,26
2016-08-07,22
2016-08-14,20
2016-08-21,22
2016-08-28,23
2016-09-04,24
2016-09-11,23
2016-09-18,25
2016-09-25,25
2016-10-02,22
2016-10-09,25
2016-10-16,26
2016-10-23,23
2016-10-30,21
2016-11-06,22
2016-11-13,26
2016-11-20,22
2016-11-27,21
2016-12-04,20
2016-12-11,19
2016-12-18,16
2016-12-25,14
2017-01-01,17
2017-01-08,24
2017-01-15,26
2017-01-22,26
2017-01-29,21
2017-02-05,21
2017-02-12,23
2017-02-19,21
2017-02-26,22
2017-03-05,21
2017-03-12,19
2017-03-19,21
2017-03-26,20
2017-04-02,22
2017-04-09,21
2017-04-16,21
2017-04-23,22
2017-04-30,21
2017-05-07,21
2017-05-14,17
2017-05-21,16
2017-05-28,17
2017-06-04,16
2017-06-11,16
2017-06-18,17
2017-06-25,18
2017-07-02,15
2017-07-09,17
2017-07-16,18
2017-07-23,16
2017-07-30,17
2017-08-06,18
2017-08-13,16
2017-08-20,15
2017-08-27,16
2017-09-03,17
2017-09-10,19
2017-09-17,21
2017-09-24,20
2017-10-01,20
2017-10-08,21
2017-10-15,21
2017-10-22,18
2017-10-29,22
2017-11-05,19
2017-11-12,45
