Category: All categories

Week,loss: (United States)
2012-11-18,44
2012-11-25,51
2012-12-02,48
2012-12-09,45
2012-12-16,40
2012-12-23,43
2012-12-30,58
2013-01-06,59
2013-01-13,55
2013-01-20,56
2013-01-27,55
2013-02-03,55
2013-02-10,52
2013-02-17,56
2013-02-24,56
2013-03-03,57
2013-03-10,57
2013-03-17,57
2013-03-24,54
2013-03-31,57
2013-04-07,58
2013-04-14,54
2013-04-21,56
2013-04-28,56
2013-05-05,54
2013-05-12,57
2013-05-19,54
2013-05-26,56
2013-06-02,56
2013-06-09,55
2013-06-16,54
2013-06-23,56
2013-06-30,52
2013-07-07,58
2013-07-14,54
2013-07-21,55
2013-07-28,55
2013-08-04,54
2013-08-11,52
2013-08-18,51
2013-08-25,50
2013-09-01,53
2013-09-08,53
2013-09-15,52
2013-09-22,52
2013-09-29,53
2013-10-06,54
2013-10-13,54
2013-10-20,52
2013-10-27,49
2013-11-03,54
2013-11-10,52
2013-11-17,52
2013-11-24,43
2013-12-01,50
2013-12-08,46
2013-12-15,45
2013-12-22,43
2013-12-29,59
2014-01-05,63
2014-01-12,60
2014-01-19,57
2014-01-26,55
2014-02-02,61
2014-02-09,55
2014-02-16,59
2014-02-23,60
2014-03-02,58
2014-03-09,60
2014-03-16,58
2014-03-23,59
2014-03-30,58
2014-04-06,61
2014-04-13,56
2014-04-20,58
2014-04-27,56
2014-05-04,57
2014-05-11,56
2014-05-18,55
2014-05-25,56
2014-06-01,57
2014-06-08,54
2014-06-15,56
2014-06-22,56
2014-06-29,53
2014-07-06,60
2014-07-13,57
2014-07-20,57
2014-07-27,54
2014-08-03,54
2014-08-10,53
2014-08-17,51
2014-08-24,49
2014-08-31,49
2014-09-07,50
2014-09-14,50
2014-09-21,51
2014-09-28,52
2014-10-05,50
2014-10-12,53
2014-10-19,51
2014-10-26,51
2014-11-02,50
2014-11-09,51
2014-11-16,49
2014-11-23,41
2014-11-30,49
2014-12-07,47
2014-12-14,45
2014-12-21,43
2014-12-28,58
2015-01-04,61
2015-01-11,59
2015-01-18,57
2015-01-25,56
2015-02-01,55
2015-02-08,52
2015-02-15,54
2015-02-22,56
2015-03-01,55
2015-03-08,55
2015-03-15,57
2015-03-22,57
2015-03-29,55
2015-04-05,58
2015-04-12,56
2015-04-19,55
2015-04-26,53
2015-05-03,54
2015-05-10,52
2015-05-17,52
2015-05-24,53
2015-05-31,56
2015-06-07,54
2015-06-14,53
2015-06-21,53
2015-06-28,52
2015-07-05,56
2015-07-12,53
2015-07-19,55
2015-07-26,54
2015-08-02,52
2015-08-09,51
2015-08-16,51
2015-08-23,50
2015-08-30,50
2015-09-06,50
2015-09-13,49
2015-09-20,51
2015-09-27,53
2015-10-04,52
2015-10-11,54
2015-10-18,51
2015-10-25,50
2015-11-01,52
2015-11-08,49
2015-11-15,61
2015-11-22,44
2015-11-29,49
2015-12-06,48
2015-12-13,47
2015-12-20,42
2015-12-27,57
2016-01-03,64
2016-01-10,57
2016-01-17,58
2016-01-24,58
2016-01-31,58
2016-02-07,57
2016-02-14,59
2016-02-21,59
2016-02-28,60
2016-03-06,61
2016-03-13,58
2016-03-20,57
2016-03-27,58
2016-04-03,61
2016-04-10,60
2016-04-17,58
2016-04-24,56
2016-05-01,55
2016-05-08,55
2016-05-15,55
2016-05-22,54
2016-05-29,53
2016-06-05,53
2016-06-12,52
2016-06-19,54
2016-06-26,53
2016-07-03,51
2016-07-10,54
2016-07-17,52
2016-07-24,54
2016-07-31,54
2016-08-07,53
2016-08-14,52
2016-08-21,52
2016-08-28,52
2016-09-04,51
2016-09-11,52
2016-09-18,52
2016-09-25,52
2016-10-02,52
2016-10-09,52
2016-10-16,52
2016-10-23,50
2016-10-30,50
2016-11-06,52
2016-11-13,53
2016-11-20,44
2016-11-27,53
2016-12-04,50
2016-12-11,47
2016-12-18,44
2016-12-25,55
2017-01-01,67
2017-01-08,62
2017-01-15,63
2017-01-22,60
2017-01-29,62
2017-02-05,61
2017-02-12,59
2017-02-19,64
2017-02-26,62
2017-03-05,66
2017-03-12,62
2017-03-19,63
2017-03-26,61
2017-04-02,64
2017-04-09,61
2017-04-16,60
2017-04-23,61
2017-04-30,60
2017-05-07,58
2017-05-14,56
2017-05-21,55
2017-05-28,55
2017-06-04,57
2017-06-11,54
2017-06-18,56
2017-06-25,54
2017-07-02,53
2017-07-09,56
2017-07-16,56
2017-07-23,56
2017-07-30,54
2017-08-06,53
2017-08-13,50
2017-08-20,49
2017-08-27,48
2017-09-03,47
2017-09-10,52
2017-09-17,53
2017-09-24,53
2017-10-01,53
2017-10-08,55
2017-10-15,54
2017-10-22,52
2017-10-29,51
2017-11-05,53
2017-11-12,100
