Category: All categories

Week,cash: (United States)
2012-11-18,29
2012-11-25,31
2012-12-02,31
2012-12-09,30
2012-12-16,28
2012-12-23,28
2012-12-30,29
2013-01-06,28
2013-01-13,27
2013-01-20,28
2013-01-27,29
2013-02-03,28
2013-02-10,27
2013-02-17,27
2013-02-24,28
2013-03-03,27
2013-03-10,27
2013-03-17,27
2013-03-24,27
2013-03-31,27
2013-04-07,28
2013-04-14,28
2013-04-21,30
2013-04-28,30
2013-05-05,28
2013-05-12,28
2013-05-19,31
2013-05-26,33
2013-06-02,29
2013-06-09,29
2013-06-16,30
2013-06-23,30
2013-06-30,30
2013-07-07,30
2013-07-14,29
2013-07-21,30
2013-07-28,31
2013-08-04,31
2013-08-11,30
2013-08-18,30
2013-08-25,30
2013-09-01,31
2013-09-08,30
2013-09-15,30
2013-09-22,32
2013-09-29,31
2013-10-06,31
2013-10-13,32
2013-10-20,31
2013-10-27,30
2013-11-03,31
2013-11-10,30
2013-11-17,30
2013-11-24,31
2013-12-01,32
2013-12-08,34
2013-12-15,34
2013-12-22,32
2013-12-29,31
2014-01-05,29
2014-01-12,32
2014-01-19,32
2014-01-26,32
2014-02-02,31
2014-02-09,30
2014-02-16,30
2014-02-23,31
2014-03-02,29
2014-03-09,29
2014-03-16,31
2014-03-23,30
2014-03-30,31
2014-04-06,30
2014-04-13,31
2014-04-20,30
2014-04-27,32
2014-05-04,32
2014-05-11,31
2014-05-18,31
2014-05-25,33
2014-06-01,33
2014-06-08,32
2014-06-15,32
2014-06-22,32
2014-06-29,33
2014-07-06,34
2014-07-13,33
2014-07-20,33
2014-07-27,33
2014-08-03,34
2014-08-10,32
2014-08-17,32
2014-08-24,33
2014-08-31,34
2014-09-07,33
2014-09-14,32
2014-09-21,32
2014-09-28,32
2014-10-05,32
2014-10-12,32
2014-10-19,31
2014-10-26,32
2014-11-02,32
2014-11-09,31
2014-11-16,32
2014-11-23,31
2014-11-30,35
2014-12-07,35
2014-12-14,34
2014-12-21,34
2014-12-28,35
2015-01-04,33
2015-01-11,32
2015-01-18,33
2015-01-25,34
2015-02-01,32
2015-02-08,33
2015-02-15,31
2015-02-22,32
2015-03-01,31
2015-03-08,31
2015-03-15,31
2015-03-22,31
2015-03-29,32
2015-04-05,32
2015-04-12,32
2015-04-19,33
2015-04-26,32
2015-05-03,33
2015-05-10,32
2015-05-17,32
2015-05-24,33
2015-05-31,33
2015-06-07,33
2015-06-14,33
2015-06-21,33
2015-06-28,35
2015-07-05,35
2015-07-12,35
2015-07-19,35
2015-07-26,35
2015-08-02,35
2015-08-09,35
2015-08-16,35
2015-08-23,34
2015-08-30,35
2015-09-06,36
2015-09-13,37
2015-09-20,34
2015-09-27,35
2015-10-04,34
2015-10-11,33
2015-10-18,32
2015-10-25,32
2015-11-01,34
2015-11-08,33
2015-11-15,32
2015-11-22,33
2015-11-29,34
2015-12-06,35
2015-12-13,34
2015-12-20,35
2015-12-27,36
2016-01-03,39
2016-01-10,42
2016-01-17,37
2016-01-24,37
2016-01-31,37
2016-02-07,36
2016-02-14,35
2016-02-21,37
2016-02-28,35
2016-03-06,34
2016-03-13,35
2016-03-20,34
2016-03-27,36
2016-04-03,36
2016-04-10,37
2016-04-17,36
2016-04-24,37
2016-05-01,37
2016-05-08,37
2016-05-15,37
2016-05-22,37
2016-05-29,38
2016-06-05,38
2016-06-12,37
2016-06-19,38
2016-06-26,40
2016-07-03,39
2016-07-10,39
2016-07-17,39
2016-07-24,42
2016-07-31,40
2016-08-07,36
2016-08-14,36
2016-08-21,36
2016-08-28,39
2016-09-04,39
2016-09-11,38
2016-09-18,37
2016-09-25,38
2016-10-02,36
2016-10-09,37
2016-10-16,37
2016-10-23,36
2016-10-30,37
2016-11-06,35
2016-11-13,38
2016-11-20,38
2016-11-27,40
2016-12-04,41
2016-12-11,39
2016-12-18,41
2016-12-25,38
2017-01-01,38
2017-01-08,39
2017-01-15,46
2017-01-22,73
2017-01-29,66
2017-02-05,67
2017-02-12,53
2017-02-19,52
2017-02-26,48
2017-03-05,47
2017-03-12,42
2017-03-19,42
2017-03-26,42
2017-04-02,40
2017-04-09,42
2017-04-16,40
2017-04-23,42
2017-04-30,41
2017-05-07,40
2017-05-14,38
2017-05-21,40
2017-05-28,41
2017-06-04,43
2017-06-11,41
2017-06-18,41
2017-06-25,43
2017-07-02,44
2017-07-09,42
2017-07-16,44
2017-07-23,43
2017-07-30,48
2017-08-06,45
2017-08-13,43
2017-08-20,42
2017-08-27,42
2017-09-03,41
2017-09-10,40
2017-09-17,41
2017-09-24,41
2017-10-01,41
2017-10-08,41
2017-10-15,40
2017-10-22,40
2017-10-29,41
2017-11-05,42
2017-11-12,100
