Category: All categories

Week,office: (United States)
2012-11-18,67
2012-11-25,77
2012-12-02,76
2012-12-09,77
2012-12-16,79
2012-12-23,67
2012-12-30,74
2013-01-06,81
2013-01-13,78
2013-01-20,80
2013-01-27,84
2013-02-03,80
2013-02-10,78
2013-02-17,79
2013-02-24,78
2013-03-03,76
2013-03-10,75
2013-03-17,75
2013-03-24,76
2013-03-31,76
2013-04-07,77
2013-04-14,77
2013-04-21,72
2013-04-28,77
2013-05-05,77
2013-05-12,84
2013-05-19,77
2013-05-26,73
2013-06-02,77
2013-06-09,76
2013-06-16,77
2013-06-23,77
2013-06-30,71
2013-07-07,80
2013-07-14,79
2013-07-21,80
2013-07-28,84
2013-08-04,86
2013-08-11,86
2013-08-18,88
2013-08-25,86
2013-09-01,81
2013-09-08,82
2013-09-15,80
2013-09-22,78
2013-09-29,80
2013-10-06,78
2013-10-13,79
2013-10-20,77
2013-10-27,75
2013-11-03,78
2013-11-10,78
2013-11-17,78
2013-11-24,68
2013-12-01,79
2013-12-08,80
2013-12-15,88
2013-12-22,68
2013-12-29,75
2014-01-05,87
2014-01-12,88
2014-01-19,84
2014-01-26,84
2014-02-02,81
2014-02-09,81
2014-02-16,81
2014-02-23,83
2014-03-02,80
2014-03-09,78
2014-03-16,77
2014-03-23,81
2014-03-30,83
2014-04-06,82
2014-04-13,83
2014-04-20,76
2014-04-27,77
2014-05-04,80
2014-05-11,76
2014-05-18,77
2014-05-25,73
2014-06-01,81
2014-06-08,77
2014-06-15,79
2014-06-22,78
2014-06-29,75
2014-07-06,82
2014-07-13,82
2014-07-20,84
2014-07-27,87
2014-08-03,88
2014-08-10,88
2014-08-17,90
2014-08-24,89
2014-08-31,81
2014-09-07,82
2014-09-14,80
2014-09-21,79
2014-09-28,80
2014-10-05,79
2014-10-12,80
2014-10-19,79
2014-10-26,79
2014-11-02,82
2014-11-09,79
2014-11-16,77
2014-11-23,68
2014-11-30,81
2014-12-07,82
2014-12-14,89
2014-12-21,71
2014-12-28,74
2015-01-04,87
2015-01-11,84
2015-01-18,85
2015-01-25,85
2015-02-01,85
2015-02-08,82
2015-02-15,82
2015-02-22,82
2015-03-01,82
2015-03-08,79
2015-03-15,80
2015-03-22,79
2015-03-29,85
2015-04-05,81
2015-04-12,85
2015-04-19,78
2015-04-26,78
2015-05-03,81
2015-05-10,78
2015-05-17,81
2015-05-24,76
2015-05-31,84
2015-06-07,82
2015-06-14,84
2015-06-21,82
2015-06-28,83
2015-07-05,87
2015-07-12,87
2015-07-19,91
2015-07-26,92
2015-08-02,94
2015-08-09,95
2015-08-16,97
2015-08-23,96
2015-08-30,93
2015-09-06,85
2015-09-13,87
2015-09-20,86
2015-09-27,86
2015-10-04,86
2015-10-11,87
2015-10-18,83
2015-10-25,83
2015-11-01,85
2015-11-08,86
2015-11-15,85
2015-11-22,71
2015-11-29,88
2015-12-06,90
2015-12-13,94
2015-12-20,86
2015-12-27,80
2016-01-03,96
2016-01-10,89
2016-01-17,88
2016-01-24,91
2016-01-31,90
2016-02-07,88
2016-02-14,89
2016-02-21,89
2016-02-28,85
2016-03-06,85
2016-03-13,83
2016-03-20,86
2016-03-27,90
2016-04-03,87
2016-04-10,89
2016-04-17,86
2016-04-24,82
2016-05-01,86
2016-05-08,84
2016-05-15,84
2016-05-22,84
2016-05-29,80
2016-06-05,84
2016-06-12,84
2016-06-19,83
2016-06-26,85
2016-07-03,78
2016-07-10,88
2016-07-17,90
2016-07-24,90
2016-07-31,93
2016-08-07,89
2016-08-14,91
2016-08-21,93
2016-08-28,92
2016-09-04,84
2016-09-11,87
2016-09-18,83
2016-09-25,85
2016-10-02,83
2016-10-09,87
2016-10-16,84
2016-10-23,87
2016-10-30,84
2016-11-06,88
2016-11-13,87
2016-11-20,72
2016-11-27,90
2016-12-04,91
2016-12-11,97
2016-12-18,97
2016-12-25,87
2017-01-01,97
2017-01-08,99
2017-01-15,100
2017-01-22,95
2017-01-29,96
2017-02-05,90
2017-02-12,88
2017-02-19,90
2017-02-26,90
2017-03-05,91
2017-03-12,88
2017-03-19,91
2017-03-26,91
2017-04-02,90
2017-04-09,91
2017-04-16,93
2017-04-23,88
2017-04-30,90
2017-05-07,88
2017-05-14,85
2017-05-21,84
2017-05-28,84
2017-06-04,89
2017-06-11,87
2017-06-18,88
2017-06-25,92
2017-07-02,84
2017-07-09,91
2017-07-16,92
2017-07-23,96
2017-07-30,97
2017-08-06,96
2017-08-13,97
2017-08-20,93
2017-08-27,92
2017-09-03,86
2017-09-10,88
2017-09-17,88
2017-09-24,88
2017-10-01,89
2017-10-08,90
2017-10-15,86
2017-10-22,86
2017-10-29,87
2017-11-05,89
2017-11-12,94
