Category: All categories

Week,ring: (United States)
2012-12-02,73
2012-12-09,75
2012-12-16,76
2012-12-23,87
2012-12-30,74
2013-01-06,68
2013-01-13,67
2013-01-20,72
2013-01-27,66
2013-02-03,71
2013-02-10,71
2013-02-17,68
2013-02-24,65
2013-03-03,64
2013-03-10,67
2013-03-17,66
2013-03-24,65
2013-03-31,64
2013-04-07,64
2013-04-14,63
2013-04-21,69
2013-04-28,66
2013-05-05,67
2013-05-12,66
2013-05-19,62
2013-05-26,66
2013-06-02,67
2013-06-09,73
2013-06-16,83
2013-06-23,79
2013-06-30,70
2013-07-07,68
2013-07-14,65
2013-07-21,68
2013-07-28,68
2013-08-04,67
2013-08-11,67
2013-08-18,65
2013-08-25,62
2013-09-01,66
2013-09-08,66
2013-09-15,71
2013-09-22,68
2013-09-29,64
2013-10-06,64
2013-10-13,65
2013-10-20,82
2013-10-27,70
2013-11-03,66
2013-11-10,68
2013-11-17,69
2013-11-24,73
2013-12-01,72
2013-12-08,75
2013-12-15,77
2013-12-22,86
2013-12-29,75
2014-01-05,68
2014-01-12,66
2014-01-19,68
2014-01-26,68
2014-02-02,76
2014-02-09,85
2014-02-16,70
2014-02-23,66
2014-03-02,63
2014-03-09,66
2014-03-16,67
2014-03-23,65
2014-03-30,69
2014-04-06,66
2014-04-13,68
2014-04-20,66
2014-04-27,69
2014-05-04,67
2014-05-11,65
2014-05-18,64
2014-05-25,64
2014-06-01,65
2014-06-08,63
2014-06-15,66
2014-06-22,65
2014-06-29,65
2014-07-06,65
2014-07-13,66
2014-07-20,67
2014-07-27,68
2014-08-03,66
2014-08-10,63
2014-08-17,63
2014-08-24,62
2014-08-31,64
2014-09-07,62
2014-09-14,62
2014-09-21,63
2014-09-28,63
2014-10-05,65
2014-10-12,61
2014-10-19,62
2014-10-26,62
2014-11-02,62
2014-11-09,64
2014-11-16,69
2014-11-23,73
2014-11-30,75
2014-12-07,75
2014-12-14,77
2014-12-21,84
2014-12-28,79
2015-01-04,69
2015-01-11,68
2015-01-18,70
2015-01-25,74
2015-02-01,74
2015-02-08,72
2015-02-15,74
2015-02-22,67
2015-03-01,69
2015-03-08,66
2015-03-15,65
2015-03-22,68
2015-03-29,65
2015-04-05,67
2015-04-12,67
2015-04-19,66
2015-04-26,67
2015-05-03,71
2015-05-10,67
2015-05-17,64
2015-05-24,67
2015-05-31,66
2015-06-07,67
2015-06-14,70
2015-06-21,66
2015-06-28,68
2015-07-05,68
2015-07-12,100
2015-07-19,73
2015-07-26,72
2015-08-02,70
2015-08-09,67
2015-08-16,68
2015-08-23,67
2015-08-30,66
2015-09-06,68
2015-09-13,66
2015-09-20,66
2015-09-27,66
2015-10-04,66
2015-10-11,65
2015-10-18,64
2015-10-25,68
2015-11-01,67
2015-11-08,68
2015-11-15,71
2015-11-22,79
2015-11-29,78
2015-12-06,79
2015-12-13,81
2015-12-20,91
2015-12-27,83
2016-01-03,76
2016-01-10,70
2016-01-17,80
2016-01-24,79
2016-01-31,79
2016-02-07,83
2016-02-14,77
2016-02-21,71
2016-02-28,68
2016-03-06,70
2016-03-13,71
2016-03-20,69
2016-03-27,68
2016-04-03,73
2016-04-10,76
2016-04-17,77
2016-04-24,75
2016-05-01,76
2016-05-08,72
2016-05-15,73
2016-05-22,72
2016-05-29,71
2016-06-05,69
2016-06-12,68
2016-06-19,73
2016-06-26,69
2016-07-03,70
2016-07-10,70
2016-07-17,71
2016-07-24,73
2016-07-31,72
2016-08-07,67
2016-08-14,67
2016-08-21,72
2016-08-28,68
2016-09-04,72
2016-09-11,74
2016-09-18,70
2016-09-25,68
2016-10-02,74
2016-10-09,71
2016-10-16,70
2016-10-23,74
2016-10-30,73
2016-11-06,69
2016-11-13,79
2016-11-20,88
2016-11-27,86
2016-12-04,86
2016-12-11,87
2016-12-18,90
2016-12-25,90
2017-01-01,81
2017-01-08,76
2017-01-15,79
2017-01-22,79
2017-01-29,85
2017-02-05,86
2017-02-12,79
2017-02-19,72
2017-02-26,69
2017-03-05,71
2017-03-12,73
2017-03-19,71
2017-03-26,71
2017-04-02,75
2017-04-09,79
2017-04-16,74
2017-04-23,72
2017-04-30,75
2017-05-07,76
2017-05-14,72
2017-05-21,71
2017-05-28,72
2017-06-04,72
2017-06-11,73
2017-06-18,72
2017-06-25,73
2017-07-02,76
2017-07-09,76
2017-07-16,73
2017-07-23,74
2017-07-30,77
2017-08-06,77
2017-08-13,75
2017-08-20,73
2017-08-27,73
2017-09-03,69
2017-09-10,68
2017-09-17,73
2017-09-24,71
2017-10-01,70
2017-10-08,74
2017-10-15,76
2017-10-22,75
2017-10-29,78
2017-11-05,78
2017-11-12,81
2017-11-19,88
