Category: All categories

Week,dow joines: (United States)
2012-12-02,0
2012-12-09,27
2012-12-16,0
2012-12-23,0
2012-12-30,29
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,26
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,27
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,27
2013-07-21,0
2013-07-28,0
2013-08-04,27
2013-08-11,27
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,52
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,25
2013-12-15,0
2013-12-22,29
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,0
2014-02-02,25
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,24
2014-04-13,0
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,29
2014-06-08,0
2014-06-15,0
2014-06-22,0
2014-06-29,31
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,29
2014-08-03,31
2014-08-10,0
2014-08-17,0
2014-08-24,28
2014-08-31,56
2014-09-07,0
2014-09-14,0
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,0
2014-10-26,0
2014-11-02,0
2014-11-09,0
2014-11-16,0
2014-11-23,0
2014-11-30,0
2014-12-07,0
2014-12-14,28
2014-12-21,0
2014-12-28,0
2015-01-04,27
2015-01-11,0
2015-01-18,27
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,26
2015-03-08,0
2015-03-15,26
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,27
2015-05-10,28
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,29
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,58
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,29
2015-08-09,0
2015-08-16,28
2015-08-23,55
2015-08-30,0
2015-09-06,27
2015-09-13,0
2015-09-20,26
2015-09-27,26
2015-10-04,26
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,25
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,22
2016-01-10,21
2016-01-17,21
2016-01-24,0
2016-01-31,0
2016-02-07,21
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,44
2016-05-29,0
2016-06-05,0
2016-06-12,22
2016-06-19,45
2016-06-26,0
2016-07-03,23
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,22
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,100
2016-11-13,21
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,40
2016-12-18,0
2016-12-25,0
2017-01-01,21
2017-01-08,0
2017-01-15,0
2017-01-22,19
2017-01-29,0
2017-02-05,19
2017-02-12,0
2017-02-19,19
2017-02-26,0
2017-03-05,18
2017-03-12,0
2017-03-19,38
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,21
2017-07-16,0
2017-07-23,0
2017-07-30,20
2017-08-06,20
2017-08-13,20
2017-08-20,20
2017-08-27,20
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,19
2017-10-08,19
2017-10-15,20
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,19
