Category: All categories

Week,environment: (United States)
2012-12-02,81
2012-12-09,77
2012-12-16,58
2012-12-23,29
2012-12-30,41
2013-01-06,70
2013-01-13,74
2013-01-20,72
2013-01-27,81
2013-02-03,82
2013-02-10,76
2013-02-17,78
2013-02-24,84
2013-03-03,81
2013-03-10,79
2013-03-17,79
2013-03-24,70
2013-03-31,73
2013-04-07,86
2013-04-14,84
2013-04-21,92
2013-04-28,89
2013-05-05,83
2013-05-12,82
2013-05-19,76
2013-05-26,68
2013-06-02,74
2013-06-09,76
2013-06-16,55
2013-06-23,53
2013-06-30,45
2013-07-07,51
2013-07-14,51
2013-07-21,52
2013-07-28,49
2013-08-04,52
2013-08-11,51
2013-08-18,58
2013-08-25,69
2013-09-01,74
2013-09-08,89
2013-09-15,88
2013-09-22,90
2013-09-29,87
2013-10-06,87
2013-10-13,83
2013-10-20,85
2013-10-27,85
2013-11-03,86
2013-11-10,84
2013-11-17,86
2013-11-24,56
2013-12-01,83
2013-12-08,80
2013-12-15,67
2013-12-22,31
2013-12-29,37
2014-01-05,65
2014-01-12,80
2014-01-19,76
2014-01-26,83
2014-02-02,80
2014-02-09,77
2014-02-16,76
2014-02-23,86
2014-03-02,80
2014-03-09,78
2014-03-16,78
2014-03-23,79
2014-03-30,82
2014-04-06,84
2014-04-13,80
2014-04-20,92
2014-04-27,88
2014-05-04,89
2014-05-11,82
2014-05-18,79
2014-05-25,73
2014-06-01,76
2014-06-08,70
2014-06-15,73
2014-06-22,54
2014-06-29,48
2014-07-06,54
2014-07-13,55
2014-07-20,54
2014-07-27,52
2014-08-03,52
2014-08-10,55
2014-08-17,64
2014-08-24,75
2014-08-31,76
2014-09-07,95
2014-09-14,95
2014-09-21,93
2014-09-28,93
2014-10-05,91
2014-10-12,84
2014-10-19,90
2014-10-26,88
2014-11-02,86
2014-11-09,86
2014-11-16,89
2014-11-23,59
2014-11-30,85
2014-12-07,85
2014-12-14,72
2014-12-21,31
2014-12-28,34
2015-01-04,69
2015-01-11,77
2015-01-18,81
2015-01-25,87
2015-02-01,87
2015-02-08,86
2015-02-15,75
2015-02-22,84
2015-03-01,84
2015-03-08,83
2015-03-15,84
2015-03-22,83
2015-03-29,76
2015-04-05,81
2015-04-12,92
2015-04-19,98
2015-04-26,94
2015-05-03,94
2015-05-10,89
2015-05-17,83
2015-05-24,73
2015-05-31,78
2015-06-07,77
2015-06-14,72
2015-06-21,57
2015-06-28,51
2015-07-05,54
2015-07-12,55
2015-07-19,57
2015-07-26,55
2015-08-02,57
2015-08-09,57
2015-08-16,67
2015-08-23,75
2015-08-30,89
2015-09-06,91
2015-09-13,99
2015-09-20,100
2015-09-27,97
2015-10-04,100
2015-10-11,91
2015-10-18,92
2015-10-25,93
2015-11-01,94
2015-11-08,91
2015-11-15,91
2015-11-22,59
2015-11-29,94
2015-12-06,93
2015-12-13,79
2015-12-20,38
2015-12-27,33
2016-01-03,64
2016-01-10,74
2016-01-17,75
2016-01-24,88
2016-01-31,88
2016-02-07,84
2016-02-14,80
2016-02-21,89
2016-02-28,89
2016-03-06,83
2016-03-13,77
2016-03-20,75
2016-03-27,77
2016-04-03,88
2016-04-10,89
2016-04-17,94
2016-04-24,90
2016-05-01,89
2016-05-08,84
2016-05-15,82
2016-05-22,74
2016-05-29,65
2016-06-05,69
2016-06-12,66
2016-06-19,50
2016-06-26,49
2016-07-03,44
2016-07-10,48
2016-07-17,48
2016-07-24,47
2016-07-31,46
2016-08-07,48
2016-08-14,54
2016-08-21,67
2016-08-28,79
2016-09-04,80
2016-09-11,94
2016-09-18,92
2016-09-25,89
2016-10-02,83
2016-10-09,83
2016-10-16,83
2016-10-23,87
2016-10-30,88
2016-11-06,84
2016-11-13,91
2016-11-20,56
2016-11-27,88
2016-12-04,91
2016-12-11,81
2016-12-18,48
2016-12-25,29
2017-01-01,54
2017-01-08,72
2017-01-15,82
2017-01-22,96
2017-01-29,93
2017-02-05,91
2017-02-12,88
2017-02-19,84
2017-02-26,91
2017-03-05,91
2017-03-12,78
2017-03-19,87
2017-03-26,89
2017-04-02,88
2017-04-09,81
2017-04-16,94
2017-04-23,99
2017-04-30,99
2017-05-07,89
2017-05-14,83
2017-05-21,74
2017-05-28,67
2017-06-04,79
2017-06-11,69
2017-06-18,54
2017-06-25,52
2017-07-02,45
2017-07-09,52
2017-07-16,52
2017-07-23,50
2017-07-30,50
2017-08-06,52
2017-08-13,56
2017-08-20,62
2017-08-27,76
2017-09-03,76
2017-09-10,90
2017-09-17,90
2017-09-24,91
2017-10-01,91
2017-10-08,86
2017-10-15,89
2017-10-22,89
2017-10-29,86
2017-11-05,85
2017-11-12,89
2017-11-19,55
