Category: All categories

Week,SPX: (United States)
2012-12-02,49
2012-12-09,53
2012-12-16,56
2012-12-23,39
2012-12-30,53
2013-01-06,55
2013-01-13,56
2013-01-20,53
2013-01-27,51
2013-02-03,47
2013-02-10,47
2013-02-17,55
2013-02-24,49
2013-03-03,46
2013-03-10,47
2013-03-17,47
2013-03-24,46
2013-03-31,42
2013-04-07,45
2013-04-14,45
2013-04-21,46
2013-04-28,49
2013-05-05,44
2013-05-12,40
2013-05-19,49
2013-05-26,39
2013-06-02,43
2013-06-09,43
2013-06-16,45
2013-06-23,46
2013-06-30,39
2013-07-07,39
2013-07-14,40
2013-07-21,38
2013-07-28,39
2013-08-04,42
2013-08-11,50
2013-08-18,47
2013-08-25,44
2013-09-01,40
2013-09-08,50
2013-09-15,49
2013-09-22,37
2013-09-29,37
2013-10-06,42
2013-10-13,46
2013-10-20,47
2013-10-27,47
2013-11-03,36
2013-11-10,41
2013-11-17,37
2013-11-24,37
2013-12-01,40
2013-12-08,38
2013-12-15,36
2013-12-22,31
2013-12-29,35
2014-01-05,37
2014-01-12,44
2014-01-19,39
2014-01-26,42
2014-02-02,45
2014-02-09,38
2014-02-16,42
2014-02-23,43
2014-03-02,42
2014-03-09,42
2014-03-16,43
2014-03-23,39
2014-03-30,40
2014-04-06,38
2014-04-13,37
2014-04-20,35
2014-04-27,39
2014-05-04,35
2014-05-11,40
2014-05-18,37
2014-05-25,42
2014-06-01,41
2014-06-08,44
2014-06-15,41
2014-06-22,41
2014-06-29,37
2014-07-06,44
2014-07-13,41
2014-07-20,36
2014-07-27,46
2014-08-03,44
2014-08-10,48
2014-08-17,43
2014-08-24,46
2014-08-31,39
2014-09-07,49
2014-09-14,44
2014-09-21,45
2014-09-28,45
2014-10-05,46
2014-10-12,50
2014-10-19,42
2014-10-26,46
2014-11-02,41
2014-11-09,34
2014-11-16,38
2014-11-23,34
2014-11-30,39
2014-12-07,43
2014-12-14,40
2014-12-21,32
2014-12-28,32
2015-01-04,41
2015-01-11,36
2015-01-18,38
2015-01-25,45
2015-02-01,38
2015-02-08,40
2015-02-15,37
2015-02-22,41
2015-03-01,47
2015-03-08,38
2015-03-15,41
2015-03-22,48
2015-03-29,36
2015-04-05,38
2015-04-12,36
2015-04-19,39
2015-04-26,42
2015-05-03,38
2015-05-10,40
2015-05-17,39
2015-05-24,35
2015-05-31,40
2015-06-07,39
2015-06-14,40
2015-06-21,39
2015-06-28,45
2015-07-05,46
2015-07-12,47
2015-07-19,43
2015-07-26,44
2015-08-02,48
2015-08-09,50
2015-08-16,51
2015-08-23,74
2015-08-30,57
2015-09-06,49
2015-09-13,55
2015-09-20,52
2015-09-27,48
2015-10-04,48
2015-10-11,38
2015-10-18,42
2015-10-25,37
2015-11-01,37
2015-11-08,41
2015-11-15,36
2015-11-22,34
2015-11-29,55
2015-12-06,48
2015-12-13,49
2015-12-20,36
2015-12-27,37
2016-01-03,50
2016-01-10,53
2016-01-17,54
2016-01-24,49
2016-01-31,45
2016-02-07,52
2016-02-14,48
2016-02-21,50
2016-02-28,49
2016-03-06,49
2016-03-13,46
2016-03-20,42
2016-03-27,45
2016-04-03,46
2016-04-10,45
2016-04-17,39
2016-04-24,45
2016-05-01,48
2016-05-08,45
2016-05-15,46
2016-05-22,43
2016-05-29,40
2016-06-05,45
2016-06-12,46
2016-06-19,57
2016-06-26,57
2016-07-03,46
2016-07-10,51
2016-07-17,45
2016-07-24,47
2016-07-31,50
2016-08-07,43
2016-08-14,41
2016-08-21,43
2016-08-28,43
2016-09-04,42
2016-09-11,53
2016-09-18,45
2016-09-25,38
2016-10-02,39
2016-10-09,42
2016-10-16,38
2016-10-23,41
2016-10-30,42
2016-11-06,59
2016-11-13,43
2016-11-20,35
2016-11-27,40
2016-12-04,38
2016-12-11,50
2016-12-18,37
2016-12-25,38
2017-01-01,43
2017-01-08,40
2017-01-15,42
2017-01-22,44
2017-01-29,43
2017-02-05,41
2017-02-12,47
2017-02-19,42
2017-02-26,47
2017-03-05,43
2017-03-12,38
2017-03-19,47
2017-03-26,44
2017-04-02,40
2017-04-09,40
2017-04-16,42
2017-04-23,44
2017-04-30,42
2017-05-07,38
2017-05-14,48
2017-05-21,43
2017-05-28,43
2017-06-04,39
2017-06-11,46
2017-06-18,41
2017-06-25,45
2017-07-02,44
2017-07-09,48
2017-07-16,41
2017-07-23,45
2017-07-30,46
2017-08-06,46
2017-08-13,47
2017-08-20,43
2017-08-27,43
2017-09-03,40
2017-09-10,44
2017-09-17,42
2017-09-24,42
2017-10-01,39
2017-10-08,41
2017-10-15,44
2017-10-22,100
2017-10-29,53
2017-11-05,44
2017-11-12,39
2017-11-19,38
