Category: All categories

Week,color: (United States)
2012-11-18,41
2012-11-25,42
2012-12-02,42
2012-12-09,41
2012-12-16,38
2012-12-23,37
2012-12-30,39
2013-01-06,41
2013-01-13,42
2013-01-20,43
2013-01-27,44
2013-02-03,44
2013-02-10,43
2013-02-17,45
2013-02-24,45
2013-03-03,45
2013-03-10,46
2013-03-17,46
2013-03-24,47
2013-03-31,45
2013-04-07,46
2013-04-14,45
2013-04-21,46
2013-04-28,47
2013-05-05,46
2013-05-12,44
2013-05-19,43
2013-05-26,45
2013-06-02,43
2013-06-09,43
2013-06-16,42
2013-06-23,42
2013-06-30,40
2013-07-07,42
2013-07-14,42
2013-07-21,42
2013-07-28,42
2013-08-04,43
2013-08-11,43
2013-08-18,43
2013-08-25,42
2013-09-01,44
2013-09-08,45
2013-09-15,48
2013-09-22,46
2013-09-29,45
2013-10-06,46
2013-10-13,46
2013-10-20,47
2013-10-27,45
2013-11-03,45
2013-11-10,46
2013-11-17,45
2013-11-24,41
2013-12-01,42
2013-12-08,43
2013-12-15,41
2013-12-22,39
2013-12-29,40
2014-01-05,43
2014-01-12,45
2014-01-19,44
2014-01-26,44
2014-02-02,44
2014-02-09,44
2014-02-16,45
2014-02-23,47
2014-03-02,46
2014-03-09,46
2014-03-16,45
2014-03-23,47
2014-03-30,46
2014-04-06,46
2014-04-13,48
2014-04-20,47
2014-04-27,47
2014-05-04,46
2014-05-11,45
2014-05-18,45
2014-05-25,43
2014-06-01,44
2014-06-08,42
2014-06-15,42
2014-06-22,42
2014-06-29,42
2014-07-06,43
2014-07-13,43
2014-07-20,44
2014-07-27,43
2014-08-03,43
2014-08-10,42
2014-08-17,43
2014-08-24,43
2014-08-31,43
2014-09-07,44
2014-09-14,46
2014-09-21,46
2014-09-28,47
2014-10-05,45
2014-10-12,46
2014-10-19,46
2014-10-26,45
2014-11-02,44
2014-11-09,45
2014-11-16,43
2014-11-23,41
2014-11-30,45
2014-12-07,45
2014-12-14,43
2014-12-21,39
2014-12-28,41
2015-01-04,44
2015-01-11,45
2015-01-18,46
2015-01-25,45
2015-02-01,46
2015-02-08,46
2015-02-15,46
2015-02-22,87
2015-03-01,60
2015-03-08,50
2015-03-15,50
2015-03-22,48
2015-03-29,49
2015-04-05,48
2015-04-12,48
2015-04-19,49
2015-04-26,47
2015-05-03,48
2015-05-10,47
2015-05-17,48
2015-05-24,46
2015-05-31,47
2015-06-07,45
2015-06-14,45
2015-06-21,46
2015-06-28,46
2015-07-05,47
2015-07-12,46
2015-07-19,47
2015-07-26,46
2015-08-02,46
2015-08-09,46
2015-08-16,46
2015-08-23,46
2015-08-30,48
2015-09-06,49
2015-09-13,49
2015-09-20,50
2015-09-27,49
2015-10-04,49
2015-10-11,50
2015-10-18,48
2015-10-25,48
2015-11-01,47
2015-11-08,51
2015-11-15,51
2015-11-22,46
2015-11-29,49
2015-12-06,48
2015-12-13,48
2015-12-20,44
2015-12-27,46
2016-01-03,48
2016-01-10,47
2016-01-17,48
2016-01-24,49
2016-01-31,50
2016-02-07,51
2016-02-14,51
2016-02-21,52
2016-02-28,51
2016-03-06,51
2016-03-13,51
2016-03-20,53
2016-03-27,51
2016-04-03,51
2016-04-10,52
2016-04-17,52
2016-04-24,50
2016-05-01,51
2016-05-08,49
2016-05-15,51
2016-05-22,49
2016-05-29,47
2016-06-05,48
2016-06-12,47
2016-06-19,46
2016-06-26,46
2016-07-03,44
2016-07-10,46
2016-07-17,45
2016-07-24,45
2016-07-31,45
2016-08-07,44
2016-08-14,44
2016-08-21,46
2016-08-28,46
2016-09-04,48
2016-09-11,57
2016-09-18,51
2016-09-25,52
2016-10-02,51
2016-10-09,53
2016-10-16,52
2016-10-23,51
2016-10-30,49
2016-11-06,47
2016-11-13,51
2016-11-20,48
2016-11-27,52
2016-12-04,52
2016-12-11,52
2016-12-18,48
2016-12-25,48
2017-01-01,48
2017-01-08,50
2017-01-15,50
2017-01-22,50
2017-01-29,50
2017-02-05,50
2017-02-12,50
2017-02-19,52
2017-02-26,52
2017-03-05,53
2017-03-12,53
2017-03-19,52
2017-03-26,53
2017-04-02,52
2017-04-09,54
2017-04-16,51
2017-04-23,52
2017-04-30,53
2017-05-07,52
2017-05-14,49
2017-05-21,49
2017-05-28,47
2017-06-04,48
2017-06-11,47
2017-06-18,47
2017-06-25,48
2017-07-02,46
2017-07-09,47
2017-07-16,47
2017-07-23,48
2017-07-30,47
2017-08-06,48
2017-08-13,48
2017-08-20,45
2017-08-27,46
2017-09-03,46
2017-09-10,48
2017-09-17,51
2017-09-24,52
2017-10-01,51
2017-10-08,54
2017-10-15,51
2017-10-22,51
2017-10-29,50
2017-11-05,51
2017-11-12,100
