Category: All categories

Week,credit: (United States)
2012-11-18,52
2012-11-25,57
2012-12-02,57
2012-12-09,55
2012-12-16,55
2012-12-23,54
2012-12-30,60
2013-01-06,58
2013-01-13,56
2013-01-20,56
2013-01-27,61
2013-02-03,59
2013-02-10,59
2013-02-17,59
2013-02-24,60
2013-03-03,59
2013-03-10,59
2013-03-17,57
2013-03-24,57
2013-03-31,59
2013-04-07,59
2013-04-14,57
2013-04-21,56
2013-04-28,59
2013-05-05,57
2013-05-12,57
2013-05-19,56
2013-05-26,58
2013-06-02,60
2013-06-09,60
2013-06-16,60
2013-06-23,60
2013-06-30,62
2013-07-07,62
2013-07-14,60
2013-07-21,60
2013-07-28,62
2013-08-04,61
2013-08-11,60
2013-08-18,60
2013-08-25,57
2013-09-01,58
2013-09-08,57
2013-09-15,57
2013-09-22,55
2013-09-29,58
2013-10-06,56
2013-10-13,58
2013-10-20,56
2013-10-27,57
2013-11-03,59
2013-11-10,59
2013-11-17,57
2013-11-24,56
2013-12-01,59
2013-12-08,58
2013-12-15,66
2013-12-22,61
2013-12-29,64
2014-01-05,62
2014-01-12,65
2014-01-19,61
2014-01-26,62
2014-02-02,63
2014-02-09,62
2014-02-16,61
2014-02-23,62
2014-03-02,62
2014-03-09,62
2014-03-16,59
2014-03-23,60
2014-03-30,63
2014-04-06,63
2014-04-13,63
2014-04-20,60
2014-04-27,62
2014-05-04,61
2014-05-11,62
2014-05-18,60
2014-05-25,59
2014-06-01,63
2014-06-08,61
2014-06-15,61
2014-06-22,61
2014-06-29,63
2014-07-06,65
2014-07-13,66
2014-07-20,65
2014-07-27,68
2014-08-03,69
2014-08-10,66
2014-08-17,66
2014-08-24,64
2014-08-31,63
2014-09-07,63
2014-09-14,64
2014-09-21,62
2014-09-28,66
2014-10-05,62
2014-10-12,62
2014-10-19,61
2014-10-26,62
2014-11-02,65
2014-11-09,64
2014-11-16,64
2014-11-23,59
2014-11-30,66
2014-12-07,64
2014-12-14,66
2014-12-21,60
2014-12-28,67
2015-01-04,67
2015-01-11,66
2015-01-18,65
2015-01-25,66
2015-02-01,69
2015-02-08,68
2015-02-15,66
2015-02-22,65
2015-03-01,68
2015-03-08,66
2015-03-15,65
2015-03-22,65
2015-03-29,70
2015-04-05,67
2015-04-12,68
2015-04-19,65
2015-04-26,65
2015-05-03,66
2015-05-10,68
2015-05-17,68
2015-05-24,66
2015-05-31,69
2015-06-07,69
2015-06-14,70
2015-06-21,69
2015-06-28,72
2015-07-05,73
2015-07-12,72
2015-07-19,69
2015-07-26,71
2015-08-02,72
2015-08-09,71
2015-08-16,69
2015-08-23,66
2015-08-30,67
2015-09-06,62
2015-09-13,63
2015-09-20,62
2015-09-27,65
2015-10-04,64
2015-10-11,64
2015-10-18,60
2015-10-25,61
2015-11-01,66
2015-11-08,64
2015-11-15,62
2015-11-22,58
2015-11-29,67
2015-12-06,62
2015-12-13,64
2015-12-20,60
2015-12-27,69
2016-01-03,71
2016-01-10,63
2016-01-17,62
2016-01-24,64
2016-01-31,68
2016-02-07,67
2016-02-14,65
2016-02-21,64
2016-02-28,66
2016-03-06,64
2016-03-13,63
2016-03-20,65
2016-03-27,66
2016-04-03,68
2016-04-10,68
2016-04-17,64
2016-04-24,62
2016-05-01,67
2016-05-08,65
2016-05-15,66
2016-05-22,64
2016-05-29,65
2016-06-05,66
2016-06-12,64
2016-06-19,64
2016-06-26,68
2016-07-03,66
2016-07-10,68
2016-07-17,66
2016-07-24,66
2016-07-31,69
2016-08-07,65
2016-08-14,66
2016-08-21,65
2016-08-28,66
2016-09-04,63
2016-09-11,63
2016-09-18,62
2016-09-25,63
2016-10-02,65
2016-10-09,62
2016-10-16,62
2016-10-23,59
2016-10-30,63
2016-11-06,56
2016-11-13,63
2016-11-20,59
2016-11-27,66
2016-12-04,64
2016-12-11,65
2016-12-18,63
2016-12-25,62
2017-01-01,70
2017-01-08,67
2017-01-15,65
2017-01-22,65
2017-01-29,71
2017-02-05,66
2017-02-12,68
2017-02-19,69
2017-02-26,69
2017-03-05,67
2017-03-12,65
2017-03-19,64
2017-03-26,65
2017-04-02,66
2017-04-09,67
2017-04-16,67
2017-04-23,63
2017-04-30,67
2017-05-07,65
2017-05-14,65
2017-05-21,64
2017-05-28,68
2017-06-04,68
2017-06-11,68
2017-06-18,68
2017-06-25,71
2017-07-02,73
2017-07-09,74
2017-07-16,71
2017-07-23,70
2017-07-30,74
2017-08-06,71
2017-08-13,68
2017-08-20,64
2017-08-27,66
2017-09-03,67
2017-09-10,77
2017-09-17,70
2017-09-24,68
2017-10-01,70
2017-10-08,68
2017-10-15,68
2017-10-22,64
2017-10-29,69
2017-11-05,68
2017-11-12,100
