Category: All categories

Week,markets: (United States)
2012-11-18,44
2012-11-25,43
2012-12-02,44
2012-12-09,44
2012-12-16,40
2012-12-23,40
2012-12-30,44
2013-01-06,43
2013-01-13,46
2013-01-20,48
2013-01-27,46
2013-02-03,46
2013-02-10,47
2013-02-17,48
2013-02-24,46
2013-03-03,48
2013-03-10,48
2013-03-17,48
2013-03-24,50
2013-03-31,49
2013-04-07,52
2013-04-14,51
2013-04-21,51
2013-04-28,53
2013-05-05,52
2013-05-12,50
2013-05-19,52
2013-05-26,50
2013-06-02,52
2013-06-09,53
2013-06-16,52
2013-06-23,56
2013-06-30,54
2013-07-07,54
2013-07-14,52
2013-07-21,52
2013-07-28,51
2013-08-04,52
2013-08-11,50
2013-08-18,50
2013-08-25,49
2013-09-01,48
2013-09-08,51
2013-09-15,50
2013-09-22,49
2013-09-29,50
2013-10-06,52
2013-10-13,51
2013-10-20,49
2013-10-27,47
2013-11-03,50
2013-11-10,50
2013-11-17,48
2013-11-24,45
2013-12-01,41
2013-12-08,42
2013-12-15,41
2013-12-22,41
2013-12-29,40
2014-01-05,42
2014-01-12,46
2014-01-19,47
2014-01-26,54
2014-02-02,49
2014-02-09,47
2014-02-16,50
2014-02-23,48
2014-03-02,49
2014-03-09,49
2014-03-16,49
2014-03-23,50
2014-03-30,51
2014-04-06,52
2014-04-13,53
2014-04-20,51
2014-04-27,51
2014-05-04,52
2014-05-11,50
2014-05-18,53
2014-05-25,50
2014-06-01,51
2014-06-08,51
2014-06-15,50
2014-06-22,52
2014-06-29,54
2014-07-06,53
2014-07-13,53
2014-07-20,54
2014-07-27,54
2014-08-03,52
2014-08-10,48
2014-08-17,49
2014-08-24,52
2014-08-31,49
2014-09-07,49
2014-09-14,50
2014-09-21,49
2014-09-28,51
2014-10-05,51
2014-10-12,54
2014-10-19,49
2014-10-26,49
2014-11-02,50
2014-11-09,49
2014-11-16,49
2014-11-23,44
2014-11-30,45
2014-12-07,47
2014-12-14,47
2014-12-21,47
2014-12-28,45
2015-01-04,45
2015-01-11,47
2015-01-18,49
2015-01-25,50
2015-02-01,48
2015-02-08,47
2015-02-15,46
2015-02-22,47
2015-03-01,46
2015-03-08,47
2015-03-15,47
2015-03-22,50
2015-03-29,53
2015-04-05,48
2015-04-12,50
2015-04-19,50
2015-04-26,51
2015-05-03,51
2015-05-10,50
2015-05-17,55
2015-05-24,51
2015-05-31,51
2015-06-07,52
2015-06-14,53
2015-06-21,52
2015-06-28,66
2015-07-05,70
2015-07-12,54
2015-07-19,57
2015-07-26,56
2015-08-02,54
2015-08-09,56
2015-08-16,57
2015-08-23,89
2015-08-30,66
2015-09-06,58
2015-09-13,56
2015-09-20,57
2015-09-27,56
2015-10-04,55
2015-10-11,55
2015-10-18,50
2015-10-25,50
2015-11-01,53
2015-11-08,50
2015-11-15,51
2015-11-22,43
2015-11-29,45
2015-12-06,47
2015-12-13,46
2015-12-20,48
2015-12-27,43
2016-01-03,55
2016-01-10,55
2016-01-17,65
2016-01-24,56
2016-01-31,56
2016-02-07,58
2016-02-14,55
2016-02-21,55
2016-02-28,52
2016-03-06,53
2016-03-13,51
2016-03-20,53
2016-03-27,52
2016-04-03,53
2016-04-10,53
2016-04-17,53
2016-04-24,50
2016-05-01,52
2016-05-08,51
2016-05-15,50
2016-05-22,51
2016-05-29,50
2016-06-05,52
2016-06-12,53
2016-06-19,71
2016-06-26,72
2016-07-03,57
2016-07-10,56
2016-07-17,52
2016-07-24,51
2016-07-31,52
2016-08-07,46
2016-08-14,46
2016-08-21,46
2016-08-28,49
2016-09-04,51
2016-09-11,52
2016-09-18,49
2016-09-25,50
2016-10-02,49
2016-10-09,50
2016-10-16,50
2016-10-23,48
2016-10-30,51
2016-11-06,100
2016-11-13,51
2016-11-20,46
2016-11-27,47
2016-12-04,48
2016-12-11,46
2016-12-18,47
2016-12-25,44
2017-01-01,43
2017-01-08,43
2017-01-15,48
2017-01-22,49
2017-01-29,51
2017-02-05,50
2017-02-12,50
2017-02-19,51
2017-02-26,51
2017-03-05,50
2017-03-12,48
2017-03-19,49
2017-03-26,51
2017-04-02,51
2017-04-09,55
2017-04-16,52
2017-04-23,51
2017-04-30,52
2017-05-07,51
2017-05-14,49
2017-05-21,52
2017-05-28,51
2017-06-04,52
2017-06-11,51
2017-06-18,52
2017-06-25,55
2017-07-02,60
2017-07-09,55
2017-07-16,56
2017-07-23,54
2017-07-30,54
2017-08-06,54
2017-08-13,50
2017-08-20,48
2017-08-27,51
2017-09-03,49
2017-09-10,50
2017-09-17,49
2017-09-24,50
2017-10-01,50
2017-10-08,55
2017-10-15,51
2017-10-22,50
2017-10-29,49
2017-11-05,51
2017-11-12,92
