Category: All categories

Week,return: (United States)
2012-11-18,39
2012-11-25,45
2012-12-02,46
2012-12-09,47
2012-12-16,46
2012-12-23,49
2012-12-30,53
2013-01-06,54
2013-01-13,55
2013-01-20,60
2013-01-27,72
2013-02-03,78
2013-02-10,70
2013-02-17,67
2013-02-24,63
2013-03-03,59
2013-03-10,60
2013-03-17,57
2013-03-24,57
2013-03-31,58
2013-04-07,66
2013-04-14,65
2013-04-21,46
2013-04-28,47
2013-05-05,47
2013-05-12,44
2013-05-19,41
2013-05-26,40
2013-06-02,40
2013-06-09,39
2013-06-16,40
2013-06-23,39
2013-06-30,37
2013-07-07,40
2013-07-14,40
2013-07-21,39
2013-07-28,41
2013-08-04,41
2013-08-11,40
2013-08-18,39
2013-08-25,40
2013-09-01,40
2013-09-08,42
2013-09-15,44
2013-09-22,45
2013-09-29,45
2013-10-06,46
2013-10-13,48
2013-10-20,47
2013-10-27,48
2013-11-03,48
2013-11-10,48
2013-11-17,48
2013-11-24,44
2013-12-01,53
2013-12-08,52
2013-12-15,53
2013-12-22,52
2013-12-29,53
2014-01-05,57
2014-01-12,59
2014-01-19,61
2014-01-26,73
2014-02-02,85
2014-02-09,72
2014-02-16,67
2014-02-23,66
2014-03-02,61
2014-03-09,58
2014-03-16,55
2014-03-23,56
2014-03-30,59
2014-04-06,64
2014-04-13,71
2014-04-20,48
2014-04-27,47
2014-05-04,48
2014-05-11,48
2014-05-18,47
2014-05-25,44
2014-06-01,45
2014-06-08,43
2014-06-15,43
2014-06-22,42
2014-06-29,41
2014-07-06,45
2014-07-13,44
2014-07-20,44
2014-07-27,43
2014-08-03,43
2014-08-10,43
2014-08-17,44
2014-08-24,43
2014-08-31,44
2014-09-07,47
2014-09-14,50
2014-09-21,50
2014-09-28,52
2014-10-05,53
2014-10-12,52
2014-10-19,54
2014-10-26,52
2014-11-02,51
2014-11-09,50
2014-11-16,51
2014-11-23,46
2014-11-30,53
2014-12-07,54
2014-12-14,55
2014-12-21,50
2014-12-28,56
2015-01-04,60
2015-01-11,62
2015-01-18,66
2015-01-25,75
2015-02-01,78
2015-02-08,71
2015-02-15,66
2015-02-22,64
2015-03-01,62
2015-03-08,61
2015-03-15,61
2015-03-22,60
2015-03-29,60
2015-04-05,64
2015-04-12,77
2015-04-19,51
2015-04-26,49
2015-05-03,47
2015-05-10,48
2015-05-17,48
2015-05-24,47
2015-05-31,47
2015-06-07,47
2015-06-14,46
2015-06-21,46
2015-06-28,44
2015-07-05,45
2015-07-12,46
2015-07-19,47
2015-07-26,46
2015-08-02,45
2015-08-09,46
2015-08-16,47
2015-08-23,48
2015-08-30,50
2015-09-06,50
2015-09-13,51
2015-09-20,53
2015-09-27,55
2015-10-04,55
2015-10-11,56
2015-10-18,54
2015-10-25,56
2015-11-01,58
2015-11-08,56
2015-11-15,56
2015-11-22,50
2015-11-29,61
2015-12-06,63
2015-12-13,69
2015-12-20,64
2015-12-27,66
2016-01-03,67
2016-01-10,64
2016-01-17,71
2016-01-24,84
2016-01-31,100
2016-02-07,83
2016-02-14,74
2016-02-21,73
2016-02-28,70
2016-03-06,65
2016-03-13,61
2016-03-20,61
2016-03-27,61
2016-04-03,66
2016-04-10,76
2016-04-17,66
2016-04-24,53
2016-05-01,52
2016-05-08,51
2016-05-15,52
2016-05-22,50
2016-05-29,48
2016-06-05,48
2016-06-12,45
2016-06-19,48
2016-06-26,47
2016-07-03,44
2016-07-10,46
2016-07-17,47
2016-07-24,46
2016-07-31,45
2016-08-07,44
2016-08-14,44
2016-08-21,48
2016-08-28,49
2016-09-04,50
2016-09-11,51
2016-09-18,52
2016-09-25,53
2016-10-02,54
2016-10-09,57
2016-10-16,56
2016-10-23,55
2016-10-30,55
2016-11-06,47
2016-11-13,53
2016-11-20,49
2016-11-27,57
2016-12-04,58
2016-12-11,59
2016-12-18,56
2016-12-25,65
2017-01-01,67
2017-01-08,69
2017-01-15,79
2017-01-22,87
2017-01-29,85
2017-02-05,79
2017-02-12,82
2017-02-19,77
2017-02-26,71
2017-03-05,71
2017-03-12,73
2017-03-19,65
2017-03-26,65
2017-04-02,68
2017-04-09,76
2017-04-16,75
2017-04-23,57
2017-04-30,59
2017-05-07,55
2017-05-14,53
2017-05-21,57
2017-05-28,53
2017-06-04,52
2017-06-11,50
2017-06-18,49
2017-06-25,50
2017-07-02,48
2017-07-09,50
2017-07-16,50
2017-07-23,49
2017-07-30,49
2017-08-06,48
2017-08-13,48
2017-08-20,46
2017-08-27,48
2017-09-03,49
2017-09-10,51
2017-09-17,53
2017-09-24,54
2017-10-01,52
2017-10-08,54
2017-10-15,54
2017-10-22,52
2017-10-29,54
2017-11-05,53
2017-11-12,93
