Category: All categories

Week,unemployment: (United States)
2012-11-18,60
2012-11-25,67
2012-12-02,71
2012-12-09,68
2012-12-16,70
2012-12-23,69
2012-12-30,92
2013-01-06,80
2013-01-13,74
2013-01-20,72
2013-01-27,70
2013-02-03,64
2013-02-10,60
2013-02-17,61
2013-02-24,58
2013-03-03,58
2013-03-10,57
2013-03-17,56
2013-03-24,56
2013-03-31,59
2013-04-07,59
2013-04-14,57
2013-04-21,56
2013-04-28,56
2013-05-05,52
2013-05-12,54
2013-05-19,53
2013-05-26,56
2013-06-02,54
2013-06-09,54
2013-06-16,54
2013-06-23,55
2013-06-30,56
2013-07-07,60
2013-07-14,57
2013-07-21,55
2013-07-28,57
2013-08-04,55
2013-08-11,53
2013-08-18,53
2013-08-25,51
2013-09-01,55
2013-09-08,54
2013-09-15,51
2013-09-22,52
2013-09-29,68
2013-10-06,59
2013-10-13,60
2013-10-20,56
2013-10-27,55
2013-11-03,56
2013-11-10,57
2013-11-17,55
2013-11-24,49
2013-12-01,61
2013-12-08,62
2013-12-15,64
2013-12-22,64
2013-12-29,73
2014-01-05,100
2014-01-12,93
2014-01-19,80
2014-01-26,87
2014-02-02,82
2014-02-09,66
2014-02-16,60
2014-02-23,68
2014-03-02,65
2014-03-09,70
2014-03-16,61
2014-03-23,70
2014-03-30,72
2014-04-06,76
2014-04-13,59
2014-04-20,58
2014-04-27,66
2014-05-04,64
2014-05-11,61
2014-05-18,55
2014-05-25,49
2014-06-01,49
2014-06-08,47
2014-06-15,46
2014-06-22,46
2014-06-29,45
2014-07-06,49
2014-07-13,46
2014-07-20,46
2014-07-27,43
2014-08-03,41
2014-08-10,38
2014-08-17,37
2014-08-24,36
2014-08-31,37
2014-09-07,36
2014-09-14,36
2014-09-21,36
2014-09-28,38
2014-10-05,37
2014-10-12,37
2014-10-19,36
2014-10-26,36
2014-11-02,38
2014-11-09,38
2014-11-16,39
2014-11-23,32
2014-11-30,40
2014-12-07,39
2014-12-14,40
2014-12-21,35
2014-12-28,42
2015-01-04,50
2015-01-11,47
2015-01-18,48
2015-01-25,47
2015-02-01,45
2015-02-08,40
2015-02-15,40
2015-02-22,39
2015-03-01,39
2015-03-08,38
2015-03-15,37
2015-03-22,37
2015-03-29,36
2015-04-05,37
2015-04-12,38
2015-04-19,36
2015-04-26,35
2015-05-03,34
2015-05-10,33
2015-05-17,34
2015-05-24,33
2015-05-31,35
2015-06-07,35
2015-06-14,34
2015-06-21,35
2015-06-28,38
2015-07-05,39
2015-07-12,37
2015-07-19,37
2015-07-26,36
2015-08-02,35
2015-08-09,35
2015-08-16,34
2015-08-23,34
2015-08-30,34
2015-09-06,32
2015-09-13,32
2015-09-20,32
2015-09-27,34
2015-10-04,33
2015-10-11,34
2015-10-18,33
2015-10-25,32
2015-11-01,34
2015-11-08,35
2015-11-15,35
2015-11-22,29
2015-11-29,37
2015-12-06,35
2015-12-13,36
2015-12-20,32
2015-12-27,37
2016-01-03,47
2016-01-10,47
2016-01-17,44
2016-01-24,44
2016-01-31,43
2016-02-07,39
2016-02-14,38
2016-02-21,36
2016-02-28,36
2016-03-06,35
2016-03-13,34
2016-03-20,33
2016-03-27,34
2016-04-03,34
2016-04-10,35
2016-04-17,33
2016-04-24,33
2016-05-01,33
2016-05-08,31
2016-05-15,32
2016-05-22,31
2016-05-29,31
2016-06-05,32
2016-06-12,30
2016-06-19,32
2016-06-26,32
2016-07-03,32
2016-07-10,32
2016-07-17,33
2016-07-24,32
2016-07-31,31
2016-08-07,30
2016-08-14,29
2016-08-21,29
2016-08-28,29
2016-09-04,28
2016-09-11,28
2016-09-18,28
2016-09-25,28
2016-10-02,28
2016-10-09,30
2016-10-16,30
2016-10-23,30
2016-10-30,30
2016-11-06,30
2016-11-13,33
2016-11-20,26
2016-11-27,36
2016-12-04,34
2016-12-11,34
2016-12-18,33
2016-12-25,35
2017-01-01,44
2017-01-08,41
2017-01-15,43
2017-01-22,42
2017-01-29,40
2017-02-05,35
2017-02-12,34
2017-02-19,33
2017-02-26,32
2017-03-05,32
2017-03-12,30
2017-03-19,31
2017-03-26,30
2017-04-02,31
2017-04-09,30
2017-04-16,30
2017-04-23,31
2017-04-30,29
2017-05-07,29
2017-05-14,27
2017-05-21,28
2017-05-28,29
2017-06-04,29
2017-06-11,29
2017-06-18,29
2017-06-25,30
2017-07-02,30
2017-07-09,31
2017-07-16,30
2017-07-23,29
2017-07-30,30
2017-08-06,29
2017-08-13,27
2017-08-20,26
2017-08-27,30
2017-09-03,27
2017-09-10,28
2017-09-17,28
2017-09-24,28
2017-10-01,28
2017-10-08,29
2017-10-15,29
2017-10-22,28
2017-10-29,29
2017-11-05,28
2017-11-12,54
