Category: All categories

Week,money: (United States)
2012-11-18,43
2012-11-25,48
2012-12-02,48
2012-12-09,47
2012-12-16,44
2012-12-23,45
2012-12-30,49
2013-01-06,50
2013-01-13,49
2013-01-20,49
2013-01-27,51
2013-02-03,48
2013-02-10,47
2013-02-17,48
2013-02-24,49
2013-03-03,48
2013-03-10,48
2013-03-17,48
2013-03-24,47
2013-03-31,47
2013-04-07,48
2013-04-14,48
2013-04-21,48
2013-04-28,49
2013-05-05,48
2013-05-12,48
2013-05-19,48
2013-05-26,48
2013-06-02,48
2013-06-09,47
2013-06-16,48
2013-06-23,48
2013-06-30,48
2013-07-07,50
2013-07-14,53
2013-07-21,50
2013-07-28,50
2013-08-04,50
2013-08-11,50
2013-08-18,48
2013-08-25,46
2013-09-01,48
2013-09-08,48
2013-09-15,54
2013-09-22,54
2013-09-29,54
2013-10-06,55
2013-10-13,55
2013-10-20,52
2013-10-27,50
2013-11-03,52
2013-11-10,50
2013-11-17,50
2013-11-24,47
2013-12-01,50
2013-12-08,51
2013-12-15,53
2013-12-22,54
2013-12-29,56
2014-01-05,54
2014-01-12,54
2014-01-19,53
2014-01-26,56
2014-02-02,53
2014-02-09,52
2014-02-16,52
2014-02-23,52
2014-03-02,52
2014-03-09,52
2014-03-16,51
2014-03-23,51
2014-03-30,51
2014-04-06,53
2014-04-13,52
2014-04-20,51
2014-04-27,52
2014-05-04,53
2014-05-11,53
2014-05-18,52
2014-05-25,51
2014-06-01,52
2014-06-08,50
2014-06-15,52
2014-06-22,53
2014-06-29,58
2014-07-06,55
2014-07-13,52
2014-07-20,54
2014-07-27,54
2014-08-03,52
2014-08-10,51
2014-08-17,52
2014-08-24,51
2014-08-31,50
2014-09-07,51
2014-09-14,50
2014-09-21,49
2014-09-28,50
2014-10-05,49
2014-10-12,49
2014-10-19,50
2014-10-26,49
2014-11-02,50
2014-11-09,49
2014-11-16,51
2014-11-23,47
2014-11-30,53
2014-12-07,52
2014-12-14,52
2014-12-21,50
2014-12-28,55
2015-01-04,53
2015-01-11,52
2015-01-18,53
2015-01-25,54
2015-02-01,54
2015-02-08,52
2015-02-15,52
2015-02-22,52
2015-03-01,52
2015-03-08,52
2015-03-15,52
2015-03-22,53
2015-03-29,54
2015-04-05,52
2015-04-12,56
2015-04-19,53
2015-04-26,54
2015-05-03,56
2015-05-10,53
2015-05-17,53
2015-05-24,51
2015-05-31,53
2015-06-07,52
2015-06-14,56
2015-06-21,53
2015-06-28,61
2015-07-05,58
2015-07-12,56
2015-07-19,56
2015-07-26,54
2015-08-02,53
2015-08-09,53
2015-08-16,53
2015-08-23,54
2015-08-30,53
2015-09-06,52
2015-09-13,52
2015-09-20,52
2015-09-27,52
2015-10-04,50
2015-10-11,50
2015-10-18,50
2015-10-25,49
2015-11-01,51
2015-11-08,50
2015-11-15,49
2015-11-22,46
2015-11-29,52
2015-12-06,51
2015-12-13,53
2015-12-20,51
2015-12-27,56
2016-01-03,59
2016-01-10,61
2016-01-17,57
2016-01-24,58
2016-01-31,58
2016-02-07,57
2016-02-14,56
2016-02-21,56
2016-02-28,54
2016-03-06,53
2016-03-13,52
2016-03-20,52
2016-03-27,55
2016-04-03,56
2016-04-10,56
2016-04-17,56
2016-04-24,54
2016-05-01,55
2016-05-08,59
2016-05-15,63
2016-05-22,57
2016-05-29,56
2016-06-05,55
2016-06-12,53
2016-06-19,58
2016-06-26,55
2016-07-03,53
2016-07-10,54
2016-07-17,52
2016-07-24,53
2016-07-31,52
2016-08-07,50
2016-08-14,50
2016-08-21,50
2016-08-28,51
2016-09-04,52
2016-09-11,51
2016-09-18,49
2016-09-25,50
2016-10-02,49
2016-10-09,49
2016-10-16,50
2016-10-23,50
2016-10-30,50
2016-11-06,50
2016-11-13,52
2016-11-20,48
2016-11-27,54
2016-12-04,53
2016-12-11,53
2016-12-18,51
2016-12-25,51
2017-01-01,56
2017-01-08,55
2017-01-15,58
2017-01-22,58
2017-01-29,58
2017-02-05,55
2017-02-12,54
2017-02-19,55
2017-02-26,54
2017-03-05,53
2017-03-12,53
2017-03-19,53
2017-03-26,54
2017-04-02,53
2017-04-09,54
2017-04-16,55
2017-04-23,55
2017-04-30,55
2017-05-07,55
2017-05-14,52
2017-05-21,54
2017-05-28,56
2017-06-04,54
2017-06-11,54
2017-06-18,58
2017-06-25,55
2017-07-02,55
2017-07-09,55
2017-07-16,55
2017-07-23,56
2017-07-30,56
2017-08-06,54
2017-08-13,53
2017-08-20,52
2017-08-27,59
2017-09-03,52
2017-09-10,53
2017-09-17,54
2017-09-24,54
2017-10-01,53
2017-10-08,52
2017-10-15,53
2017-10-22,53
2017-10-29,53
2017-11-05,54
2017-11-12,100
