Category: All categories

Week,religion: (United States)
2012-11-18,63
2012-11-25,73
2012-12-02,74
2012-12-09,75
2012-12-16,66
2012-12-23,53
2012-12-30,47
2013-01-06,56
2013-01-13,58
2013-01-20,60
2013-01-27,60
2013-02-03,61
2013-02-10,64
2013-02-17,61
2013-02-24,63
2013-03-03,61
2013-03-10,68
2013-03-17,63
2013-03-24,64
2013-03-31,63
2013-04-07,62
2013-04-14,67
2013-04-21,66
2013-04-28,66
2013-05-05,60
2013-05-12,57
2013-05-19,54
2013-05-26,50
2013-06-02,46
2013-06-09,43
2013-06-16,41
2013-06-23,42
2013-06-30,42
2013-07-07,41
2013-07-14,42
2013-07-21,42
2013-07-28,43
2013-08-04,42
2013-08-11,43
2013-08-18,46
2013-08-25,52
2013-09-01,56
2013-09-08,63
2013-09-15,64
2013-09-22,66
2013-09-29,63
2013-10-06,64
2013-10-13,62
2013-10-20,64
2013-10-27,62
2013-11-03,63
2013-11-10,64
2013-11-17,67
2013-11-24,58
2013-12-01,70
2013-12-08,70
2013-12-15,66
2013-12-22,52
2013-12-29,44
2014-01-05,53
2014-01-12,57
2014-01-19,53
2014-01-26,58
2014-02-02,58
2014-02-09,56
2014-02-16,57
2014-02-23,63
2014-03-02,60
2014-03-09,58
2014-03-16,59
2014-03-23,58
2014-03-30,58
2014-04-06,60
2014-04-13,62
2014-04-20,65
2014-04-27,62
2014-05-04,60
2014-05-11,57
2014-05-18,54
2014-05-25,50
2014-06-01,47
2014-06-08,43
2014-06-15,42
2014-06-22,41
2014-06-29,46
2014-07-06,44
2014-07-13,41
2014-07-20,42
2014-07-27,42
2014-08-03,45
2014-08-10,50
2014-08-17,49
2014-08-24,54
2014-08-31,60
2014-09-07,62
2014-09-14,64
2014-09-21,67
2014-09-28,69
2014-10-05,66
2014-10-12,62
2014-10-19,65
2014-10-26,64
2014-11-02,64
2014-11-09,62
2014-11-16,65
2014-11-23,53
2014-11-30,66
2014-12-07,69
2014-12-14,64
2014-12-21,51
2014-12-28,42
2015-01-04,57
2015-01-11,60
2015-01-18,58
2015-01-25,57
2015-02-01,60
2015-02-08,61
2015-02-15,60
2015-02-22,61
2015-03-01,60
2015-03-08,56
2015-03-15,56
2015-03-22,63
2015-03-29,71
2015-04-05,64
2015-04-12,60
2015-04-19,62
2015-04-26,61
2015-05-03,59
2015-05-10,57
2015-05-17,55
2015-05-24,50
2015-05-31,48
2015-06-07,42
2015-06-14,42
2015-06-21,42
2015-06-28,46
2015-07-05,41
2015-07-12,41
2015-07-19,43
2015-07-26,40
2015-08-02,41
2015-08-09,39
2015-08-16,47
2015-08-23,52
2015-08-30,61
2015-09-06,65
2015-09-13,70
2015-09-20,83
2015-09-27,78
2015-10-04,70
2015-10-11,67
2015-10-18,67
2015-10-25,68
2015-11-01,68
2015-11-08,72
2015-11-15,91
2015-11-22,62
2015-11-29,78
2015-12-06,89
2015-12-13,73
2015-12-20,57
2015-12-27,45
2016-01-03,56
2016-01-10,57
2016-01-17,59
2016-01-24,59
2016-01-31,63
2016-02-07,63
2016-02-14,61
2016-02-21,62
2016-02-28,59
2016-03-06,60
2016-03-13,57
2016-03-20,61
2016-03-27,60
2016-04-03,58
2016-04-10,60
2016-04-17,62
2016-04-24,60
2016-05-01,58
2016-05-08,54
2016-05-15,54
2016-05-22,48
2016-05-29,47
2016-06-05,45
2016-06-12,53
2016-06-19,41
2016-06-26,41
2016-07-03,41
2016-07-10,41
2016-07-17,44
2016-07-24,41
2016-07-31,39
2016-08-07,39
2016-08-14,39
2016-08-21,46
2016-08-28,53
2016-09-04,55
2016-09-11,59
2016-09-18,61
2016-09-25,64
2016-10-02,62
2016-10-09,60
2016-10-16,61
2016-10-23,62
2016-10-30,60
2016-11-06,63
2016-11-13,66
2016-11-20,57
2016-11-27,71
2016-12-04,70
2016-12-11,67
2016-12-18,56
2016-12-25,50
2017-01-01,50
2017-01-08,55
2017-01-15,63
2017-01-22,62
2017-01-29,77
2017-02-05,60
2017-02-12,58
2017-02-19,57
2017-02-26,59
2017-03-05,57
2017-03-12,52
2017-03-19,55
2017-03-26,53
2017-04-02,54
2017-04-09,57
2017-04-16,57
2017-04-23,57
2017-04-30,57
2017-05-07,54
2017-05-14,49
2017-05-21,53
2017-05-28,45
2017-06-04,44
2017-06-11,40
2017-06-18,38
2017-06-25,40
2017-07-02,42
2017-07-09,38
2017-07-16,38
2017-07-23,38
2017-07-30,36
2017-08-06,38
2017-08-13,41
2017-08-20,42
2017-08-27,49
2017-09-03,50
2017-09-10,53
2017-09-17,58
2017-09-24,61
2017-10-01,60
2017-10-08,56
2017-10-15,58
2017-10-22,58
2017-10-29,58
2017-11-05,59
2017-11-12,100
