Category: All categories

Week,cancer: (United States)
2012-11-18,48
2012-11-25,56
2012-12-02,56
2012-12-09,54
2012-12-16,46
2012-12-23,42
2012-12-30,46
2013-01-06,55
2013-01-13,56
2013-01-20,53
2013-01-27,55
2013-02-03,55
2013-02-10,54
2013-02-17,56
2013-02-24,57
2013-03-03,61
2013-03-10,58
2013-03-17,57
2013-03-24,56
2013-03-31,59
2013-04-07,60
2013-04-14,54
2013-04-21,57
2013-04-28,57
2013-05-05,55
2013-05-12,59
2013-05-19,56
2013-05-26,54
2013-06-02,68
2013-06-09,56
2013-06-16,56
2013-06-23,54
2013-06-30,51
2013-07-07,58
2013-07-14,64
2013-07-21,56
2013-07-28,55
2013-08-04,56
2013-08-11,54
2013-08-18,54
2013-08-25,52
2013-09-01,53
2013-09-08,58
2013-09-15,58
2013-09-22,61
2013-09-29,79
2013-10-06,77
2013-10-13,73
2013-10-20,67
2013-10-27,61
2013-11-03,59
2013-11-10,60
2013-11-17,58
2013-11-24,49
2013-12-01,54
2013-12-08,54
2013-12-15,53
2013-12-22,45
2013-12-29,49
2014-01-05,53
2014-01-12,56
2014-01-19,55
2014-01-26,55
2014-02-02,62
2014-02-09,56
2014-02-16,58
2014-02-23,59
2014-03-02,58
2014-03-09,58
2014-03-16,59
2014-03-23,62
2014-03-30,58
2014-04-06,58
2014-04-13,56
2014-04-20,58
2014-04-27,58
2014-05-04,59
2014-05-11,58
2014-05-18,56
2014-05-25,55
2014-06-01,57
2014-06-08,56
2014-06-15,58
2014-06-22,56
2014-06-29,52
2014-07-06,55
2014-07-13,57
2014-07-20,55
2014-07-27,54
2014-08-03,55
2014-08-10,53
2014-08-17,55
2014-08-24,52
2014-08-31,58
2014-09-07,58
2014-09-14,59
2014-09-21,61
2014-09-28,81
2014-10-05,81
2014-10-12,71
2014-10-19,70
2014-10-26,63
2014-11-02,61
2014-11-09,60
2014-11-16,57
2014-11-23,46
2014-11-30,54
2014-12-07,56
2014-12-14,49
2014-12-21,42
2014-12-28,46
2015-01-04,68
2015-01-11,54
2015-01-18,54
2015-01-25,54
2015-02-01,55
2015-02-08,53
2015-02-15,55
2015-02-22,57
2015-03-01,56
2015-03-08,57
2015-03-15,55
2015-03-22,58
2015-03-29,61
2015-04-05,59
2015-04-12,60
2015-04-19,62
2015-04-26,56
2015-05-03,57
2015-05-10,59
2015-05-17,60
2015-05-24,55
2015-05-31,60
2015-06-07,60
2015-06-14,55
2015-06-21,56
2015-06-28,54
2015-07-05,57
2015-07-12,58
2015-07-19,57
2015-07-26,56
2015-08-02,55
2015-08-09,57
2015-08-16,60
2015-08-23,57
2015-08-30,59
2015-09-06,58
2015-09-13,64
2015-09-20,68
2015-09-27,78
2015-10-04,78
2015-10-11,75
2015-10-18,73
2015-10-25,75
2015-11-01,65
2015-11-08,62
2015-11-15,60
2015-11-22,53
2015-11-29,58
2015-12-06,58
2015-12-13,55
2015-12-20,47
2015-12-27,51
2016-01-03,57
2016-01-10,88
2016-01-17,62
2016-01-24,60
2016-01-31,65
2016-02-07,59
2016-02-14,63
2016-02-21,65
2016-02-28,64
2016-03-06,63
2016-03-13,59
2016-03-20,59
2016-03-27,60
2016-04-03,62
2016-04-10,62
2016-04-17,61
2016-04-24,58
2016-05-01,59
2016-05-08,59
2016-05-15,61
2016-05-22,57
2016-05-29,55
2016-06-05,57
2016-06-12,54
2016-06-19,58
2016-06-26,59
2016-07-03,54
2016-07-10,57
2016-07-17,57
2016-07-24,56
2016-07-31,55
2016-08-07,51
2016-08-14,51
2016-08-21,54
2016-08-28,55
2016-09-04,59
2016-09-11,62
2016-09-18,62
2016-09-25,63
2016-10-02,68
2016-10-09,67
2016-10-16,66
2016-10-23,62
2016-10-30,61
2016-11-06,51
2016-11-13,59
2016-11-20,48
2016-11-27,57
2016-12-04,56
2016-12-11,56
2016-12-18,51
2016-12-25,49
2017-01-01,54
2017-01-08,57
2017-01-15,58
2017-01-22,61
2017-01-29,59
2017-02-05,59
2017-02-12,56
2017-02-19,60
2017-02-26,59
2017-03-05,61
2017-03-12,57
2017-03-19,59
2017-03-26,59
2017-04-02,59
2017-04-09,57
2017-04-16,57
2017-04-23,63
2017-04-30,61
2017-05-07,58
2017-05-14,58
2017-05-21,57
2017-05-28,56
2017-06-04,57
2017-06-11,55
2017-06-18,60
2017-06-25,60
2017-07-02,56
2017-07-09,60
2017-07-16,63
2017-07-23,60
2017-07-30,56
2017-08-06,59
2017-08-13,56
2017-08-20,55
2017-08-27,54
2017-09-03,53
2017-09-10,55
2017-09-17,60
2017-09-24,63
2017-10-01,69
2017-10-08,67
2017-10-15,66
2017-10-22,63
2017-10-29,58
2017-11-05,59
2017-11-12,100
