Category: All categories

Week,investment: (United States)
2012-11-18,47
2012-11-25,59
2012-12-02,61
2012-12-09,57
2012-12-16,49
2012-12-23,37
2012-12-30,51
2013-01-06,59
2013-01-13,62
2013-01-20,61
2013-01-27,65
2013-02-03,63
2013-02-10,62
2013-02-17,64
2013-02-24,65
2013-03-03,65
2013-03-10,64
2013-03-17,63
2013-03-24,62
2013-03-31,65
2013-04-07,67
2013-04-14,62
2013-04-21,64
2013-04-28,64
2013-05-05,64
2013-05-12,60
2013-05-19,56
2013-05-26,52
2013-06-02,57
2013-06-09,56
2013-06-16,54
2013-06-23,54
2013-06-30,48
2013-07-07,55
2013-07-14,57
2013-07-21,57
2013-07-28,56
2013-08-04,57
2013-08-11,53
2013-08-18,53
2013-08-25,52
2013-09-01,49
2013-09-08,60
2013-09-15,62
2013-09-22,64
2013-09-29,62
2013-10-06,63
2013-10-13,63
2013-10-20,65
2013-10-27,67
2013-11-03,68
2013-11-10,65
2013-11-17,63
2013-11-24,48
2013-12-01,61
2013-12-08,62
2013-12-15,54
2013-12-22,40
2013-12-29,50
2014-01-05,63
2014-01-12,66
2014-01-19,64
2014-01-26,67
2014-02-02,65
2014-02-09,65
2014-02-16,65
2014-02-23,71
2014-03-02,68
2014-03-09,65
2014-03-16,64
2014-03-23,67
2014-03-30,69
2014-04-06,70
2014-04-13,64
2014-04-20,65
2014-04-27,64
2014-05-04,64
2014-05-11,60
2014-05-18,59
2014-05-25,57
2014-06-01,60
2014-06-08,60
2014-06-15,59
2014-06-22,58
2014-06-29,53
2014-07-06,59
2014-07-13,62
2014-07-20,62
2014-07-27,60
2014-08-03,59
2014-08-10,56
2014-08-17,58
2014-08-24,59
2014-08-31,57
2014-09-07,61
2014-09-14,64
2014-09-21,64
2014-09-28,66
2014-10-05,66
2014-10-12,64
2014-10-19,64
2014-10-26,65
2014-11-02,66
2014-11-09,64
2014-11-16,64
2014-11-23,48
2014-11-30,63
2014-12-07,63
2014-12-14,61
2014-12-21,42
2014-12-28,48
2015-01-04,62
2015-01-11,62
2015-01-18,63
2015-01-25,66
2015-02-01,65
2015-02-08,67
2015-02-15,64
2015-02-22,68
2015-03-01,68
2015-03-08,67
2015-03-15,67
2015-03-22,69
2015-03-29,68
2015-04-05,70
2015-04-12,72
2015-04-19,69
2015-04-26,66
2015-05-03,64
2015-05-10,64
2015-05-17,60
2015-05-24,57
2015-05-31,63
2015-06-07,62
2015-06-14,61
2015-06-21,61
2015-06-28,56
2015-07-05,62
2015-07-12,61
2015-07-19,64
2015-07-26,63
2015-08-02,60
2015-08-09,61
2015-08-16,59
2015-08-23,62
2015-08-30,59
2015-09-06,57
2015-09-13,61
2015-09-20,63
2015-09-27,63
2015-10-04,65
2015-10-11,64
2015-10-18,65
2015-10-25,66
2015-11-01,66
2015-11-08,63
2015-11-15,63
2015-11-22,46
2015-11-29,61
2015-12-06,61
2015-12-13,59
2015-12-20,43
2015-12-27,44
2016-01-03,61
2016-01-10,62
2016-01-17,62
2016-01-24,66
2016-01-31,67
2016-02-07,65
2016-02-14,64
2016-02-21,68
2016-02-28,67
2016-03-06,66
2016-03-13,64
2016-03-20,64
2016-03-27,66
2016-04-03,70
2016-04-10,73
2016-04-17,67
2016-04-24,65
2016-05-01,65
2016-05-08,63
2016-05-15,60
2016-05-22,56
2016-05-29,54
2016-06-05,57
2016-06-12,55
2016-06-19,55
2016-06-26,56
2016-07-03,53
2016-07-10,57
2016-07-17,58
2016-07-24,56
2016-07-31,57
2016-08-07,54
2016-08-14,51
2016-08-21,56
2016-08-28,54
2016-09-04,56
2016-09-11,61
2016-09-18,60
2016-09-25,61
2016-10-02,61
2016-10-09,61
2016-10-16,61
2016-10-23,64
2016-10-30,62
2016-11-06,58
2016-11-13,65
2016-11-20,49
2016-11-27,63
2016-12-04,66
2016-12-11,63
2016-12-18,50
2016-12-25,44
2017-01-01,56
2017-01-08,62
2017-01-15,62
2017-01-22,70
2017-01-29,71
2017-02-05,70
2017-02-12,72
2017-02-19,70
2017-02-26,73
2017-03-05,75
2017-03-12,67
2017-03-19,68
2017-03-26,70
2017-04-02,71
2017-04-09,69
2017-04-16,71
2017-04-23,72
2017-04-30,70
2017-05-07,66
2017-05-14,59
2017-05-21,61
2017-05-28,56
2017-06-04,61
2017-06-11,58
2017-06-18,60
2017-06-25,59
2017-07-02,55
2017-07-09,65
2017-07-16,63
2017-07-23,63
2017-07-30,63
2017-08-06,60
2017-08-13,57
2017-08-20,55
2017-08-27,58
2017-09-03,57
2017-09-10,64
2017-09-17,67
2017-09-24,66
2017-10-01,66
2017-10-08,69
2017-10-15,70
2017-10-22,69
2017-10-29,69
2017-11-05,67
2017-11-12,100
