Category: All categories

Week,hedge: (United States)
2012-11-18,39
2012-11-25,41
2012-12-02,42
2012-12-09,39
2012-12-16,36
2012-12-23,32
2012-12-30,36
2013-01-06,39
2013-01-13,40
2013-01-20,38
2013-01-27,41
2013-02-03,40
2013-02-10,42
2013-02-17,48
2013-02-24,42
2013-03-03,43
2013-03-10,44
2013-03-17,47
2013-03-24,46
2013-03-31,47
2013-04-07,50
2013-04-14,52
2013-04-21,49
2013-04-28,55
2013-05-05,54
2013-05-12,56
2013-05-19,53
2013-05-26,53
2013-06-02,53
2013-06-09,51
2013-06-16,51
2013-06-23,49
2013-06-30,44
2013-07-07,54
2013-07-14,53
2013-07-21,53
2013-07-28,48
2013-08-04,50
2013-08-11,47
2013-08-18,47
2013-08-25,44
2013-09-01,45
2013-09-08,47
2013-09-15,45
2013-09-22,46
2013-09-29,45
2013-10-06,48
2013-10-13,48
2013-10-20,45
2013-10-27,50
2013-11-03,43
2013-11-10,44
2013-11-17,41
2013-11-24,33
2013-12-01,39
2013-12-08,39
2013-12-15,39
2013-12-22,32
2013-12-29,35
2014-01-05,51
2014-01-12,40
2014-01-19,41
2014-01-26,42
2014-02-02,42
2014-02-09,40
2014-02-16,43
2014-02-23,44
2014-03-02,43
2014-03-09,47
2014-03-16,46
2014-03-23,45
2014-03-30,46
2014-04-06,50
2014-04-13,51
2014-04-20,49
2014-04-27,48
2014-05-04,58
2014-05-11,53
2014-05-18,54
2014-05-25,50
2014-06-01,53
2014-06-08,53
2014-06-15,51
2014-06-22,49
2014-06-29,49
2014-07-06,51
2014-07-13,53
2014-07-20,54
2014-07-27,53
2014-08-03,54
2014-08-10,49
2014-08-17,52
2014-08-24,47
2014-08-31,47
2014-09-07,47
2014-09-14,51
2014-09-21,50
2014-09-28,50
2014-10-05,49
2014-10-12,50
2014-10-19,48
2014-10-26,47
2014-11-02,42
2014-11-09,42
2014-11-16,42
2014-11-23,34
2014-11-30,39
2014-12-07,39
2014-12-14,44
2014-12-21,37
2014-12-28,37
2015-01-04,60
2015-01-11,45
2015-01-18,47
2015-01-25,44
2015-02-01,42
2015-02-08,44
2015-02-15,41
2015-02-22,46
2015-03-01,44
2015-03-08,46
2015-03-15,49
2015-03-22,46
2015-03-29,49
2015-04-05,47
2015-04-12,51
2015-04-19,51
2015-04-26,51
2015-05-03,56
2015-05-10,50
2015-05-17,54
2015-05-24,53
2015-05-31,54
2015-06-07,54
2015-06-14,53
2015-06-21,51
2015-06-28,55
2015-07-05,62
2015-07-12,54
2015-07-19,55
2015-07-26,52
2015-08-02,51
2015-08-09,52
2015-08-16,54
2015-08-23,62
2015-08-30,56
2015-09-06,53
2015-09-13,59
2015-09-20,71
2015-09-27,60
2015-10-04,52
2015-10-11,50
2015-10-18,51
2015-10-25,50
2015-11-01,50
2015-11-08,47
2015-11-15,44
2015-11-22,45
2015-11-29,45
2015-12-06,45
2015-12-13,49
2015-12-20,41
2015-12-27,42
2016-01-03,49
2016-01-10,59
2016-01-17,51
2016-01-24,49
2016-01-31,55
2016-02-07,54
2016-02-14,52
2016-02-21,54
2016-02-28,51
2016-03-06,53
2016-03-13,53
2016-03-20,53
2016-03-27,54
2016-04-03,56
2016-04-10,57
2016-04-17,58
2016-04-24,58
2016-05-01,61
2016-05-08,64
2016-05-15,62
2016-05-22,64
2016-05-29,58
2016-06-05,60
2016-06-12,58
2016-06-19,63
2016-06-26,58
2016-07-03,56
2016-07-10,57
2016-07-17,59
2016-07-24,60
2016-07-31,57
2016-08-07,50
2016-08-14,52
2016-08-21,53
2016-08-28,52
2016-09-04,55
2016-09-11,54
2016-09-18,54
2016-09-25,55
2016-10-02,53
2016-10-09,56
2016-10-16,55
2016-10-23,55
2016-10-30,61
2016-11-06,57
2016-11-13,54
2016-11-20,44
2016-11-27,48
2016-12-04,45
2016-12-11,48
2016-12-18,47
2016-12-25,40
2017-01-01,44
2017-01-08,44
2017-01-15,46
2017-01-22,48
2017-01-29,49
2017-02-05,51
2017-02-12,50
2017-02-19,52
2017-02-26,53
2017-03-05,54
2017-03-12,49
2017-03-19,55
2017-03-26,61
2017-04-02,59
2017-04-09,59
2017-04-16,59
2017-04-23,60
2017-04-30,60
2017-05-07,62
2017-05-14,60
2017-05-21,59
2017-05-28,65
2017-06-04,59
2017-06-11,58
2017-06-18,58
2017-06-25,59
2017-07-02,56
2017-07-09,57
2017-07-16,58
2017-07-23,59
2017-07-30,61
2017-08-06,56
2017-08-13,55
2017-08-20,52
2017-08-27,52
2017-09-03,51
2017-09-10,53
2017-09-17,56
2017-09-24,58
2017-10-01,57
2017-10-08,55
2017-10-15,55
2017-10-22,54
2017-10-29,53
2017-11-05,52
2017-11-12,100
