Category: All categories

Week,restaurant: (United States)
2012-11-18,31
2012-11-25,30
2012-12-02,32
2012-12-09,31
2012-12-16,33
2012-12-23,38
2012-12-30,38
2013-01-06,34
2013-01-13,36
2013-01-20,37
2013-01-27,35
2013-02-03,33
2013-02-10,39
2013-02-17,35
2013-02-24,34
2013-03-03,35
2013-03-10,36
2013-03-17,35
2013-03-24,35
2013-03-31,33
2013-04-07,34
2013-04-14,33
2013-04-21,35
2013-04-28,34
2013-05-05,37
2013-05-12,37
2013-05-19,35
2013-05-26,36
2013-06-02,35
2013-06-09,36
2013-06-16,37
2013-06-23,36
2013-06-30,37
2013-07-07,37
2013-07-14,39
2013-07-21,40
2013-07-28,39
2013-08-04,39
2013-08-11,38
2013-08-18,38
2013-08-25,34
2013-09-01,35
2013-09-08,33
2013-09-15,34
2013-09-22,34
2013-09-29,33
2013-10-06,33
2013-10-13,35
2013-10-20,34
2013-10-27,33
2013-11-03,35
2013-11-10,35
2013-11-17,33
2013-11-24,31
2013-12-01,30
2013-12-08,31
2013-12-15,34
2013-12-22,39
2013-12-29,39
2014-01-05,34
2014-01-12,38
2014-01-19,37
2014-01-26,35
2014-02-02,33
2014-02-09,40
2014-02-16,38
2014-02-23,36
2014-03-02,36
2014-03-09,35
2014-03-16,36
2014-03-23,36
2014-03-30,35
2014-04-06,35
2014-04-13,36
2014-04-20,35
2014-04-27,35
2014-05-04,39
2014-05-11,38
2014-05-18,35
2014-05-25,36
2014-06-01,36
2014-06-08,36
2014-06-15,37
2014-06-22,36
2014-06-29,37
2014-07-06,38
2014-07-13,39
2014-07-20,41
2014-07-27,40
2014-08-03,40
2014-08-10,39
2014-08-17,38
2014-08-24,35
2014-08-31,35
2014-09-07,33
2014-09-14,34
2014-09-21,34
2014-09-28,33
2014-10-05,34
2014-10-12,34
2014-10-19,34
2014-10-26,31
2014-11-02,34
2014-11-09,35
2014-11-16,33
2014-11-23,31
2014-11-30,31
2014-12-07,33
2014-12-14,34
2014-12-21,40
2014-12-28,43
2015-01-04,34
2015-01-11,37
2015-01-18,38
2015-01-25,35
2015-02-01,35
2015-02-08,41
2015-02-15,38
2015-02-22,36
2015-03-01,36
2015-03-08,38
2015-03-15,37
2015-03-22,36
2015-03-29,36
2015-04-05,36
2015-04-12,34
2015-04-19,36
2015-04-26,34
2015-05-03,38
2015-05-10,37
2015-05-17,36
2015-05-24,36
2015-05-31,36
2015-06-07,37
2015-06-14,38
2015-06-21,39
2015-06-28,38
2015-07-05,39
2015-07-12,41
2015-07-19,43
2015-07-26,42
2015-08-02,41
2015-08-09,41
2015-08-16,40
2015-08-23,38
2015-08-30,37
2015-09-06,36
2015-09-13,34
2015-09-20,34
2015-09-27,34
2015-10-04,34
2015-10-11,35
2015-10-18,34
2015-10-25,32
2015-11-01,35
2015-11-08,35
2015-11-15,33
2015-11-22,32
2015-11-29,31
2015-12-06,33
2015-12-13,34
2015-12-20,39
2015-12-27,46
2016-01-03,40
2016-01-10,40
2016-01-17,42
2016-01-24,41
2016-01-31,42
2016-02-07,44
2016-02-14,46
2016-02-21,42
2016-02-28,42
2016-03-06,43
2016-03-13,42
2016-03-20,44
2016-03-27,44
2016-04-03,43
2016-04-10,42
2016-04-17,42
2016-04-24,41
2016-05-01,46
2016-05-08,46
2016-05-15,44
2016-05-22,43
2016-05-29,45
2016-06-05,43
2016-06-12,46
2016-06-19,47
2016-06-26,44
2016-07-03,47
2016-07-10,47
2016-07-17,48
2016-07-24,48
2016-07-31,47
2016-08-07,44
2016-08-14,45
2016-08-21,43
2016-08-28,41
2016-09-04,42
2016-09-11,40
2016-09-18,39
2016-09-25,39
2016-10-02,38
2016-10-09,40
2016-10-16,40
2016-10-23,38
2016-10-30,38
2016-11-06,36
2016-11-13,39
2016-11-20,39
2016-11-27,37
2016-12-04,38
2016-12-11,38
2016-12-18,43
2016-12-25,49
2017-01-01,42
2017-01-08,41
2017-01-15,43
2017-01-22,43
2017-01-29,43
2017-02-05,40
2017-02-12,46
2017-02-19,44
2017-02-26,41
2017-03-05,44
2017-03-12,42
2017-03-19,43
2017-03-26,42
2017-04-02,43
2017-04-09,45
2017-04-16,43
2017-04-23,42
2017-04-30,44
2017-05-07,47
2017-05-14,46
2017-05-21,44
2017-05-28,46
2017-06-04,45
2017-06-11,48
2017-06-18,48
2017-06-25,47
2017-07-02,52
2017-07-09,49
2017-07-16,50
2017-07-23,50
2017-07-30,51
2017-08-06,50
2017-08-13,48
2017-08-20,43
2017-08-27,41
2017-09-03,40
2017-09-10,40
2017-09-17,41
2017-09-24,42
2017-10-01,42
2017-10-08,43
2017-10-15,43
2017-10-22,41
2017-10-29,40
2017-11-05,42
2017-11-12,100
