Category: All categories

Week,portfolio: (United States)
2012-11-18,59
2012-11-25,75
2012-12-02,82
2012-12-09,74
2012-12-16,61
2012-12-23,47
2012-12-30,57
2013-01-06,70
2013-01-13,70
2013-01-20,67
2013-01-27,73
2013-02-03,67
2013-02-10,67
2013-02-17,69
2013-02-24,73
2013-03-03,73
2013-03-10,72
2013-03-17,70
2013-03-24,67
2013-03-31,70
2013-04-07,75
2013-04-14,74
2013-04-21,79
2013-04-28,78
2013-05-05,79
2013-05-12,74
2013-05-19,68
2013-05-26,62
2013-06-02,66
2013-06-09,64
2013-06-16,62
2013-06-23,61
2013-06-30,52
2013-07-07,62
2013-07-14,63
2013-07-21,63
2013-07-28,67
2013-08-04,64
2013-08-11,62
2013-08-18,63
2013-08-25,62
2013-09-01,60
2013-09-08,69
2013-09-15,69
2013-09-22,66
2013-09-29,68
2013-10-06,71
2013-10-13,72
2013-10-20,72
2013-10-27,70
2013-11-03,75
2013-11-10,75
2013-11-17,75
2013-11-24,61
2013-12-01,75
2013-12-08,76
2013-12-15,66
2013-12-22,47
2013-12-29,56
2014-01-05,70
2014-01-12,73
2014-01-19,67
2014-01-26,72
2014-02-02,70
2014-02-09,73
2014-02-16,69
2014-02-23,77
2014-03-02,73
2014-03-09,69
2014-03-16,71
2014-03-23,73
2014-03-30,74
2014-04-06,73
2014-04-13,71
2014-04-20,74
2014-04-27,79
2014-05-04,77
2014-05-11,71
2014-05-18,68
2014-05-25,64
2014-06-01,68
2014-06-08,65
2014-06-15,64
2014-06-22,59
2014-06-29,59
2014-07-06,62
2014-07-13,63
2014-07-20,65
2014-07-27,65
2014-08-03,65
2014-08-10,60
2014-08-17,66
2014-08-24,65
2014-08-31,62
2014-09-07,67
2014-09-14,68
2014-09-21,70
2014-09-28,69
2014-10-05,71
2014-10-12,69
2014-10-19,70
2014-10-26,68
2014-11-02,72
2014-11-09,74
2014-11-16,73
2014-11-23,61
2014-11-30,79
2014-12-07,77
2014-12-14,65
2014-12-21,47
2014-12-28,52
2015-01-04,67
2015-01-11,72
2015-01-18,68
2015-01-25,70
2015-02-01,69
2015-02-08,71
2015-02-15,69
2015-02-22,74
2015-03-01,73
2015-03-08,70
2015-03-15,73
2015-03-22,71
2015-03-29,75
2015-04-05,74
2015-04-12,76
2015-04-19,77
2015-04-26,79
2015-05-03,78
2015-05-10,71
2015-05-17,70
2015-05-24,60
2015-05-31,65
2015-06-07,64
2015-06-14,60
2015-06-21,61
2015-06-28,56
2015-07-05,62
2015-07-12,61
2015-07-19,66
2015-07-26,63
2015-08-02,64
2015-08-09,66
2015-08-16,64
2015-08-23,68
2015-08-30,64
2015-09-06,61
2015-09-13,65
2015-09-20,65
2015-09-27,68
2015-10-04,69
2015-10-11,68
2015-10-18,70
2015-10-25,70
2015-11-01,72
2015-11-08,72
2015-11-15,72
2015-11-22,54
2015-11-29,73
2015-12-06,75
2015-12-13,66
2015-12-20,46
2015-12-27,50
2016-01-03,67
2016-01-10,68
2016-01-17,66
2016-01-24,72
2016-01-31,68
2016-02-07,69
2016-02-14,67
2016-02-21,70
2016-02-28,69
2016-03-06,68
2016-03-13,66
2016-03-20,66
2016-03-27,71
2016-04-03,75
2016-04-10,75
2016-04-17,71
2016-04-24,74
2016-05-01,75
2016-05-08,70
2016-05-15,65
2016-05-22,61
2016-05-29,55
2016-06-05,58
2016-06-12,58
2016-06-19,57
2016-06-26,58
2016-07-03,51
2016-07-10,59
2016-07-17,57
2016-07-24,55
2016-07-31,59
2016-08-07,59
2016-08-14,57
2016-08-21,62
2016-08-28,57
2016-09-04,60
2016-09-11,63
2016-09-18,60
2016-09-25,61
2016-10-02,61
2016-10-09,65
2016-10-16,68
2016-10-23,66
2016-10-30,64
2016-11-06,60
2016-11-13,71
2016-11-20,54
2016-11-27,73
2016-12-04,79
2016-12-11,71
2016-12-18,54
2016-12-25,47
2017-01-01,64
2017-01-08,70
2017-01-15,67
2017-01-22,71
2017-01-29,76
2017-02-05,69
2017-02-12,75
2017-02-19,73
2017-02-26,75
2017-03-05,78
2017-03-12,71
2017-03-19,72
2017-03-26,75
2017-04-02,77
2017-04-09,74
2017-04-16,80
2017-04-23,89
2017-04-30,89
2017-05-07,75
2017-05-14,66
2017-05-21,64
2017-05-28,59
2017-06-04,64
2017-06-11,62
2017-06-18,60
2017-06-25,59
2017-07-02,55
2017-07-09,63
2017-07-16,65
2017-07-23,64
2017-07-30,65
2017-08-06,62
2017-08-13,62
2017-08-20,58
2017-08-27,62
2017-09-03,59
2017-09-10,65
2017-09-17,67
2017-09-24,68
2017-10-01,68
2017-10-08,72
2017-10-15,75
2017-10-22,71
2017-10-29,76
2017-11-05,73
2017-11-12,100
