Category: All categories

Week,inflation: (United States)
2012-11-18,50
2012-11-25,57
2012-12-02,63
2012-12-09,61
2012-12-16,45
2012-12-23,36
2012-12-30,43
2013-01-06,48
2013-01-13,53
2013-01-20,51
2013-01-27,56
2013-02-03,55
2013-02-10,61
2013-02-17,61
2013-02-24,61
2013-03-03,62
2013-03-10,58
2013-03-17,58
2013-03-24,54
2013-03-31,59
2013-04-07,63
2013-04-14,61
2013-04-21,66
2013-04-28,70
2013-05-05,60
2013-05-12,57
2013-05-19,48
2013-05-26,47
2013-06-02,47
2013-06-09,44
2013-06-16,44
2013-06-23,41
2013-06-30,37
2013-07-07,41
2013-07-14,43
2013-07-21,42
2013-07-28,43
2013-08-04,41
2013-08-11,42
2013-08-18,41
2013-08-25,43
2013-09-01,46
2013-09-08,48
2013-09-15,56
2013-09-22,58
2013-09-29,55
2013-10-06,58
2013-10-13,59
2013-10-20,58
2013-10-27,65
2013-11-03,60
2013-11-10,64
2013-11-17,65
2013-11-24,52
2013-12-01,68
2013-12-08,66
2013-12-15,60
2013-12-22,41
2013-12-29,42
2014-01-05,47
2014-01-12,57
2014-01-19,52
2014-01-26,61
2014-02-02,56
2014-02-09,59
2014-02-16,63
2014-02-23,65
2014-03-02,61
2014-03-09,59
2014-03-16,76
2014-03-23,64
2014-03-30,66
2014-04-06,66
2014-04-13,67
2014-04-20,70
2014-04-27,73
2014-05-04,70
2014-05-11,68
2014-05-18,60
2014-05-25,57
2014-06-01,57
2014-06-08,50
2014-06-15,50
2014-06-22,49
2014-06-29,46
2014-07-06,48
2014-07-13,50
2014-07-20,51
2014-07-27,47
2014-08-03,45
2014-08-10,44
2014-08-17,49
2014-08-24,49
2014-08-31,52
2014-09-07,58
2014-09-14,60
2014-09-21,61
2014-09-28,61
2014-10-05,63
2014-10-12,63
2014-10-19,66
2014-10-26,67
2014-11-02,66
2014-11-09,66
2014-11-16,64
2014-11-23,51
2014-11-30,69
2014-12-07,71
2014-12-14,61
2014-12-21,42
2014-12-28,42
2015-01-04,53
2015-01-11,60
2015-01-18,72
2015-01-25,65
2015-02-01,64
2015-02-08,66
2015-02-15,61
2015-02-22,69
2015-03-01,66
2015-03-08,64
2015-03-15,65
2015-03-22,65
2015-03-29,64
2015-04-05,66
2015-04-12,74
2015-04-19,74
2015-04-26,70
2015-05-03,71
2015-05-10,70
2015-05-17,61
2015-05-24,56
2015-05-31,54
2015-06-07,52
2015-06-14,51
2015-06-21,48
2015-06-28,47
2015-07-05,47
2015-07-12,49
2015-07-19,54
2015-07-26,49
2015-08-02,46
2015-08-09,46
2015-08-16,49
2015-08-23,53
2015-08-30,57
2015-09-06,56
2015-09-13,65
2015-09-20,64
2015-09-27,65
2015-10-04,66
2015-10-11,68
2015-10-18,65
2015-10-25,69
2015-11-01,68
2015-11-08,70
2015-11-15,69
2015-11-22,56
2015-11-29,70
2015-12-06,77
2015-12-13,74
2015-12-20,50
2015-12-27,45
2016-01-03,53
2016-01-10,54
2016-01-17,56
2016-01-24,59
2016-01-31,62
2016-02-07,62
2016-02-14,63
2016-02-21,68
2016-02-28,67
2016-03-06,63
2016-03-13,59
2016-03-20,57
2016-03-27,66
2016-04-03,70
2016-04-10,70
2016-04-17,71
2016-04-24,70
2016-05-01,70
2016-05-08,64
2016-05-15,60
2016-05-22,55
2016-05-29,47
2016-06-05,48
2016-06-12,46
2016-06-19,45
2016-06-26,44
2016-07-03,42
2016-07-10,43
2016-07-17,43
2016-07-24,42
2016-07-31,41
2016-08-07,37
2016-08-14,40
2016-08-21,43
2016-08-28,46
2016-09-04,48
2016-09-11,54
2016-09-18,57
2016-09-25,58
2016-10-02,58
2016-10-09,56
2016-10-16,61
2016-10-23,64
2016-10-30,61
2016-11-06,60
2016-11-13,71
2016-11-20,56
2016-11-27,68
2016-12-04,73
2016-12-11,72
2016-12-18,49
2016-12-25,41
2017-01-01,49
2017-01-08,54
2017-01-15,57
2017-01-22,59
2017-01-29,63
2017-02-05,60
2017-02-12,67
2017-02-19,64
2017-02-26,69
2017-03-05,66
2017-03-12,64
2017-03-19,66
2017-03-26,63
2017-04-02,65
2017-04-09,64
2017-04-16,67
2017-04-23,75
2017-04-30,74
2017-05-07,68
2017-05-14,56
2017-05-21,54
2017-05-28,49
2017-06-04,45
2017-06-11,45
2017-06-18,45
2017-06-25,45
2017-07-02,44
2017-07-09,47
2017-07-16,44
2017-07-23,44
2017-07-30,45
2017-08-06,43
2017-08-13,39
2017-08-20,40
2017-08-27,46
2017-09-03,48
2017-09-10,54
2017-09-17,58
2017-09-24,60
2017-10-01,61
2017-10-08,63
2017-10-15,64
2017-10-22,66
2017-10-29,65
2017-11-05,64
2017-11-12,100
