Category: All categories

Week,housing: (United States)
2012-11-18,50
2012-11-25,64
2012-12-02,65
2012-12-09,60
2012-12-16,51
2012-12-23,47
2012-12-30,62
2013-01-06,72
2013-01-13,70
2013-01-20,72
2013-01-27,73
2013-02-03,71
2013-02-10,69
2013-02-17,72
2013-02-24,75
2013-03-03,77
2013-03-10,75
2013-03-17,75
2013-03-24,75
2013-03-31,80
2013-04-07,80
2013-04-14,79
2013-04-21,82
2013-04-28,84
2013-05-05,76
2013-05-12,75
2013-05-19,73
2013-05-26,76
2013-06-02,78
2013-06-09,75
2013-06-16,75
2013-06-23,76
2013-06-30,69
2013-07-07,80
2013-07-14,77
2013-07-21,80
2013-07-28,82
2013-08-04,80
2013-08-11,81
2013-08-18,80
2013-08-25,73
2013-09-01,68
2013-09-08,69
2013-09-15,68
2013-09-22,68
2013-09-29,67
2013-10-06,66
2013-10-13,65
2013-10-20,66
2013-10-27,65
2013-11-03,68
2013-11-10,66
2013-11-17,65
2013-11-24,49
2013-12-01,64
2013-12-08,61
2013-12-15,58
2013-12-22,47
2013-12-29,60
2014-01-05,74
2014-01-12,76
2014-01-19,72
2014-01-26,74
2014-02-02,73
2014-02-09,69
2014-02-16,73
2014-02-23,77
2014-03-02,77
2014-03-09,75
2014-03-16,78
2014-03-23,81
2014-03-30,85
2014-04-06,84
2014-04-13,81
2014-04-20,84
2014-04-27,87
2014-05-04,83
2014-05-11,82
2014-05-18,79
2014-05-25,75
2014-06-01,84
2014-06-08,77
2014-06-15,78
2014-06-22,78
2014-06-29,73
2014-07-06,84
2014-07-13,83
2014-07-20,84
2014-07-27,83
2014-08-03,82
2014-08-10,80
2014-08-17,83
2014-08-24,76
2014-08-31,70
2014-09-07,70
2014-09-14,72
2014-09-21,72
2014-09-28,70
2014-10-05,70
2014-10-12,66
2014-10-19,70
2014-10-26,70
2014-11-02,69
2014-11-09,67
2014-11-16,67
2014-11-23,51
2014-11-30,65
2014-12-07,65
2014-12-14,61
2014-12-21,46
2014-12-28,58
2015-01-04,78
2015-01-11,75
2015-01-18,75
2015-01-25,78
2015-02-01,77
2015-02-08,70
2015-02-15,72
2015-02-22,77
2015-03-01,77
2015-03-08,79
2015-03-15,79
2015-03-22,83
2015-03-29,84
2015-04-05,86
2015-04-12,85
2015-04-19,86
2015-04-26,88
2015-05-03,84
2015-05-10,81
2015-05-17,81
2015-05-24,77
2015-05-31,81
2015-06-07,81
2015-06-14,80
2015-06-21,81
2015-06-28,80
2015-07-05,87
2015-07-12,84
2015-07-19,88
2015-07-26,87
2015-08-02,87
2015-08-09,86
2015-08-16,88
2015-08-23,83
2015-08-30,76
2015-09-06,70
2015-09-13,72
2015-09-20,72
2015-09-27,73
2015-10-04,73
2015-10-11,70
2015-10-18,71
2015-10-25,68
2015-11-01,72
2015-11-08,68
2015-11-15,69
2015-11-22,51
2015-11-29,67
2015-12-06,65
2015-12-13,62
2015-12-20,49
2015-12-27,61
2016-01-03,80
2016-01-10,75
2016-01-17,76
2016-01-24,80
2016-01-31,79
2016-02-07,77
2016-02-14,76
2016-02-21,81
2016-02-28,82
2016-03-06,79
2016-03-13,79
2016-03-20,83
2016-03-27,89
2016-04-03,91
2016-04-10,89
2016-04-17,86
2016-04-24,85
2016-05-01,87
2016-05-08,82
2016-05-15,82
2016-05-22,80
2016-05-29,77
2016-06-05,81
2016-06-12,77
2016-06-19,79
2016-06-26,79
2016-07-03,76
2016-07-10,81
2016-07-17,82
2016-07-24,82
2016-07-31,84
2016-08-07,80
2016-08-14,82
2016-08-21,80
2016-08-28,76
2016-09-04,70
2016-09-11,72
2016-09-18,72
2016-09-25,71
2016-10-02,69
2016-10-09,69
2016-10-16,69
2016-10-23,70
2016-10-30,72
2016-11-06,65
2016-11-13,73
2016-11-20,53
2016-11-27,72
2016-12-04,72
2016-12-11,64
2016-12-18,56
2016-12-25,57
2017-01-01,71
2017-01-08,80
2017-01-15,77
2017-01-22,79
2017-01-29,83
2017-02-05,78
2017-02-12,76
2017-02-19,78
2017-02-26,83
2017-03-05,85
2017-03-12,80
2017-03-19,83
2017-03-26,86
2017-04-02,86
2017-04-09,85
2017-04-16,88
2017-04-23,87
2017-04-30,89
2017-05-07,83
2017-05-14,78
2017-05-21,79
2017-05-28,77
2017-06-04,80
2017-06-11,81
2017-06-18,83
2017-06-25,80
2017-07-02,76
2017-07-09,84
2017-07-16,85
2017-07-23,83
2017-07-30,83
2017-08-06,84
2017-08-13,82
2017-08-20,78
2017-08-27,76
2017-09-03,68
2017-09-10,71
2017-09-17,74
2017-09-24,73
2017-10-01,71
2017-10-08,74
2017-10-15,73
2017-10-22,72
2017-10-29,72
2017-11-05,73
2017-11-12,100
