Category: All categories

Week,revenue: (United States)
2012-11-18,37
2012-11-25,49
2012-12-02,49
2012-12-09,47
2012-12-16,42
2012-12-23,29
2012-12-30,41
2013-01-06,51
2013-01-13,57
2013-01-20,58
2013-01-27,75
2013-02-03,87
2013-02-10,87
2013-02-17,84
2013-02-24,82
2013-03-03,77
2013-03-10,77
2013-03-17,71
2013-03-24,69
2013-03-31,74
2013-04-07,92
2013-04-14,91
2013-04-21,61
2013-04-28,59
2013-05-05,52
2013-05-12,53
2013-05-19,47
2013-05-26,43
2013-06-02,46
2013-06-09,47
2013-06-16,46
2013-06-23,44
2013-06-30,36
2013-07-07,45
2013-07-14,47
2013-07-21,45
2013-07-28,46
2013-08-04,41
2013-08-11,41
2013-08-18,41
2013-08-25,41
2013-09-01,40
2013-09-08,50
2013-09-15,51
2013-09-22,50
2013-09-29,50
2013-10-06,52
2013-10-13,54
2013-10-20,51
2013-10-27,51
2013-11-03,48
2013-11-10,47
2013-11-17,49
2013-11-24,33
2013-12-01,46
2013-12-08,46
2013-12-15,44
2013-12-22,26
2013-12-29,35
2014-01-05,48
2014-01-12,58
2014-01-19,54
2014-01-26,67
2014-02-02,85
2014-02-09,83
2014-02-16,82
2014-02-23,80
2014-03-02,71
2014-03-09,72
2014-03-16,69
2014-03-23,69
2014-03-30,72
2014-04-06,82
2014-04-13,96
2014-04-20,63
2014-04-27,61
2014-05-04,53
2014-05-11,53
2014-05-18,49
2014-05-25,45
2014-06-01,49
2014-06-08,50
2014-06-15,51
2014-06-22,46
2014-06-29,40
2014-07-06,47
2014-07-13,51
2014-07-20,51
2014-07-27,48
2014-08-03,44
2014-08-10,43
2014-08-17,45
2014-08-24,44
2014-08-31,42
2014-09-07,52
2014-09-14,56
2014-09-21,51
2014-09-28,52
2014-10-05,54
2014-10-12,55
2014-10-19,52
2014-10-26,52
2014-11-02,51
2014-11-09,50
2014-11-16,50
2014-11-23,35
2014-11-30,49
2014-12-07,50
2014-12-14,46
2014-12-21,27
2014-12-28,35
2015-01-04,47
2015-01-11,54
2015-01-18,60
2015-01-25,71
2015-02-01,76
2015-02-08,77
2015-02-15,76
2015-02-22,78
2015-03-01,76
2015-03-08,74
2015-03-15,71
2015-03-22,70
2015-03-29,71
2015-04-05,79
2015-04-12,100
2015-04-19,64
2015-04-26,62
2015-05-03,57
2015-05-10,54
2015-05-17,51
2015-05-24,45
2015-05-31,50
2015-06-07,50
2015-06-14,50
2015-06-21,47
2015-06-28,44
2015-07-05,49
2015-07-12,50
2015-07-19,52
2015-07-26,49
2015-08-02,45
2015-08-09,46
2015-08-16,46
2015-08-23,45
2015-08-30,47
2015-09-06,47
2015-09-13,54
2015-09-20,53
2015-09-27,54
2015-10-04,55
2015-10-11,56
2015-10-18,55
2015-10-25,55
2015-11-01,51
2015-11-08,50
2015-11-15,53
2015-11-22,36
2015-11-29,49
2015-12-06,50
2015-12-13,48
2015-12-20,32
2015-12-27,33
2016-01-03,44
2016-01-10,47
2016-01-17,52
2016-01-24,62
2016-01-31,69
2016-02-07,69
2016-02-14,69
2016-02-21,70
2016-02-28,67
2016-03-06,64
2016-03-13,61
2016-03-20,59
2016-03-27,64
2016-04-03,67
2016-04-10,78
2016-04-17,69
2016-04-24,58
2016-05-01,53
2016-05-08,51
2016-05-15,49
2016-05-22,44
2016-05-29,40
2016-06-05,45
2016-06-12,46
2016-06-19,43
2016-06-26,42
2016-07-03,38
2016-07-10,45
2016-07-17,45
2016-07-24,43
2016-07-31,41
2016-08-07,38
2016-08-14,37
2016-08-21,40
2016-08-28,42
2016-09-04,42
2016-09-11,50
2016-09-18,48
2016-09-25,48
2016-10-02,47
2016-10-09,48
2016-10-16,50
2016-10-23,49
2016-10-30,48
2016-11-06,43
2016-11-13,48
2016-11-20,34
2016-11-27,48
2016-12-04,48
2016-12-11,46
2016-12-18,34
2016-12-25,29
2017-01-01,39
2017-01-08,48
2017-01-15,51
2017-01-22,60
2017-01-29,66
2017-02-05,65
2017-02-12,69
2017-02-19,69
2017-02-26,67
2017-03-05,66
2017-03-12,64
2017-03-19,64
2017-03-26,64
2017-04-02,66
2017-04-09,74
2017-04-16,77
2017-04-23,63
2017-04-30,59
2017-05-07,53
2017-05-14,49
2017-05-21,45
2017-05-28,41
2017-06-04,45
2017-06-11,47
2017-06-18,46
2017-06-25,44
2017-07-02,38
2017-07-09,47
2017-07-16,48
2017-07-23,47
2017-07-30,46
2017-08-06,43
2017-08-13,42
2017-08-20,39
2017-08-27,43
2017-09-03,40
2017-09-10,49
2017-09-17,51
2017-09-24,53
2017-10-01,50
2017-10-08,53
2017-10-15,56
2017-10-22,52
2017-10-29,53
2017-11-05,50
2017-11-12,59
