Category: All categories

Week,economics: (United States)
2012-11-18,57
2012-11-25,77
2012-12-02,82
2012-12-09,82
2012-12-16,57
2012-12-23,32
2012-12-30,44
2013-01-06,71
2013-01-13,79
2013-01-20,76
2013-01-27,83
2013-02-03,75
2013-02-10,76
2013-02-17,75
2013-02-24,78
2013-03-03,77
2013-03-10,69
2013-03-17,70
2013-03-24,64
2013-03-31,74
2013-04-07,78
2013-04-14,73
2013-04-21,77
2013-04-28,80
2013-05-05,76
2013-05-12,71
2013-05-19,57
2013-05-26,50
2013-06-02,50
2013-06-09,45
2013-06-16,42
2013-06-23,40
2013-06-30,35
2013-07-07,42
2013-07-14,40
2013-07-21,42
2013-07-28,40
2013-08-04,41
2013-08-11,46
2013-08-18,56
2013-08-25,73
2013-09-01,77
2013-09-08,82
2013-09-15,81
2013-09-22,80
2013-09-29,78
2013-10-06,81
2013-10-13,84
2013-10-20,80
2013-10-27,81
2013-11-03,81
2013-11-10,77
2013-11-17,79
2013-11-24,51
2013-12-01,76
2013-12-08,83
2013-12-15,66
2013-12-22,29
2013-12-29,38
2014-01-05,66
2014-01-12,80
2014-01-19,74
2014-01-26,82
2014-02-02,79
2014-02-09,76
2014-02-16,75
2014-02-23,79
2014-03-02,72
2014-03-09,65
2014-03-16,69
2014-03-23,72
2014-03-30,74
2014-04-06,75
2014-04-13,70
2014-04-20,72
2014-04-27,79
2014-05-04,78
2014-05-11,74
2014-05-18,63
2014-05-25,54
2014-06-01,53
2014-06-08,49
2014-06-15,42
2014-06-22,42
2014-06-29,38
2014-07-06,41
2014-07-13,41
2014-07-20,42
2014-07-27,39
2014-08-03,44
2014-08-10,46
2014-08-17,60
2014-08-24,79
2014-08-31,82
2014-09-07,84
2014-09-14,84
2014-09-21,83
2014-09-28,83
2014-10-05,80
2014-10-12,80
2014-10-19,79
2014-10-26,83
2014-11-02,81
2014-11-09,78
2014-11-16,76
2014-11-23,52
2014-11-30,77
2014-12-07,86
2014-12-14,71
2014-12-21,32
2014-12-28,31
2015-01-04,67
2015-01-11,80
2015-01-18,82
2015-01-25,89
2015-02-01,84
2015-02-08,79
2015-02-15,71
2015-02-22,78
2015-03-01,79
2015-03-08,73
2015-03-15,72
2015-03-22,74
2015-03-29,75
2015-04-05,75
2015-04-12,80
2015-04-19,81
2015-04-26,81
2015-05-03,80
2015-05-10,78
2015-05-17,65
2015-05-24,58
2015-05-31,54
2015-06-07,49
2015-06-14,43
2015-06-21,41
2015-06-28,38
2015-07-05,43
2015-07-12,41
2015-07-19,43
2015-07-26,41
2015-08-02,41
2015-08-09,50
2015-08-16,60
2015-08-23,79
2015-08-30,88
2015-09-06,87
2015-09-13,92
2015-09-20,89
2015-09-27,89
2015-10-04,87
2015-10-11,87
2015-10-18,85
2015-10-25,86
2015-11-01,89
2015-11-08,83
2015-11-15,84
2015-11-22,51
2015-11-29,81
2015-12-06,87
2015-12-13,80
2015-12-20,36
2015-12-27,32
2016-01-03,68
2016-01-10,76
2016-01-17,79
2016-01-24,88
2016-01-31,87
2016-02-07,85
2016-02-14,76
2016-02-21,84
2016-02-28,80
2016-03-06,78
2016-03-13,70
2016-03-20,66
2016-03-27,73
2016-04-03,80
2016-04-10,80
2016-04-17,76
2016-04-24,76
2016-05-01,82
2016-05-08,78
2016-05-15,64
2016-05-22,56
2016-05-29,48
2016-06-05,48
2016-06-12,38
2016-06-19,40
2016-06-26,38
2016-07-03,32
2016-07-10,35
2016-07-17,36
2016-07-24,37
2016-07-31,37
2016-08-07,41
2016-08-14,46
2016-08-21,67
2016-08-28,79
2016-09-04,80
2016-09-11,82
2016-09-18,82
2016-09-25,89
2016-10-02,78
2016-10-09,93
2016-10-16,79
2016-10-23,80
2016-10-30,78
2016-11-06,72
2016-11-13,82
2016-11-20,47
2016-11-27,77
2016-12-04,83
2016-12-11,87
2016-12-18,45
2016-12-25,28
2017-01-01,54
2017-01-08,77
2017-01-15,80
2017-01-22,90
2017-01-29,88
2017-02-05,83
2017-02-12,79
2017-02-19,77
2017-02-26,83
2017-03-05,80
2017-03-12,68
2017-03-19,75
2017-03-26,78
2017-04-02,77
2017-04-09,71
2017-04-16,77
2017-04-23,84
2017-04-30,83
2017-05-07,79
2017-05-14,63
2017-05-21,55
2017-05-28,45
2017-06-04,46
2017-06-11,40
2017-06-18,37
2017-06-25,36
2017-07-02,35
2017-07-09,37
2017-07-16,36
2017-07-23,35
2017-07-30,36
2017-08-06,38
2017-08-13,47
2017-08-20,60
2017-08-27,75
2017-09-03,73
2017-09-10,79
2017-09-17,80
2017-09-24,81
2017-10-01,77
2017-10-08,81
2017-10-15,77
2017-10-22,78
2017-10-29,80
2017-11-05,78
2017-11-12,100
