Category: All categories

Week,debt: (United States)
2012-11-18,32
2012-11-25,42
2012-12-02,44
2012-12-09,37
2012-12-16,29
2012-12-23,27
2012-12-30,43
2013-01-06,42
2013-01-13,48
2013-01-20,42
2013-01-27,41
2013-02-03,39
2013-02-10,39
2013-02-17,37
2013-02-24,41
2013-03-03,38
2013-03-10,37
2013-03-17,36
2013-03-24,35
2013-03-31,35
2013-04-07,37
2013-04-14,35
2013-04-21,37
2013-04-28,36
2013-05-05,34
2013-05-12,33
2013-05-19,30
2013-05-26,29
2013-06-02,28
2013-06-09,29
2013-06-16,29
2013-06-23,28
2013-06-30,25
2013-07-07,30
2013-07-14,30
2013-07-21,31
2013-07-28,31
2013-08-04,30
2013-08-11,29
2013-08-18,29
2013-08-25,30
2013-09-01,29
2013-09-08,31
2013-09-15,37
2013-09-22,40
2013-09-29,60
2013-10-06,81
2013-10-13,100
2013-10-20,42
2013-10-27,36
2013-11-03,36
2013-11-10,35
2013-11-17,36
2013-11-24,25
2013-12-01,33
2013-12-08,33
2013-12-15,29
2013-12-22,20
2013-12-29,26
2014-01-05,30
2014-01-12,35
2014-01-19,33
2014-01-26,37
2014-02-02,40
2014-02-09,42
2014-02-16,37
2014-02-23,38
2014-03-02,35
2014-03-09,34
2014-03-16,34
2014-03-23,35
2014-03-30,35
2014-04-06,36
2014-04-13,35
2014-04-20,36
2014-04-27,35
2014-05-04,33
2014-05-11,32
2014-05-18,32
2014-05-25,29
2014-06-01,30
2014-06-08,33
2014-06-15,30
2014-06-22,30
2014-06-29,28
2014-07-06,31
2014-07-13,31
2014-07-20,33
2014-07-27,33
2014-08-03,33
2014-08-10,31
2014-08-17,29
2014-08-24,29
2014-08-31,28
2014-09-07,32
2014-09-14,33
2014-09-21,32
2014-09-28,33
2014-10-05,33
2014-10-12,33
2014-10-19,34
2014-10-26,33
2014-11-02,35
2014-11-09,35
2014-11-16,35
2014-11-23,25
2014-11-30,38
2014-12-07,36
2014-12-14,30
2014-12-21,20
2014-12-28,26
2015-01-04,31
2015-01-11,32
2015-01-18,36
2015-01-25,37
2015-02-01,38
2015-02-08,36
2015-02-15,35
2015-02-22,37
2015-03-01,34
2015-03-08,35
2015-03-15,34
2015-03-22,35
2015-03-29,34
2015-04-05,34
2015-04-12,37
2015-04-19,36
2015-04-26,35
2015-05-03,34
2015-05-10,32
2015-05-17,32
2015-05-24,30
2015-05-31,32
2015-06-07,31
2015-06-14,33
2015-06-21,33
2015-06-28,47
2015-07-05,47
2015-07-12,39
2015-07-19,35
2015-07-26,33
2015-08-02,35
2015-08-09,34
2015-08-16,33
2015-08-23,34
2015-08-30,34
2015-09-06,33
2015-09-13,37
2015-09-20,36
2015-09-27,35
2015-10-04,37
2015-10-11,37
2015-10-18,37
2015-10-25,42
2015-11-01,39
2015-11-08,37
2015-11-15,36
2015-11-22,26
2015-11-29,36
2015-12-06,35
2015-12-13,34
2015-12-20,23
2015-12-27,27
2016-01-03,36
2016-01-10,40
2016-01-17,36
2016-01-24,40
2016-01-31,44
2016-02-07,43
2016-02-14,84
2016-02-21,53
2016-02-28,44
2016-03-06,44
2016-03-13,40
2016-03-20,39
2016-03-27,39
2016-04-03,42
2016-04-10,43
2016-04-17,41
2016-04-24,40
2016-05-01,44
2016-05-08,42
2016-05-15,38
2016-05-22,34
2016-05-29,31
2016-06-05,43
2016-06-12,32
2016-06-19,35
2016-06-26,35
2016-07-03,32
2016-07-10,34
2016-07-17,37
2016-07-24,39
2016-07-31,35
2016-08-07,33
2016-08-14,32
2016-08-21,35
2016-08-28,33
2016-09-04,33
2016-09-11,37
2016-09-18,36
2016-09-25,42
2016-10-02,39
2016-10-09,40
2016-10-16,46
2016-10-23,40
2016-10-30,41
2016-11-06,47
2016-11-13,41
2016-11-20,32
2016-11-27,42
2016-12-04,41
2016-12-11,37
2016-12-18,28
2016-12-25,27
2017-01-01,34
2017-01-08,40
2017-01-15,46
2017-01-22,47
2017-01-29,43
2017-02-05,40
2017-02-12,40
2017-02-19,45
2017-02-26,48
2017-03-05,42
2017-03-12,41
2017-03-19,40
2017-03-26,40
2017-04-02,40
2017-04-09,39
2017-04-16,41
2017-04-23,42
2017-04-30,41
2017-05-07,37
2017-05-14,36
2017-05-21,35
2017-05-28,34
2017-06-04,33
2017-06-11,33
2017-06-18,33
2017-06-25,34
2017-07-02,32
2017-07-09,36
2017-07-16,36
2017-07-23,35
2017-07-30,39
2017-08-06,36
2017-08-13,33
2017-08-20,35
2017-08-27,34
2017-09-03,39
2017-09-10,37
2017-09-17,39
2017-09-24,40
2017-10-01,41
2017-10-08,40
2017-10-15,40
2017-10-22,39
2017-10-29,38
2017-11-05,38
2017-11-12,55
