Category: All categories

Week,fun: (United States)
2012-12-02,79
2012-12-09,81
2012-12-16,83
2012-12-23,85
2012-12-30,85
2013-01-06,84
2013-01-13,83
2013-01-20,81
2013-01-27,80
2013-02-03,82
2013-02-10,100
2013-02-17,88
2013-02-24,83
2013-03-03,84
2013-03-10,86
2013-03-17,85
2013-03-24,88
2013-03-31,84
2013-04-07,85
2013-04-14,81
2013-04-21,83
2013-04-28,85
2013-05-05,83
2013-05-12,84
2013-05-19,89
2013-05-26,91
2013-06-02,87
2013-06-09,83
2013-06-16,82
2013-06-23,84
2013-06-30,84
2013-07-07,81
2013-07-14,81
2013-07-21,79
2013-07-28,78
2013-08-04,77
2013-08-11,74
2013-08-18,71
2013-08-25,70
2013-09-01,72
2013-09-08,71
2013-09-15,73
2013-09-22,73
2013-09-29,76
2013-10-06,76
2013-10-13,76
2013-10-20,75
2013-10-27,77
2013-11-03,76
2013-11-10,75
2013-11-17,74
2013-11-24,69
2013-12-01,66
2013-12-08,70
2013-12-15,71
2013-12-22,69
2013-12-29,72
2014-01-05,70
2014-01-12,75
2014-01-19,75
2014-01-26,74
2014-02-02,73
2014-02-09,73
2014-02-16,78
2014-02-23,76
2014-03-02,76
2014-03-09,77
2014-03-16,79
2014-03-23,81
2014-03-30,81
2014-04-06,78
2014-04-13,78
2014-04-20,77
2014-04-27,78
2014-05-04,79
2014-05-11,83
2014-05-18,86
2014-05-25,86
2014-06-01,82
2014-06-08,80
2014-06-15,81
2014-06-22,80
2014-06-29,82
2014-07-06,81
2014-07-13,84
2014-07-20,83
2014-07-27,79
2014-08-03,76
2014-08-10,71
2014-08-17,71
2014-08-24,69
2014-08-31,70
2014-09-07,67
2014-09-14,71
2014-09-21,70
2014-09-28,72
2014-10-05,73
2014-10-12,72
2014-10-19,73
2014-10-26,75
2014-11-02,74
2014-11-09,71
2014-11-16,71
2014-11-23,66
2014-11-30,68
2014-12-07,71
2014-12-14,73
2014-12-21,67
2014-12-28,73
2015-01-04,69
2015-01-11,72
2015-01-18,73
2015-01-25,73
2015-02-01,73
2015-02-08,74
2015-02-15,73
2015-02-22,74
2015-03-01,76
2015-03-08,78
2015-03-15,78
2015-03-22,80
2015-03-29,79
2015-04-05,75
2015-04-12,76
2015-04-19,78
2015-04-26,77
2015-05-03,79
2015-05-10,83
2015-05-17,89
2015-05-24,88
2015-05-31,85
2015-06-07,90
2015-06-14,79
2015-06-21,81
2015-06-28,83
2015-07-05,81
2015-07-12,81
2015-07-19,79
2015-07-26,78
2015-08-02,76
2015-08-09,74
2015-08-16,72
2015-08-23,73
2015-08-30,76
2015-09-06,74
2015-09-13,72
2015-09-20,74
2015-09-27,73
2015-10-04,76
2015-10-11,76
2015-10-18,74
2015-10-25,76
2015-11-01,76
2015-11-08,74
2015-11-15,72
2015-11-22,67
2015-11-29,71
2015-12-06,72
2015-12-13,74
2015-12-20,67
2015-12-27,74
2016-01-03,68
2016-01-10,68
2016-01-17,71
2016-01-24,71
2016-01-31,71
2016-02-07,72
2016-02-14,75
2016-02-21,73
2016-02-28,74
2016-03-06,75
2016-03-13,78
2016-03-20,76
2016-03-27,75
2016-04-03,77
2016-04-10,73
2016-04-17,73
2016-04-24,73
2016-05-01,74
2016-05-08,75
2016-05-15,80
2016-05-22,80
2016-05-29,80
2016-06-05,78
2016-06-12,76
2016-06-19,76
2016-06-26,75
2016-07-03,76
2016-07-10,73
2016-07-17,75
2016-07-24,74
2016-07-31,71
2016-08-07,67
2016-08-14,64
2016-08-21,63
2016-08-28,65
2016-09-04,68
2016-09-11,66
2016-09-18,68
2016-09-25,68
2016-10-02,67
2016-10-09,69
2016-10-16,69
2016-10-23,69
2016-10-30,71
2016-11-06,65
2016-11-13,68
2016-11-20,63
2016-11-27,65
2016-12-04,65
2016-12-11,67
2016-12-18,63
2016-12-25,67
2017-01-01,68
2017-01-08,71
2017-01-15,70
2017-01-22,70
2017-01-29,71
2017-02-05,70
2017-02-12,74
2017-02-19,75
2017-02-26,73
2017-03-05,76
2017-03-12,78
2017-03-19,75
2017-03-26,76
2017-04-02,74
2017-04-09,74
2017-04-16,72
2017-04-23,72
2017-04-30,74
2017-05-07,75
2017-05-14,76
2017-05-21,79
2017-05-28,82
2017-06-04,79
2017-06-11,78
2017-06-18,77
2017-06-25,78
2017-07-02,80
2017-07-09,75
2017-07-16,75
2017-07-23,73
2017-07-30,73
2017-08-06,71
2017-08-13,67
2017-08-20,63
2017-08-27,66
2017-09-03,63
2017-09-10,64
2017-09-17,67
2017-09-24,69
2017-10-01,68
2017-10-08,70
2017-10-15,72
2017-10-22,70
2017-10-29,72
2017-11-05,72
2017-11-12,71
2017-11-19,66
